year_group,field,profs,pubs_total,citations_total,news_total,online_news_total,twitter_total
up to 10,STEM,25,0.62178,0.30595,0.21174,0.86298,0.14032
up to 10,Social sciences,66,0.56335,0.25692,0.07243,0.08284,0.04714
up to 10,Arts & Humanities,9,NA,NA,NA,NA,NA
up to 10,Medicine,22,0.40018,0.43341,0.56283,0.83488,0.07959
up to 20,STEM,183,0.09821,0.45252,0.05931,0.68205,0.57182
up to 20,Social sciences,377,0.01728,0.17914,0.01863,0.01801,0.81507
up to 20,Arts & Humanities,42,0.16791,0.56511,0.21161,0.91666,0.99067
up to 20,Medicine,139,0.17253,0.48382,0.1845,0.7323,0.04296
up to 30,STEM,737,0.18794,0.2186,0.49915,0.02468,0.84012
up to 30,Social sciences,966,6e-4,0.15453,5e-5,0.15317,0.02631
up to 30,Arts & Humanities,129,0.5607,0.41596,0.02607,0.64276,0.75037
up to 30,Medicine,624,0.04555,0.27316,0.0528,0.23002,0.2512
up to 40,STEM,905,0.00116,0.17797,0.18893,0.12059,0.90913
up to 40,Social sciences,714,0.00275,0.43387,0.00223,0.07102,0.80971
up to 40,Arts & Humanities,128,0.21443,0.30317,0.83166,0.07623,0.01979
up to 40,Medicine,785,0.01654,0.01711,0.34142,0.77646,0.6348
up to 50,STEM,365,0.19711,0.23664,0.47011,0.19292,0.50863
up to 50,Social sciences,223,0.00337,0.06194,0.21092,0.95759,0.28886
up to 50,Arts & Humanities,39,0.25416,0.82682,0.0608,0.67127,0.88368
up to 50,Medicine,253,0.34701,0.00767,0.14231,0.79287,0.99968
