term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),-1.4593887324420332,0.11773838816243554,-12.395181853760517,2.7751545212118226e-35,stem,***
news_all_l,0.1936866582157546,0.006398903600094847,30.268725756844297,2.9586389072478608e-201,stem,***
cited_by_total_all_l,-1.389095554765814e-5,3.805573695322099e-6,-3.6501607010615063,2.6207629242254286e-4,stem,***
inferred_genderw,-0.1616513270876932,0.10078756975854267,-1.6038815845541485,0.10874015676445059,stem,
alt_online_all_total_l,-6.109397943825026e-4,2.63538487031506e-4,-2.318218493488827,0.020437449450714733,stem,*
alt_twitter_total_l,-1.6354860944426801e-4,3.572381946626962e-5,-4.578138952882415,4.691310348036966e-6,stem,***
coa_tot_cited_by_total_l,2.1843552874739566e-7,3.5476656346042257e-7,0.6157162236958222,0.5380818277915338,stem,
coa_online_news_total_l,4.2511191471747915e-5,1.1186884463417734e-4,0.3800092117762,0.7039385771906979,stem,
coa_twitter_total_l,-1.2539419463357926e-5,1.9636336248263272e-5,-0.6385824374171108,0.5230946094613428,stem,
as.factor(year)2014,0.03526360273553882,0.16003934183219415,0.22034333765577294,0.8256037708598606,stem,
as.factor(year)2015,0.07463859845434045,0.16055709954399464,0.4648726133339781,0.642022683770463,stem,
as.factor(year)2016,0.0776611119209309,0.15971342923905413,0.486252861083398,0.6267878965866118,stem,
as.factor(year)2017,-0.29675394538758554,0.1648552085214977,-1.8000883808829597,0.07184668396645912,stem,.
as.factor(year)2018,-0.042013224722008066,0.1621204732999433,-0.25914817460641326,0.7955209160600324,stem,
as.factor(year)2019,-0.14597581452910927,0.16612654297673704,-0.8787025355096355,0.3795625835381472,stem,
as.factor(year)2020,-0.22783624825593907,0.16731087104011833,-1.3617540022328123,0.17327553240496255,stem,
as.factor(year)2021,-0.20115508851032013,0.1688788563619282,-1.1911206224609905,0.23360623511705736,stem,
as.factor(year)2022,-0.12297637840094769,0.17485005108503995,-0.7033248068148231,0.48185335461320683,stem,
as.factor(year)2023,-0.19389521434843818,0.182016992884759,-1.0652588600406099,0.28675880427472694,stem,
R^2,0.319,0.319,0.319,0.319,stem,
(Intercept),-1.9063794069806423,0.1479999878939996,-12.880942992684753,5.762712211940931e-38,soc_sci,***
