term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),-0.8356667482357703,0.05123926108254844,-16.309110057022068,8.50224347262022e-60,stem,***
news_all_l,0.3620686152888686,0.008541627105823653,42.388717138214965,0,stem,***
cited_by_total_all_l,2.3970684506963033e-5,3.3344424071953135e-6,7.188813474551927,6.535678673989473e-13,stem,***
inferred_genderw,-0.04699828098429701,0.03920635956173779,-1.1987412631435308,0.23062856799534814,stem,
alt_online_all_total_l,8.405888411210007e-4,3.113498435117959e-4,2.699820984779631,0.006937679519766886,stem,*
alt_twitter_total_l,3.092268606337036e-5,2.85124135094565e-5,1.0845341469642498,0.27812803525293556,stem,
coa_tot_cited_by_total_l,1.260935267492453e-6,2.812575122111003e-7,4.483205648729649,7.353000508230803e-6,stem,***
coa_online_news_total_l,1.1754731933402068e-4,1.2079183781959868e-4,0.9731395883683495,0.3304839307388775,stem,
coa_twitter_total_l,-1.764352966488059e-5,1.635962722399294e-5,-1.0784799325381136,0.2808196325196251,stem,
as.factor(year)2014,0.030194376833252157,0.0696702243382605,0.4333899757040173,0.6647314818013526,stem,
as.factor(year)2015,0.11601298303986968,0.06924327208784437,1.675440509118224,0.09384783419466933,stem,.
as.factor(year)2016,0.23210553812311302,0.06921339763108354,3.3534770155377416,7.980304149378239e-4,stem,***
as.factor(year)2017,0.2671738442555632,0.06947611121512928,3.845549780819954,1.2028244058901682e-4,stem,***
as.factor(year)2018,0.17459262306872358,0.07003008689654523,2.4931087594771597,0.012663005198424606,stem,*
as.factor(year)2019,-0.021301865981727553,0.07082252999877682,-0.3007780995976204,0.7635837095372051,stem,
as.factor(year)2020,-0.17528210486937668,0.0721570395435492,-2.4291753927014708,0.015133209464142571,stem,*
as.factor(year)2021,-0.13145884233437696,0.07271107746193345,-1.8079616878624833,0.07061246360683422,stem,.
as.factor(year)2022,0.5784141490383403,0.07368791082665156,7.84951211873873,4.1765882002724795e-15,stem,***
as.factor(year)2023,0.4611398816630262,0.07577198905364906,6.085888564130526,1.1584699958995398e-9,stem,***
R^2,0.176,0.176,0.176,0.176,stem,
(Intercept),-0.5054202829032062,0.06022699688353018,-8.391922377943098,4.782566462254939e-17,soc_sci,***
news_all_l,0.3786009839134226,0.009305942636812812,40.68378655330821,0,soc_sci,***
cited_by_total_all_l,5.169546936739133e-6,7.68454361033693e-6,0.6727200987948422,0.5011253784258878,soc_sci,
inferred_genderw,-0.010515395448429755,0.03623524681415763,-0.2901979805011633,0.7716647810983601,soc_sci,
alt_online_all_total_l,0.002771679781402228,7.055633117243937e-4,3.9283218604837242,8.55406786045238e-5,soc_sci,***
alt_twitter_total_l,4.217608999826301e-5,7.968394320226094e-5,0.5292922049704276,0.5966027621862938,soc_sci,
coa_tot_cited_by_total_l,8.261928206068288e-7,7.088480631424185e-7,1.165542890734871,0.24379930932035748,soc_sci,
coa_online_news_total_l,-8.827161646219687e-4,3.8444953422317024e-4,-2.2960521109893146,0.021672901991617994,soc_sci,*
coa_twitter_total_l,1.3957507879101426e-4,5.397196617923038e-5,2.5860662242230092,0.009707827662591827,soc_sci,*
as.factor(year)2014,0.051134730280547935,0.08000453763473812,0.639147875761801,0.5227267372754212,soc_sci,
as.factor(year)2015,-0.017106916881094475,0.07993114636532894,-0.21402066226983074,0.8305309443193065,soc_sci,
as.factor(year)2016,0.11643257204953544,0.07945574714517835,1.46537634133368,0.14281826859031257,soc_sci,
as.factor(year)2017,0.09969368052105955,0.08002887948711125,1.2457213091071122,0.2128667277042976,soc_sci,
as.factor(year)2018,0.20287892823552411,0.08044021619629312,2.5221081920074857,0.011665382311980119,soc_sci,*
as.factor(year)2019,0.03792981743351908,0.08110923412283012,0.4676387077712873,0.6400429792485498,soc_sci,
as.factor(year)2020,-0.014934518585808165,0.08146582588939956,-0.18332249655314012,0.8545449838069303,soc_sci,
as.factor(year)2021,-0.05805754860866025,0.08375872183358662,-0.6931522752222754,0.48821399469618365,soc_sci,
as.factor(year)2022,0.35142708905090303,0.08667523378605962,4.054527154992511,5.023581487596404e-5,soc_sci,***
as.factor(year)2023,0.3387140882685518,0.08782216442426273,3.8568178146037004,1.1487271361151924e-4,soc_sci,***
R^2,0.199,0.199,0.199,0.199,soc_sci,
(Intercept),-0.7841396443594304,0.05617560874690846,-13.958720908433135,2.7838519214481644e-44,medicine,***
news_all_l,0.2903799458132627,0.008073124410223887,35.96871930346107,2.5805038922682737e-283,medicine,***
cited_by_total_all_l,3.168982207572028e-7,2.879300683820855e-6,0.1100608291929679,0.9123611331511996,medicine,
inferred_genderw,-0.10294389360801284,0.035578249224643026,-2.8934502357892717,0.003810346658320683,medicine,*
alt_online_all_total_l,6.177786136034943e-4,2.1759337303324636e-4,2.8391425942420736,0.0045234937688036604,medicine,*
alt_twitter_total_l,6.670378711590854e-6,1.8550110438886125e-5,0.3595870080432464,0.7191560006605294,medicine,
coa_tot_cited_by_total_l,7.650133021889836e-7,2.329900600554382e-7,3.283458968193555,0.0010254157077953623,medicine,*
coa_online_news_total_l,1.6859344005523305e-5,8.30155687669938e-5,0.20308653251348222,0.8390673978892442,medicine,
coa_twitter_total_l,4.67919939159356e-6,8.812842881065621e-6,0.5309523220533992,0.5954518188604718,medicine,
as.factor(year)2014,-1.178602378842845e-4,0.0757223150251973,-0.0015564795905284382,0.9987581094669525,medicine,
as.factor(year)2015,0.029739028835359504,0.07554276429958584,0.3936714404230843,0.6938236294199758,medicine,
as.factor(year)2016,0.1726548859220197,0.07500486325419879,2.301915881599243,0.021339916405677936,medicine,*
