term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),-1.2076777753331671,0.05833549338618465,-20.70228098249318,3.3035903101189545e-95,stem,***
alt_twitter_l,0.45111096203742956,0.009190857565118846,49.08257568363223,0,stem,***
cited_by_total_all_l,-2.49955065252011e-7,4.073039154082734e-6,-0.06136819603157042,0.9510659804934938,stem,
inferred_genderw,-0.004510969133993352,0.05113632066346538,-0.08821458164111205,0.9297061280253676,stem,
news_all_total_l,-5.59770292806778e-4,2.1274436144359745e-4,-2.63118744491465,0.008508709216897989,stem,*
alt_online_all_total_l,-3.110443659610129e-4,4.2173692719537644e-4,-0.7375317310473897,0.4607990541212981,stem,
coa_tot_cited_by_total_l,5.281323771839032e-7,3.667594275882456e-7,1.4399967320726332,0.14986832363261282,stem,
coa_online_news_total_l,8.150589790139794e-5,1.833334092245075e-4,0.44457744088305784,0.6566251532408707,stem,
coa_twitter_total_l,-8.778255650784645e-5,3.7536395112982325e-5,-2.3385984787198173,0.019356223619210647,stem,*
as.factor(year)2014,-0.08493221370670039,0.0808158620052977,-1.0509349476608052,0.29328846819948284,stem,
as.factor(year)2015,-0.16660615967480502,0.08243486378148017,-2.021064292851234,0.04327311007198351,stem,*
as.factor(year)2016,-0.14656095522223272,0.08387601925659259,-1.747352300707966,0.08057624607463916,stem,.
as.factor(year)2017,-0.10379769921633573,0.08509035942236008,-1.2198526357271413,0.22252074369682132,stem,
as.factor(year)2018,-0.13730679351032687,0.08669794835743418,-1.5837375175735988,0.11325346333016867,stem,
as.factor(year)2019,-0.11781087648386589,0.08755277619979301,-1.3455984104378909,0.17843206458355862,stem,
as.factor(year)2020,0.03467547909825856,0.08761696872633734,0.3957621406255663,0.6922805086248223,stem,
as.factor(year)2021,-0.13244488303401689,0.0908521157688967,-1.457807359939982,0.14489364904974472,stem,
as.factor(year)2022,-0.1318978520193667,0.09309815531483119,-1.4167611761299255,0.15655276417481329,stem,
as.factor(year)2023,-0.2147427198157332,0.09399360833479703,-2.2846523675401245,0.022333219687304243,stem,*
R^2,0.471,0.471,0.471,0.471,stem,
(Intercept),-1.672542222836321,0.07232709461504704,-23.12469803658286,2.6134139400706262e-118,soc_sci,***
alt_twitter_l,0.4405524575834941,0.01025406591739909,42.963684955054276,0,soc_sci,***
cited_by_total_all_l,3.9200956513434136e-5,9.19108507961733e-6,4.265106478055393,1.9980689050525014e-5,soc_sci,***
inferred_genderw,-0.04764007959491855,0.045924517149320256,-1.037356134633278,0.2995699135002354,soc_sci,
news_all_total_l,-7.991341241932792e-4,1.9771840872632432e-4,-4.041779060135042,5.304720246409017e-5,soc_sci,***
alt_online_all_total_l,-0.0018798924311168779,9.209264539456813e-4,-2.041305712375333,0.04122044963660341,soc_sci,*
coa_tot_cited_by_total_l,1.5983122543100803e-6,6.762880692975369e-7,2.363360122514439,0.018110061784278403,soc_sci,*
coa_online_news_total_l,-3.0350738335172076e-4,5.343151788680653e-4,-0.5680306219162524,0.570014175197004,soc_sci,
coa_twitter_total_l,1.792433109340746e-5,6.609962525060016e-5,0.27117144802942306,0.7862591716864341,soc_sci,
as.factor(year)2014,-0.03184981315719071,0.09800401211199647,-0.3249847885900177,0.7451925843203069,soc_sci,
as.factor(year)2015,0.022382874267072556,0.09742155628478864,0.22975278901972754,0.8182838722401926,soc_sci,
as.factor(year)2016,0.06831173522857162,0.09653851053981405,0.707611240805282,0.47918671036485755,soc_sci,
as.factor(year)2017,-0.0018816328357801216,0.09853703027258306,-0.019095692559182666,0.9847647676445713,soc_sci,
as.factor(year)2018,-0.06662914306123295,0.09984069285124576,-0.6673545741564992,0.5045456745406283,soc_sci,
as.factor(year)2019,0.10990268892773047,0.09988869635157506,1.1002515093490608,0.27122255333278006,soc_sci,
as.factor(year)2020,0.17907989030211394,0.09880991857399404,1.8123675526360195,0.06992942297500038,soc_sci,.
as.factor(year)2021,0.17977757954614682,0.10158552916352553,1.7697164254246587,0.07677439224225242,soc_sci,.
as.factor(year)2022,0.21101025812118826,0.10333679301235608,2.041966389415216,0.04115486542763335,soc_sci,*
as.factor(year)2023,0.030456447736348168,0.10601393862437604,0.2872872013958478,0.7738924216148716,soc_sci,
R^2,0.417,0.417,0.417,0.417,soc_sci,
(Intercept),-1.669948737524915,0.07669394468045644,-21.774192792960616,4.075868628769594e-105,medicine,***
alt_twitter_l,0.45318097803834806,0.010739879144743707,42.19609661624015,0,medicine,***
cited_by_total_all_l,-2.336000589350552e-6,4.9471180284947776e-6,-0.47219423023576196,0.6367881576844994,medicine,
inferred_genderw,0.06253654044866433,0.05580070505417044,1.1207123707120699,0.26241031474113186,medicine,
news_all_total_l,5.6770430262980206e-5,2.454409866996891e-4,0.23129971495935203,0.8170819681111293,medicine,
alt_online_all_total_l,-8.842581066033747e-6,2.9684567687314554e-4,-0.02978847850902861,0.9762357475083835,medicine,
coa_tot_cited_by_total_l,1.8643787994356865e-8,3.71220783992978e-7,0.05022290991850696,0.9599447551137922,medicine,
coa_online_news_total_l,1.439153111805031e-4,1.3535500785772714e-4,1.0632433439904474,0.28767161085884724,medicine,
coa_twitter_total_l,-2.070811947985049e-5,1.4728773926088683e-5,-1.4059635638218841,0.15973494457869195,medicine,
as.factor(year)2014,-0.1834717980594895,0.10607113526346734,-1.729705236054735,0.08368295272959146,medicine,.
as.factor(year)2015,-0.4358202836539831,0.11311101908259745,-3.853031182892381,1.1666452607142323e-4,medicine,***
as.factor(year)2016,-0.4756615165693289,0.11652718001660334,-4.081979127114845,4.465380805085016e-5,medicine,***
as.factor(year)2017,-0.4170846795770474,0.11657834210170588,-3.5777201155697704,3.466043023130561e-4,medicine,***
as.factor(year)2018,-0.28516554258998644,0.11470711758106868,-2.4860318052055237,0.01291764202119906,medicine,*
as.factor(year)2019,-0.09655165633244901,0.11286796412020138,-0.8554389820447551,0.3923081707054648,medicine,
