term,Estimate,Std. Error,t value,Pr(>|t|),field,stars
(Intercept),4.857207128571309,1.7760214865177824,2.7348808364333244,0.00624520596340661,stem,*
alt_twitter_l,0.5695464708600082,0.04310697239297405,13.212397884682755,1.0487204115489711e-39,stem,***
count_pubs_total_l,0.005496609203686266,0.013705803311396404,0.4010424692958948,0.6883926912395021,stem,
cited_by_total_all_l,-4.3860106023922426e-5,3.4542293665418955e-4,-0.12697508291938278,0.8989612624131378,stem,
inferred_genderw,0.11485552135115336,3.803262851560249,0.030199206795300797,0.9759084508480058,stem,
news_all_total_l,-0.003527384014627479,0.017790296267885294,-0.19827573197839576,0.8428311416578459,stem,
alt_online_all_total_l,0.22041701378741138,0.05078431018614558,4.340258102935563,1.4294042363920703e-5,stem,***
coa_tot_cited_by_total_l,-1.6075565193671993e-5,2.6268889708294668e-5,-0.6119621107776005,0.540569052910059,stem,
coa_online_news_total_l,-0.02783840296545459,0.015535148075914829,-1.7919625116811286,0.07315249701056957,stem,.
coa_twitter_total_l,0.007819714550723104,0.003079552559607004,2.539237242867845,0.011116166380639324,stem,*
as.factor(year)2014,2.167449047842602,1.053222290692454,2.057921738835954,0.039609219756191125,stem,*
as.factor(year)2015,9.670146650931216,2.0714139795230184,4.668379544854644,3.053475760134404e-6,stem,***
as.factor(year)2016,18.24236560745124,5.114768893568244,3.5666060357860507,3.6239027889513147e-4,stem,***
as.factor(year)2017,21.607191639786535,4.121151398670741,5.242998751940013,1.5942450490036348e-7,stem,***
as.factor(year)2018,14.719085313493984,3.9507586800381462,3.7256351262010936,1.9530357546852884e-4,stem,***
as.factor(year)2019,21.293068901682037,6.541132630471494,3.25525717098129,0.0011345830177388499,stem,*
as.factor(year)2020,18.771277076950714,4.3573391275071485,4.307967896841171,1.6546448230697595e-5,stem,***
as.factor(year)2021,-0.048726558744951104,5.26918559668601,-0.009247455389614113,0.9926217858354573,stem,
as.factor(year)2022,1.07712942389216,4.139614997507774,0.2602003868815429,0.7947116034321704,stem,
as.factor(year)2023,-15.009542995595071,4.519706048840705,-3.3209113233027594,8.986778686275363e-4,stem,***
R^2,0.39,0.39,0.39,0.39,stem,
(Intercept),0.36244422769286805,1.3692031760218162,0.26471179299038744,0.7912345220772269,soc_sci,
alt_twitter_l,0.4528855390724368,0.07244467274695357,6.251467801564214,4.157609523320414e-10,soc_sci,***
count_pubs_total_l,0.021804009445963578,0.01204946723816123,1.8095413693403186,0.07038360789954436,soc_sci,.
cited_by_total_all_l,7.764675117562979e-4,7.833235026423564e-4,0.9912475613677728,0.3215780324391064,soc_sci,
inferred_genderw,3.284423470157145,2.0164169533859324,1.6288414281788288,0.1033640868413671,soc_sci,
news_all_total_l,0.0055991209433427615,0.005008657711218803,1.1178885174767264,0.26362952516075017,soc_sci,
alt_online_all_total_l,0.12705283631530256,0.062155839435380764,2.044101366330847,0.040958051237123705,soc_sci,*
coa_tot_cited_by_total_l,8.959765632160347e-5,1.0780454848522376e-4,0.8311120224568649,0.4059213697508416,soc_sci,
coa_online_news_total_l,-0.02028407446569186,0.03230472546378638,-0.627898060561769,0.5300786850624024,soc_sci,
coa_twitter_total_l,0.007196561206333992,0.004212291188693672,1.7084671699930154,0.08756692876115185,soc_sci,.
as.factor(year)2014,0.1768124108124831,1.0920277849011955,0.16191200742065437,0.8713769638412028,soc_sci,
