term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),-0.5045902844199104,0.0958580669555197,-5.2639313564924235,1.4100711544604052e-7,stem,***
alt_online_all_l,0.035349143830885395,0.001833646502749625,19.27805810873468,8.210129480930964e-83,stem,***
cited_by_total_all_l,2.436063040197706e-5,3.7423087318876932e-6,6.509519162436683,7.539173821168217e-11,stem,***
inferred_genderw,0.14908990570457106,0.08652853093753003,1.7230144102666867,0.08488591915123174,stem,.
news_all_total_l,-0.001490443271262424,2.1291062425140566e-4,-7.000323617023935,2.5537194773804225e-12,stem,***
alt_twitter_total_l,-5.2925617166151076e-5,2.9200111562525028e-5,-1.812514210872913,0.0699067801588166,stem,.
coa_tot_cited_by_total_l,9.982801463177106e-7,3.3393008024157464e-7,2.9894885348319806,0.002794449347866396,stem,*
coa_online_news_total_l,7.756543125166487e-4,1.5883275658044676e-4,4.883465660458961,1.042373100037788e-6,stem,***
coa_twitter_total_l,-5.273807748075777e-5,2.1559904394012667e-5,-2.446118336934903,0.014440359553713495,stem,*
as.factor(year)2014,-0.04109302183233049,0.13307815477552898,-0.3087886355325905,0.7574823145068394,stem,
as.factor(year)2015,-0.18979516111557526,0.13479376404174423,-1.4080411098008783,0.15911889731090323,stem,
as.factor(year)2016,-0.33135895936348425,0.13489541825355217,-2.456413743724455,0.014033148626570444,stem,*
as.factor(year)2017,-0.65746177090135,0.13922060754305712,-4.722445782302847,2.3302522198740863e-6,stem,***
as.factor(year)2018,-0.773467431922383,0.1409110513007452,-5.489047344282305,4.041073074497656e-8,stem,***
as.factor(year)2019,-0.6610980281517516,0.1397995338593776,-4.7289000893003035,2.2573942780038264e-6,stem,***
as.factor(year)2020,-0.8172302419597306,0.142250642296268,-5.745002122785993,9.191983320711377e-9,stem,***
as.factor(year)2021,-1.1976472610244777,0.1501404464428931,-7.976846275597101,1.5011960149467092e-15,stem,***
as.factor(year)2022,-1.2699377393653062,0.1576900352652271,-8.053379766383664,8.053851319900538e-16,stem,***
as.factor(year)2023,-1.2427991766914117,0.16385967784534997,-7.584533260613145,3.3368606617901e-14,stem,***
R^2,0.178,0.178,0.178,0.178,stem,
(Intercept),-0.5204956495687717,0.1107836510538333,-4.698307418265592,2.6232637927393085e-6,soc_sci,***
alt_online_all_l,0.08612880684816972,0.005472488132876236,15.738509569485727,8.236079149683402e-56,soc_sci,***
cited_by_total_all_l,1.7945076499692686e-4,1.3347222177021245e-5,13.444802417829807,3.302868144671113e-41,soc_sci,***
inferred_genderw,0.2953046893314457,0.07440034944197597,3.9691304079391543,7.213539800037648e-5,soc_sci,***
news_all_total_l,-0.0035970552366321315,3.1889399557918967e-4,-11.279783522104257,1.6515187692393704e-29,soc_sci,***
alt_twitter_total_l,-1.4106191826778475e-4,9.255561701937865e-5,-1.5240773365299936,0.12748939336887313,soc_sci,
coa_tot_cited_by_total_l,3.1960476254797788e-6,1.2996836930275733e-6,2.459096503730599,0.013928717118491401,soc_sci,*
coa_online_news_total_l,0.0010628685645957486,5.507323793338565e-4,1.9299184222314134,0.053616946430978,soc_sci,.
coa_twitter_total_l,-2.8360869087286193e-5,6.251971030895091e-5,-0.4536308461305487,0.6500945480826819,soc_sci,
as.factor(year)2014,-0.2670437870812197,0.1515470919985786,-1.7621175276904972,0.07804944245710714,soc_sci,.
as.factor(year)2015,-0.1296689956560238,0.14835294781830358,-0.8740574256390032,0.38208698131269725,soc_sci,
as.factor(year)2016,-0.2394927098396418,0.1486895114151474,-1.6106900046968882,0.10724730534545424,soc_sci,
as.factor(year)2017,-0.5420251516476609,0.1526316691635744,-3.5511971704035807,3.8348301499023984e-4,soc_sci,***
as.factor(year)2018,-0.841298095526921,0.1580198306125279,-5.324003273929738,1.0150807806402687e-7,soc_sci,***
as.factor(year)2019,-0.7754541145314436,0.15455374678218758,-5.017375059980203,5.238224471629311e-7,soc_sci,***
as.factor(year)2020,-0.9410694279989066,0.1562306897193063,-6.02358876920847,1.7059147655232728e-9,soc_sci,***
as.factor(year)2021,-1.189631472018316,0.17107585481560603,-6.953824508435509,3.5551381846053827e-12,soc_sci,***
as.factor(year)2022,-1.3763326290440445,0.1781390955046402,-7.72616827959696,1.1083209550372937e-14,soc_sci,***
as.factor(year)2023,-1.4399530528575981,0.18602893297557901,-7.7404790202534155,9.904294565972473e-15,soc_sci,***
R^2,0.266,0.266,0.266,0.266,soc_sci,
(Intercept),-0.5516987796214415,0.1061916860185371,-5.195310483394487,2.0437844854021156e-7,medicine,***
alt_online_all_l,0.010139528723412585,8.508980002449488e-4,11.916268131425516,9.737326503579931e-33,medicine,***
cited_by_total_all_l,3.6086726054651175e-5,4.0701344770940704e-6,8.866224508733136,7.566783253014193e-19,medicine,***
inferred_genderw,0.12115638064896218,0.07492900998546281,1.6169489050031232,0.10588931061404058,medicine,
news_all_total_l,-0.0022618829586136826,3.233764309714138e-4,-6.994581985517773,2.660509681165129e-12,medicine,***
alt_twitter_total_l,-3.981789528435942e-5,1.7582135629755957e-5,-2.2646791108226765,0.023532378269615628,medicine,*
coa_tot_cited_by_total_l,1.9145226083031767e-6,3.1181554378329724e-7,6.139920367900949,8.256285892233801e-10,medicine,***
coa_online_news_total_l,3.278427257154621e-4,1.1104736124792096e-4,2.952278397534638,0.0031543839309779304,medicine,*
coa_twitter_total_l,-1.6594884883697865e-5,1.0414066589889157e-5,-1.593506699852444,0.11104656652172872,medicine,
as.factor(year)2014,-0.13526739532171228,0.1422587995391834,-0.9508543285890344,0.34167832895195077,medicine,
as.factor(year)2015,-0.14518335134153493,0.14444199530602178,-1.0051325518866066,0.31483302749398767,medicine,
as.factor(year)2016,-0.45885809688894225,0.14154634572916316,-3.2417516292997632,0.0011879750691851316,medicine,*
as.factor(year)2017,-0.825225670274998,0.14787520230992765,-5.5805548015104645,2.3975259609959676e-8,medicine,***
as.factor(year)2018,-0.8601293092855881,0.14955756108311846,-5.751158972213786,8.86337212043737e-9,medicine,***
as.factor(year)2019,-0.7915222667838067,0.15386190671157338,-5.1443679836074,2.6842293155246745e-7,medicine,***
as.factor(year)2020,-0.8450739810498713,0.15586631205853457,-5.421787234771483,5.900608898864694e-8,medicine,***
as.factor(year)2021,-1.2804378127847538,0.16385764785439288,-7.814330484730111,5.525594211431047e-15,medicine,***
as.factor(year)2022,-1.2018872664717328,0.17267530069363948,-6.9603890170958564,3.3933439646370502e-12,medicine,***
as.factor(year)2023,-1.6578794606506497,0.18256381082118747,-9.081095827225383,1.0748713758118518e-19,medicine,***
R^2,0.157,0.157,0.157,0.157,medicine,
(Intercept),0.043616998037141023,0.4523690848288312,0.09641905138951959,0.9231877617957123,arts,
alt_online_all_l,0.21991901650683143,0.06041270745594873,3.640277447707343,2.723444194057977e-4,arts,***
cited_by_total_all_l,7.285280146179564e-4,2.1657685782820385e-4,3.363831306463268,7.686851271881738e-4,arts,***
inferred_genderw,-0.20207058195883343,0.2344454895412109,-0.8619085927149535,0.3887378201536477,arts,
news_all_total_l,-0.0062769639073238185,0.0014410715278970379,-4.355761518988457,1.3260508953972739e-5,arts,***
alt_twitter_total_l,-0.0010464262181004542,0.0017166637259525257,-0.6095697149538262,0.5421468784153235,arts,
coa_tot_cited_by_total_l,-7.746743395930094e-6,6.787048029042172e-6,-1.141400998310507,0.2537030894513763,arts,
coa_online_news_total_l,0.009169941185402554,0.006388085747789108,1.4354755943243616,0.15115161812703848,arts,
coa_twitter_total_l,-0.001300410714197183,0.0010832481169221002,-1.2004735516107983,0.22995547845785708,arts,
as.factor(year)2014,-1.299791788466134,0.6328254507458819,-2.0539499271625847,0.039980538326260286,arts,*
as.factor(year)2015,-0.45282115371219295,0.5484585416335274,-0.8256251281336812,0.40901677628218747,arts,
as.factor(year)2016,-1.0025703237005588,0.5561640550587889,-1.8026521393846333,0.07144286305927913,arts,.
as.factor(year)2017,-0.2807495884925432,0.5209654172224291,-0.5389025436455711,0.5899541020006116,arts,
as.factor(year)2018,-0.5335407322383916,0.5470671459888233,-0.9752746735942573,0.3294240298157607,arts,
as.factor(year)2019,-0.3640846040711048,0.5327907586482944,-0.6833538272976019,0.49438328870849213,arts,
as.factor(year)2020,-1.076550373651489,0.5778239334137046,-1.8631114278901133,0.06244659074471666,arts,.
