term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),-0.40811830626130025,0.09808165131517066,-4.161005659966647,3.168492320110029e-5,stem,***
alt_twitter_l,0.014487923842351254,5.399251790844867e-4,26.833206532278066,1.3246426293088894e-158,stem,***
cited_by_total_all_l,6.902089724165938e-6,3.472010425840453e-6,1.9879230986166125,0.0468201956765104,stem,*
inferred_genderw,-0.04370474699049327,0.09489270363476708,-0.460570152566299,0.6451070297435737,stem,
news_all_total_l,-0.0038939555572800426,3.68860182296027e-4,-10.556725133739068,4.7287221545869406e-26,stem,***
alt_online_all_total_l,-5.596149971656346e-4,3.5230265271115187e-4,-1.5884495698772252,0.1121847160127585,stem,
coa_tot_cited_by_total_l,-7.574629601091604e-7,4.034355735512753e-7,-1.87753140716256,0.06044529692244625,stem,.
coa_online_news_total_l,-4.7486073939657057e-4,1.5747983748521616e-4,-3.0153748376908847,0.0025666184565229563,stem,*
coa_twitter_total_l,4.708345163896386e-5,2.260728207076363e-5,2.082667500303077,0.037281541795974565,stem,*
as.factor(year)2014,0.01817746503778621,0.13606443706240312,0.1335945338123105,0.8937232068275799,stem,
as.factor(year)2015,-0.09695123653070994,0.1385735486860794,-0.6996373943655043,0.48415378325410413,stem,
as.factor(year)2016,-0.3350940162265309,0.14167961578852797,-2.3651533381251872,0.018022607163720127,stem,*
as.factor(year)2017,-0.4904803156314179,0.14418176270086133,-3.4018193871650304,6.693886058905619e-4,stem,***
as.factor(year)2018,-0.8029766440874458,0.15205989044709356,-5.280660414304499,1.2871906964143962e-7,stem,***
as.factor(year)2019,-1.0881774258762027,0.16114332224459513,-6.75285460619018,1.4496419635413448e-11,stem,***
as.factor(year)2020,-1.0244307930213699,0.157741792294378,-6.494352435843859,8.339132167620449e-11,stem,***
as.factor(year)2021,-1.2924660614614996,0.1685517216401724,-7.668067990552372,1.746063316481444e-14,stem,***
as.factor(year)2022,-1.0151493311433764,0.1705999347454682,-5.950467288618601,2.67378008265644e-9,stem,***
as.factor(year)2023,-0.7415143671534898,0.17179939026439947,-4.316164137790584,1.5876394439735897e-5,stem,***
R^2,0.294,0.294,0.294,0.294,stem,
(Intercept),-0.05743117495412824,0.11218184011915072,-0.5119471644709105,0.6086879879695026,soc_sci,
alt_twitter_l,0.04433166808743724,0.001774558936375508,24.981795294995138,9.642303808582858e-138,soc_sci,***
cited_by_total_all_l,-2.3983465542801537e-6,9.779810885793143e-6,-0.2452344510837285,0.8062749025467479,soc_sci,
inferred_genderw,0.13032255325159514,0.07718195387370029,1.6885106778309027,0.09131324098776443,soc_sci,.
news_all_total_l,-0.004598181186639168,3.5151202347635053e-4,-13.081149091756545,4.2201190714888325e-39,soc_sci,***
alt_online_all_total_l,-0.002637425261932226,6.343031591361818e-4,-4.157988532682026,3.210621364638204e-5,soc_sci,***
coa_tot_cited_by_total_l,-1.306246835635431e-6,1.2059238580866738e-6,-1.083191800938353,0.2787232982472025,soc_sci,
coa_online_news_total_l,5.528311646305529e-4,5.093748876305704e-4,1.0853129552619398,0.2777830698868455,soc_sci,
coa_twitter_total_l,-1.225181118967367e-4,6.923815292965125e-5,-1.7695173356403664,0.0768075803827861,soc_sci,.
