term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),-1.2866394887924215,0.052688422673387726,-24.419776176793526,1.0544911205617515e-131,stem,***
alt_online_all_l,0.1881991305425617,0.006080573336397366,30.950885735730047,2.4718613961154455e-210,stem,***
cited_by_total_all_l,1.4973876622424557e-4,5.132740879962735e-6,29.17325649708869,4.2365520851301e-187,stem,***
inferred_genderw,0.34830052697353137,0.041236193740450296,8.446476150679953,3.0022729487024634e-17,stem,***
news_all_total_l,2.747118259820283e-4,1.710801637904077e-4,1.6057491406109534,0.10832903943951121,stem,
alt_twitter_total_l,7.021785773139801e-4,9.929963003338992e-5,7.071311112416729,1.5347661046567331e-12,stem,***
coa_tot_cited_by_total_l,1.4156202274529816e-6,3.49992048417439e-7,4.04472111253384,5.23854467056734e-5,stem,***
coa_online_news_total_l,4.834601106149566e-4,3.6878896712609025e-4,1.3109397344027915,0.1898781251757295,stem,
coa_twitter_total_l,2.2504210383283746e-4,5.644198473560597e-5,3.9871401561623587,6.687452335684604e-5,stem,***
as.factor(year)2014,0.053826903971814465,0.07071699107322602,0.7611594208820026,0.4465618524626364,stem,
as.factor(year)2015,0.06571672087425087,0.07108661303034017,0.9244598676575377,0.35524693707643235,stem,
as.factor(year)2016,0.26960546306825217,0.07089791237330906,3.80272781021618,1.4311156472348257e-4,stem,***
as.factor(year)2017,0.10197843850546479,0.07279414930324728,1.4009153136832608,0.1612393988528332,stem,
as.factor(year)2018,0.016957663323955412,0.07339885236374409,0.23103444778561383,0.8172880404065161,stem,
as.factor(year)2019,-0.05106182626220848,0.07410880826396947,-0.6890115690476423,0.49081598722685377,stem,
as.factor(year)2020,0.13919296016277813,0.07482858623694766,1.860157556926415,0.0628632379496407,stem,.
as.factor(year)2021,-0.05937924067194952,0.07705881154968869,-0.7705704185907524,0.4409616006774482,stem,
as.factor(year)2022,-0.020898101829734384,0.0792761640410369,-0.26361141564463925,0.7920793611854284,stem,
as.factor(year)2023,-0.3272711775137345,0.08216379993982642,-3.983155328178775,6.800627510728432e-5,stem,***
R^2,0.255,0.255,0.255,0.255,stem,
(Intercept),-1.947643277787487,0.07208225683319862,-27.019732224733414,8.666901705022944e-161,soc_sci,***
alt_online_all_l,0.3257407563883592,0.01204805331080494,27.03679573663807,5.461288004620936e-161,soc_sci,***
cited_by_total_all_l,2.58482702017678e-4,1.2265412880342673e-5,21.074113406482937,1.3745621930257666e-98,soc_sci,***
inferred_genderw,0.2394018239160402,0.03976503386931477,6.02041041138853,1.739753781289798e-9,soc_sci,***
news_all_total_l,-1.8864511756440513e-4,1.4553325760569306e-4,-1.2962337315056816,0.19489497160343872,soc_sci,
alt_twitter_total_l,0.003996314914451542,3.0566193954541525e-4,13.07429678812782,4.618148578187373e-39,soc_sci,***
coa_tot_cited_by_total_l,3.329552692935535e-6,1.0215856488838095e-6,3.2592007303288018,0.0011172658681748526,soc_sci,*
coa_online_news_total_l,0.0012556901314841047,8.465260560893027e-4,1.4833449277214428,0.1379827913497693,soc_sci,
coa_twitter_total_l,3.23472687546509e-4,9.834310158222161e-5,3.289226009168152,0.0010046331690620662,soc_sci,*
as.factor(year)2014,0.07981337937781521,0.09492159846920342,0.8408347590533891,0.4004405115624969,soc_sci,
as.factor(year)2015,0.10341360130883144,0.0937826080346219,1.1026948756922397,0.2701596928514863,soc_sci,
as.factor(year)2016,0.5006854585478455,0.09002432522974493,5.561668552028358,2.672074265911463e-8,soc_sci,***
as.factor(year)2017,0.4204782543355948,0.09119764742239998,4.610626109553753,4.0145801355214065e-6,soc_sci,***
as.factor(year)2018,0.4402282844510497,0.09118630047804652,4.827789724368043,1.3805675279924598e-6,soc_sci,***
as.factor(year)2019,0.37547995831869885,0.09237039114959902,4.064938489982012,4.8045131218953595e-5,soc_sci,***
as.factor(year)2020,0.6719219758404384,0.09130084284683279,7.35942796243033,1.8469999757635753e-13,soc_sci,***
as.factor(year)2021,0.39993089422903777,0.09536606867690257,4.193639307749928,2.745143601087387e-5,soc_sci,***
as.factor(year)2022,0.48956037886347015,0.09705802678220082,5.04399682431262,4.5590686813590403e-7,soc_sci,***
as.factor(year)2023,0.27965347259862877,0.09992040293155366,2.7987624588563143,0.0051298860323100185,soc_sci,*
R^2,0.276,0.276,0.276,0.276,soc_sci,
(Intercept),-0.7309815887122508,0.056158297019088435,-13.016448637389898,9.865346997155902e-39,medicine,***
alt_online_all_l,0.11740244690394872,0.006071145335878897,19.337775725797677,2.5838211517466397e-83,medicine,***
cited_by_total_all_l,1.1487107035026163e-4,6.748295040439398e-6,17.022235936913347,5.618356416376687e-65,medicine,***
inferred_genderw,0.22518429016916802,0.041074742393452525,5.482305598222408,4.19818214225285e-8,medicine,***
news_all_total_l,7.27707680118292e-5,1.9904448098774917e-4,0.36560053135212583,0.7146631785549107,medicine,
