term,Estimate,Std. Error,t value,Pr(>|t|),field,stars
(Intercept),0.5075455134144847,0.2917390350892213,1.7397243850459172,0.0819211941970437,stem,.
alt_online_all_l,0.5702268776676941,0.05664635524719174,10.06643543400726,8.737617715028466e-24,stem,***
cited_by_total_all_l,3.6339197581716765e-4,7.522927619885793e-5,4.83045955216414,1.3712039027532042e-6,stem,***
inferred_genderw,0.6086688205223123,0.5407286307005645,1.1256456306626947,0.2603276353385381,stem,
news_all_total_l,0.009095502710445746,0.0031568061240067006,2.8812357658827326,0.003964961645026441,stem,*
alt_twitter_total_l,0.0030052976227891858,0.00154487299532466,1.9453363686751564,0.05174703230320266,stem,.
coa_tot_cited_by_total_l,3.420280017193154e-5,7.797087581463718e-6,4.386612284982282,1.1565625862528226e-5,stem,***
coa_online_news_total_l,0.018920955628932173,0.004717287011615197,4.010982495307964,6.0663238759734767e-5,stem,***
coa_twitter_total_l,-8.341375261098719e-4,6.500649309069716e-4,-1.2831603220713381,0.19944922180916416,stem,
as.factor(year)2014,-0.08725998945836339,0.33219544210877294,-0.26267666077667395,0.7928022289006793,stem,
as.factor(year)2015,-0.33836291928011986,0.32331411871799454,-1.0465454481907466,0.2953205934704027,stem,
as.factor(year)2016,2.7162581247727524,0.596420068830947,4.554270164142759,5.28453205743065e-6,stem,***
as.factor(year)2017,-0.3358485944056518,0.7072648461057411,-0.4748554890786132,0.6348946200187926,stem,
as.factor(year)2018,-2.1831911174189016,0.5235950759014183,-4.169617358720061,3.0626125008777514e-5,stem,***
as.factor(year)2019,-0.43308265474746016,0.7829713293697409,-0.5531270922730639,0.5801819199547393,stem,
as.factor(year)2020,0.5779093453901747,0.9504188080047117,0.6080575642262644,0.5431554758864632,stem,
as.factor(year)2021,-2.578555557488382,1.0112971441454968,-2.549750656783622,0.010786615708441246,stem,*
as.factor(year)2022,1.2702494364937096,1.176472091332294,1.0797106415463011,0.2802827075353153,stem,
as.factor(year)2023,-2.314270993205938,1.279203757701499,-1.8091496208268418,0.07044119523861089,stem,.
R^2,0.44,0.44,0.44,0.44,stem,
(Intercept),-0.1181330250872984,0.18061598219042094,-0.6540563224507584,0.5130838728905699,soc_sci,
alt_online_all_l,0.5042458729137208,0.054174993518514694,9.307723733116667,1.4524317290253693e-20,soc_sci,***
cited_by_total_all_l,6.112072290786686e-4,1.4189466572030735e-4,4.30747150342802,1.6600587505494914e-5,soc_sci,***
inferred_genderw,0.6742645076869745,0.2759529984901309,2.443403446877526,0.014558997585063007,soc_sci,*
news_all_total_l,0.002888312861605235,0.0010873970993805165,2.6561712030045777,0.007910311859871826,soc_sci,*
alt_twitter_total_l,0.005519859265625845,0.0015709468837811144,3.513714768216789,4.4297092158464735e-4,soc_sci,***
coa_tot_cited_by_total_l,3.5497925986649584e-5,1.749671848830916e-5,2.0288333501146716,0.04248995148606355,soc_sci,*
coa_online_news_total_l,0.04290101928160244,0.017581826710699328,2.440077472467366,0.01469369012200603,soc_sci,*
coa_twitter_total_l,-0.0023395604711081834,0.001746101200457004,-1.3398767897850676,0.18030231371099242,soc_sci,
as.factor(year)2014,-0.2928297616704596,0.1494339262741107,-1.9595935740409713,0.05005871718277134,soc_sci,.
as.factor(year)2015,-0.1682708492018428,0.18934987942461676,-0.888676822574023,0.3741886622356877,soc_sci,
