term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),0.9699755131739044,0.07008659271505413,13.839672833254458,1.4687354414471752e-43,stem,***
news_all_l,0.01700911744256982,0.001364454247737876,12.465875987244846,1.1460544643880878e-35,stem,***
cited_by_total_all_l,4.117790749950654e-6,2.710027066458572e-6,1.5194648056898301,0.1286455403551122,stem,
inferred_genderw,-0.2567031972196124,0.11238263807547089,-2.284189102655008,0.02236041973248033,stem,*
alt_online_all_total_l,4.6122020517480735e-4,1.5007492196204863e-4,3.073266333541336,0.002117294295931336,stem,*
alt_twitter_total_l,2.1489781795794678e-5,1.9910772408556275e-5,1.0793042758381315,0.2804521074124587,stem,
coa_tot_cited_by_total_l,3.2951285548987195e-7,3.0417580776524387e-7,1.0832973796002299,0.2786764480362424,stem,
coa_online_news_total_l,5.938225014374251e-5,6.788525706393835e-5,0.8747444248139592,0.3817129822673022,stem,
coa_twitter_total_l,4.583074567230953e-6,1.2308905471081702e-5,0.3723381073969848,0.7096411293575349,stem,
as.factor(year)2014,-0.15600698934831633,0.13380902031426023,-1.1658929194902,0.24365774207431717,stem,
as.factor(year)2015,0.06468807522903396,0.0511035588789958,1.2658232938767315,0.20557635347211584,stem,
as.factor(year)2016,0.11224018981911348,0.07085231047651078,1.584142973803568,0.11316118694744896,stem,
as.factor(year)2017,0.12180970732995261,0.06596395833665092,1.8466100337443312,0.0648036789397575,stem,.
as.factor(year)2018,0.2021006752196573,0.058039556676394044,3.4821195541945973,4.974615398110895e-4,stem,***
as.factor(year)2019,0.3010927728755836,0.0668058779495921,4.506980255581269,6.575674976261402e-6,stem,***
as.factor(year)2020,0.19944301090208122,0.07631291430248821,2.613489639663497,0.008962280089663566,stem,*
as.factor(year)2021,0.27399619079385906,0.07139519536469748,3.8377399122482263,1.2417189721669708e-4,stem,***
as.factor(year)2022,0.436283760326029,0.07037828964527026,6.1991242260225805,5.677820509386289e-10,stem,***
as.factor(year)2023,0.29702578754656384,0.1279548158584312,2.3213333984645974,0.020268857024278168,stem,*
(Intercept),1.5588536378952824,0.07125817161327687,21.876138590185715,4.384315187725238e-106,soc_sci,***
news_all_l,0.01144621607469326,0.0014690202455467539,7.791734735713666,6.609538234493245e-15,soc_sci,***
cited_by_total_all_l,2.1498815995196134e-6,8.466708177086197e-6,0.2539217786362269,0.7995559891699725,soc_sci,
inferred_genderw,-0.281528301676323,0.09712352717237009,-2.8986622487122022,0.0037475835441318443,soc_sci,*
alt_online_all_total_l,8.089285681244085e-4,2.8757341217391084e-4,2.8129463082463504,0.004908984714405253,soc_sci,*
alt_twitter_total_l,4.0389117482351095e-6,4.778792256500019e-5,0.08451741635643319,0.9326450561338159,soc_sci,
coa_tot_cited_by_total_l,-4.053633540768141e-7,4.957431578019161e-7,-0.8176882478301092,0.4135352227246826,soc_sci,
coa_online_news_total_l,-3.7716669453853634e-4,1.761276497901189e-4,-2.14143943320645,0.03223861781832372,soc_sci,*
coa_twitter_total_l,5.558649308570724e-5,2.4533193209549156e-5,2.265766735333543,0.023465669084286694,soc_sci,*
as.factor(year)2014,-0.05393078410202048,0.050799428390555165,-1.061641554062201,0.28839844162781486,soc_sci,
as.factor(year)2015,-0.039452806453179494,0.05131351091641103,-0.7688580599648999,0.44197757728618137,soc_sci,
as.factor(year)2016,0.01537038797154178,0.05741526162399747,0.26770561583781977,0.7889259267371679,soc_sci,
as.factor(year)2017,0.052810167117394835,0.0517131967953674,1.0212125799603575,0.30715373347407626,soc_sci,
as.factor(year)2018,0.14352101354579255,0.08475992018477316,1.6932650860562706,0.09040502066280558,soc_sci,.
as.factor(year)2019,-0.3536558584913404,0.11713969023015833,-3.019095046234718,0.00253530978893875,soc_sci,*
as.factor(year)2020,0.326653219266241,0.062135915884878844,5.2570757928706104,1.4636400252888193e-7,soc_sci,***
as.factor(year)2021,0.389896664261977,0.06666858541242987,5.848281643445274,4.966770792135831e-9,soc_sci,***
as.factor(year)2022,0.3574721532233574,0.06773519903741955,5.277494689664615,1.3096199843416444e-7,soc_sci,***
as.factor(year)2023,0.6428884293733175,0.12110694844875824,5.308435540718219,1.1057017440856017e-7,soc_sci,***
(Intercept),0.9160492042443632,0.17200411209878283,5.3257401411326235,1.0054278513938138e-7,medicine,***
news_all_l,0.011273432505837693,6.94494533207021e-4,16.232571988406438,2.9675979272497063e-59,medicine,***
cited_by_total_all_l,8.147406999520471e-6,4.3821362197566504e-6,1.8592317972198762,0.06299428956997945,medicine,.
inferred_genderw,-0.2776226934272963,0.09348314092816155,-2.9697621482427445,0.0029803040556471514,medicine,*
alt_online_all_total_l,3.4523522484584496e-4,1.5468443729240144e-4,2.2318678652413078,0.02562369730814704,medicine,*
alt_twitter_total_l,9.995332612168388e-6,1.4390147405760942e-5,0.6945955680875697,0.4873087904661331,medicine,
coa_tot_cited_by_total_l,6.981186083368508e-8,2.2173038709103983e-7,0.3148502185450169,0.7528753804283423,medicine,
coa_online_news_total_l,5.980235110540336e-5,5.347381568804426e-5,1.1183483044164744,0.2634182639304548,medicine,
coa_twitter_total_l,-4.587050869557561e-6,6.070832353169682e-6,-0.7555884601495519,0.44989597688727206,medicine,
as.factor(year)2014,-0.6676707235327255,0.3967423522484196,-1.6828824040309782,0.09239785855432392,medicine,.
as.factor(year)2015,-0.10904917176071685,0.13977508915380588,-0.7801760129140122,0.4352872793117025,medicine,
as.factor(year)2016,0.004895339929198476,0.15382658695171644,0.031823757038404815,0.9746126008524388,medicine,
as.factor(year)2017,0.04183236142424526,0.15488699583160354,0.2700831092994166,0.7870963162327744,medicine,
as.factor(year)2018,7.510559733712278e-4,0.13703068622079492,0.005480932731819395,0.9956268702897505,medicine,
as.factor(year)2019,0.19371212317030326,0.148489857718486,1.3045478401464412,0.19204685923603695,medicine,
as.factor(year)2020,0.7629422355630656,0.17287670874692793,4.413215875597952,1.0184635106826718e-5,medicine,***
as.factor(year)2021,0.5704603923148358,0.15532853203517333,3.672605314944057,2.4009015349369569e-4,medicine,***
as.factor(year)2022,0.2785329668697381,0.15263056194013644,1.8248833217228284,0.06801863856610513,medicine,.
as.factor(year)2023,0.6159005642143266,0.17625735149089194,3.494325535954471,4.7526112155908554e-4,medicine,***
(Intercept),1.1572477253300908,0.17726701559529529,6.528274430772357,6.653171343213718e-11,arts,***
news_all_l,0.0533627569773266,0.003870444940538613,13.787240949589794,3.0417234687762113e-43,arts,***
cited_by_total_all_l,-7.059793380595002e-5,1.2350491097770638e-4,-0.5716204582236694,0.5675791324385198,arts,
inferred_genderw,-0.4162464196960501,0.15444679904193417,-2.6950796149749543,0.007037181428512381,arts,*
alt_online_all_total_l,0.0010959920647216949,0.0027085465578780645,0.40464213603192384,0.6857405813069716,arts,
alt_twitter_total_l,-8.733476025037497e-4,9.023117325789925e-4,-0.9679000848271613,0.3330942719736698,arts,
coa_tot_cited_by_total_l,4.849812368572184e-6,8.343296657385717e-7,5.812825035148422,6.1427255658645286e-9,arts,***
coa_online_news_total_l,-0.0014011251725451043,0.002052816621075361,-0.6825379131094182,0.4948988778905804,arts,
