term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),0.9248581207331976,0.08641798960258555,10.702148071094756,9.944572955766741e-27,stem,***
alt_online_all_l,0.002940833285324657,3.387131623783801e-4,8.682370843443694,3.8760323929431214e-18,stem,***
cited_by_total_all_l,9.264183227923034e-6,2.3730626654155867e-6,3.9038932106332,9.465756055346458e-5,stem,***
inferred_genderw,0.019779186999183688,0.10806048762211695,0.1830381061054498,0.8547681193141217,stem,
news_all_total_l,3.506766144330675e-4,2.1975239543751791e-4,1.595780622708958,0.11053778101514462,stem,
alt_twitter_total_l,1.1567063570280807e-5,1.7175019492786184e-5,0.6734818306983105,0.5006408040932884,stem,
coa_tot_cited_by_total_l,1.2810270264403448e-6,2.4802426149123455e-7,5.16492628075265,2.4053370307395157e-7,stem,***
coa_online_news_total_l,2.1169215847581345e-4,5.727976074766874e-5,3.6957584269314396,2.1923135376527455e-4,stem,***
coa_twitter_total_l,-2.1454142199159033e-6,1.206359704320954e-5,-0.17784199954884372,0.8588470622018478,stem,
as.factor(year)2014,0.33824876824568295,0.07935298334906057,4.2625841394996185,2.0207637255745824e-5,stem,***
as.factor(year)2015,0.5308024441179762,0.0791495808360982,6.706320343213871,1.9959330888668853e-11,stem,***
as.factor(year)2016,1.149441972642531,0.08757569048707779,13.12512600528267,2.363892406078997e-39,stem,***
as.factor(year)2017,1.1249321445042135,0.08355373013522409,13.463577780233312,2.562039028263052e-41,stem,***
as.factor(year)2018,1.0067748065173512,0.08729230854492376,11.533373596131081,8.95638751790929e-31,stem,***
as.factor(year)2019,1.2051132322799747,0.0866830694242622,13.902521452968635,6.114864291914433e-44,stem,***
as.factor(year)2020,1.3439115505965282,0.10673754715225396,12.590804140173171,2.372440859889632e-36,stem,***
as.factor(year)2021,1.3008302521905024,0.08514651618557555,15.277551102095153,1.0792060873385365e-52,stem,***
as.factor(year)2022,1.5135851466832297,0.09740118822764558,15.539698993668187,1.868590151241787e-54,stem,***
as.factor(year)2023,1.246089812592261,0.11127063739278113,11.198729887684665,4.136209177923057e-29,stem,***
(Intercept),-0.05876972356848802,0.11107107348326951,-0.5291181738451499,0.5967234749348447,soc_sci,
alt_online_all_l,0.003322285582094874,7.209879143831218e-4,4.607962929499902,4.066331361494572e-6,soc_sci,***
cited_by_total_all_l,3.6348516887088705e-5,7.068908984542246e-6,5.142026438107052,2.7179085856967944e-7,soc_sci,***
inferred_genderw,0.17657803188583904,0.11372409531891368,1.5526879452473603,0.12049770362796702,soc_sci,
news_all_total_l,6.343416936900959e-4,1.692951832994334e-4,3.7469565366672715,1.7899308526158456e-4,soc_sci,***
alt_twitter_total_l,0.00034356434188002834,3.224256380189745e-5,10.655614857147615,1.6415629184259302e-26,soc_sci,***
coa_tot_cited_by_total_l,1.3832492548058634e-6,4.791613734352815e-7,2.8868129433907583,0.003891655212574777,soc_sci,*
coa_online_news_total_l,5.60135564987984e-4,1.2463903233195933e-4,4.494062209149202,6.987720023814689e-6,soc_sci,***
coa_twitter_total_l,-8.986095910913673e-5,1.946462962359275e-5,-4.616628255809079,3.900250149729354e-6,soc_sci,***
as.factor(year)2014,0.18032313420070198,0.10272923478726366,1.7553244173785902,0.07920383220944816,soc_sci,.
as.factor(year)2015,0.5037598237315921,0.11680495292606785,4.312829303141356,1.6117855806892097e-5,soc_sci,***
as.factor(year)2016,1.1748115766023184,0.11996036260354609,9.793331322988102,1.202667559235708e-22,soc_sci,***
as.factor(year)2017,1.300842770359863,0.09975698592093463,13.040117023893291,7.234592161557704e-39,soc_sci,***
as.factor(year)2018,1.0758758963537398,0.09248655389349605,11.632781751092997,2.8079530337847967e-31,soc_sci,***
as.factor(year)2019,1.129254656783352,0.09283087605606381,12.164645048715855,4.795251853075729e-34,soc_sci,***
as.factor(year)2020,1.44103706662578,0.10978525188722969,13.125962202154426,2.3379420052984024e-39,soc_sci,***
as.factor(year)2021,1.4110447992991624,0.11495460909778224,12.274799682880962,1.2369757841560956e-34,soc_sci,***
as.factor(year)2022,1.8275519828918274,0.10569345296911521,17.29106138131241,5.49314618717792e-67,soc_sci,***
as.factor(year)2023,1.2145832289163838,0.18363874916907694,6.6139811690729395,3.741193524626948e-11,soc_sci,***
(Intercept),1.131420395363291,0.09471731817551134,11.945232584254205,6.875773823887578e-33,medicine,***
alt_online_all_l,0.001741655171245961,3.4632608766834946e-4,5.028945936391063,4.931834083952953e-7,medicine,***
cited_by_total_all_l,1.739808633569367e-5,2.9258719885769356e-6,5.946291021486426,2.7428631739573e-9,medicine,***
inferred_genderw,-0.028723701820125264,0.06793087320568988,-0.4228372235574232,0.6724140271937453,medicine,
news_all_total_l,5.113595103155909e-4,2.6386457897036665e-4,1.9379619360468203,0.05262786661291708,medicine,.
alt_twitter_total_l,3.523626413312312e-5,1.3038349276700535e-5,2.702509603427341,0.006881819640589033,medicine,*
coa_tot_cited_by_total_l,3.7754357281846715e-7,1.8608059680220556e-7,2.0289249889916103,0.0424659310894177,medicine,*
coa_online_news_total_l,1.790018626335476e-4,4.138618436069606e-5,4.325159842557108,1.5242129992960231e-5,medicine,***
coa_twitter_total_l,-7.752058892991324e-6,4.5236479688839895e-06,-1.713674217426738,0.08658857458726221,medicine,.
as.factor(year)2014,0.3095457035916394,0.08827574319673837,3.5065771454538894,4.539098386649631e-4,medicine,***
as.factor(year)2015,0.6333296651461151,0.08651269539518111,7.3206557980089535,2.4676203500711544e-13,medicine,***
as.factor(year)2016,1.5967322267744521,0.09673637135560499,16.50601737897352,3.320887701036884e-61,medicine,***
as.factor(year)2017,1.4951222000908457,0.10134087319145473,14.75339764703071,2.9255751080321264e-49,medicine,***
as.factor(year)2018,1.4522147827716116,0.1040443428050542,13.957652512569544,2.8258923679134067e-44,medicine,***
as.factor(year)2019,1.3257585311948978,0.10352968488826474,12.805588393567831,1.525649872742454e-37,medicine,***
as.factor(year)2020,1.6363866263218518,0.11306236171172936,14.473310140947545,1.7866286376679676e-47,medicine,***
as.factor(year)2021,1.5080853214573753,0.11207371517605881,13.456191035411775,2.8313993734086134e-41,medicine,***
as.factor(year)2022,1.9446929188325885,0.10271105541933082,18.933628039290756,6.026526284027885e-80,medicine,***
as.factor(year)2023,1.8421945046269108,0.10748764648563305,17.138662579919274,7.638753586129104e-66,medicine,***
(Intercept),-1.4787060687016147,0.5738182998554254,-2.5769587151092557,0.009967385468702879,arts,*
alt_online_all_l,0.04857428553836958,0.015356879216972572,3.1630310333290117,0.0015613568667450276,arts,*
cited_by_total_all_l,5.411614405034611e-4,1.9332804876073806e-4,2.799187412133871,0.005123139304747778,arts,*
inferred_genderw,-0.2966492329341849,0.47989159079376953,-0.6181588480087955,0.5364706337718887,arts,
news_all_total_l,-3.8457767057330694e-4,0.0017551297552372614,-0.2191163755418864,0.8265593948786631,arts,
alt_twitter_total_l,0.004049575703255401,0.0014036274597795855,2.8850787116200434,0.003913158110579657,arts,*
coa_tot_cited_by_total_l,1.2225871138557511e-6,2.6716011798383535e-6,0.4576233620055986,0.6472230563294024,arts,
coa_online_news_total_l,0.001823949091888057,0.0014247519622882963,1.28018710636384,0.20047933944203555,arts,
coa_twitter_total_l,1.8841361461339643e-4,5.337259455060145e-4,0.3530156556934203,0.7240767036551331,arts,
as.factor(year)2014,0.16901462486483762,0.3650817720887577,0.4629500506087914,0.6434001706170951,arts,
as.factor(year)2015,-0.05613499754185296,0.5489087960767783,-0.10226652941812414,0.9185451216387027,arts,
as.factor(year)2016,-0.1761660978919515,0.6680305690551486,-0.2637096355352689,0.792003670208539,arts,
as.factor(year)2017,1.158590800972018,0.4508638702114033,2.5697131163532183,0.010178276502592074,arts,*
as.factor(year)2018,0.9585945347325907,0.4390103683903726,2.1835350683111847,0.028996429365107806,arts,*
as.factor(year)2019,0.9646311847564168,0.45408139568819345,2.1243574255986593,0.03364026719079938,arts,*
as.factor(year)2020,0.24713840901179224,0.5506101196154037,0.448844654697622,0.6535437232507102,arts,
as.factor(year)2021,1.9601395851896957,0.6052139996359369,3.23875453371668,0.0012005284641771763,arts,*
as.factor(year)2022,1.1611704830039442,0.8501515098117877,1.3658394646161507,0.1719893565105917,arts,
as.factor(year)2023,1.3728071014804863,0.5336867929778941,2.572308551651473,0.010102281210346268,arts,*
