term,Estimate,Std. Error,z value,Pr(>|z|),field,stars
(Intercept),2.2376228245166336,0.08310828423690714,26.92418505642713,1.144500444386297e-159,stem,***
alt_twitter_l,6.423055057588934e-4,9.861608192106685e-5,6.513192303391249,7.357022396607378e-11,stem,***
cited_by_total_all_l,6.2443015906720865e-6,3.660776607531857e-6,1.705731395306876,0.08805810147260652,stem,.
inferred_genderw,-0.11051706990601204,0.15412242553545571,-0.717073258625739,0.47332889499626096,stem,
news_all_total_l,2.8947967014258095e-4,3.7789092447744634e-4,0.7660402814459705,0.4436523345067527,stem,
alt_online_all_total_l,5.196103410426657e-4,1.2901775713961095e-4,4.027432754705168,5.638918757448795e-5,stem,***
coa_tot_cited_by_total_l,6.887829252460504e-7,3.3328175883234815e-7,2.0666685379337886,0.038765397730337985,stem,*
coa_online_news_total_l,-8.723762141521358e-5,8.976044027866728e-5,-0.9718938671020169,0.3311033511515334,stem,
coa_twitter_total_l,1.8240662605011198e-5,1.7323184667190532e-5,1.0529624289902269,0.29235821182331484,stem,
as.factor(year)2014,0.3796414006953764,0.06488201611719743,5.8512577662448715,4.8786943301210065e-9,stem,***
as.factor(year)2015,0.9470650061223955,0.09052247748012933,10.46220819939762,1.288179664177738e-25,stem,***
as.factor(year)2016,1.416636894542111,0.1272562964668676,11.132155609376438,8.749368432367478e-29,stem,***
as.factor(year)2017,1.6597647593100273,0.10671954145463075,15.552585184369786,1.528109708799509e-54,stem,***
as.factor(year)2018,1.6453962163519322,0.0981871952968791,16.75774739645946,4.971045134182035e-63,stem,***
as.factor(year)2019,1.8058334937454548,0.12052555569717732,14.982992472423398,9.484842171518649e-51,stem,***
as.factor(year)2020,1.6884250852383498,0.14212754718134127,11.87964697008441,1.5100374289936641e-32,stem,***
as.factor(year)2021,1.4810086144355146,0.13364295519348254,11.081830780315908,1.5369719835443703e-28,stem,***
as.factor(year)2022,1.640966742906127,0.09618651992341425,17.06025692802588,2.932625451771088e-65,stem,***
as.factor(year)2023,1.2507355462524756,0.1265956506643135,9.87976711434566,5.095118260209177e-23,stem,***
(Intercept),1.7419295053233055,0.1309111273233443,13.306198952979923,2.1304787357149044e-40,soc_sci,***
alt_twitter_l,0.0010450687720679453,1.3249081354385197e-4,7.887858366286257,3.0741636631022965e-15,soc_sci,***
cited_by_total_all_l,2.886064626089946e-5,9.83628176120408e-6,2.9341012144172827,0.0033451510527462464,soc_sci,*
inferred_genderw,0.11400106300403381,0.1499455191016005,0.7602832261148708,0.4470853061562342,soc_sci,
news_all_total_l,4.6729308856000246e-4,2.2311593139022639e-4,2.094395884903055,0.036224729046366665,soc_sci,*
alt_online_all_total_l,9.243845235845177e-4,6.979147209787121e-4,1.3244949501684369,0.1853387190757686,soc_sci,
coa_tot_cited_by_total_l,1.4267975184527706e-6,7.038430452667041e-7,2.027152968332763,0.04264677129418565,soc_sci,*
coa_online_news_total_l,-1.0162067196524861e-4,3.802890639430804e-4,-0.2672195484970839,0.7893001257206296,soc_sci,
coa_twitter_total_l,7.718775693998842e-6,3.69972209221805e-5,0.20863122963301542,0.8347361292895825,soc_sci,
as.factor(year)2014,0.26048170674494486,0.1249478945006359,2.0847226580806386,0.03709448270801732,soc_sci,*
as.factor(year)2015,0.6219529168231689,0.21395167415193173,2.9069785001145005,0.0036493827930197094,soc_sci,*
as.factor(year)2016,0.6443309933434658,0.13682719552366196,4.709085725812743,2.4883040826834833e-6,soc_sci,***
as.factor(year)2017,1.1615876135111691,0.1262611226828123,9.199883454460158,3.5833820432488825e-20,soc_sci,***
as.factor(year)2018,1.0822534029045618,0.18657401560263576,5.800665218084488,6.605235667346491e-9,soc_sci,***
as.factor(year)2019,1.3424267752835823,0.13780837656050263,9.741256727556113,2.0105235310614762e-22,soc_sci,***
as.factor(year)2020,1.2273237297013881,0.1247690639972154,9.836763139689657,7.818589905134802e-23,soc_sci,***
as.factor(year)2021,1.2584189897717035,0.12766078504910325,9.85752194213491,6.359963401688729e-23,soc_sci,***
as.factor(year)2022,1.1390880731488824,0.14633096973403303,7.784326689143495,7.008544467558782e-15,soc_sci,***
as.factor(year)2023,0.6102014651407838,0.18986025529758244,3.2139505142051377,0.0013092223482247085,soc_sci,*
(Intercept),2.964871308213363,0.09691903844877794,30.591216706925007,1.6017619388333917e-205,medicine,***
alt_twitter_l,2.663672414372952e-4,2.575896022828552e-5,10.340760615981752,4.608649508700699e-25,medicine,***
cited_by_total_all_l,1.4570626523171594e-5,6.470755059032066e-6,2.2517660443402963,0.024337060543190975,medicine,*
inferred_genderw,-0.1942471785214399,0.12526578447086975,-1.550680254324449,0.12097832878026321,medicine,
news_all_total_l,3.321725474415955e-4,3.918087711906684e-4,0.8477925249916068,0.3965535267599287,medicine,
alt_online_all_total_l,5.147731163459617e-4,2.229230743731194e-4,2.3091962004989925,0.020932696318490648,medicine,*
coa_tot_cited_by_total_l,2.969340319951949e-7,4.4547879777988734e-7,0.6665503127758531,0.5050594160136362,medicine,
coa_online_news_total_l,1.2094850494318584e-4,7.138712387087787e-5,1.6942621916236964,0.09021547162948536,medicine,.
coa_twitter_total_l,-8.082175354877396e-6,1.044944698717295e-5,-0.7734548407009998,0.4392532449780048,medicine,
as.factor(year)2014,0.22606333255312885,0.06294099575563052,3.59167073604656,3.2856481029886874e-4,medicine,***
as.factor(year)2015,0.8393447973315774,0.07299889409690445,11.498048124090282,1.3493227186340863e-30,medicine,***
as.factor(year)2016,0.9812183162738506,0.07050168320156305,13.917658014895402,4.948549175715071e-44,medicine,***
as.factor(year)2017,1.323654894494385,0.08230567912805621,16.082181794951982,3.401840844253764e-58,medicine,***
