profile_id,hits_identified
PRS1234607,15
PRS1234642,46
PRS1234724,318
PRS1234746,341
PRS1234752,181
PRS1234857,110
PRS1234881,1484
PRS1234906,281
PRS1234918,460
PRS1234964,42
PRS1234969,0
PRS1234972,195
PRS1234974,6
PRS1234981,3
PRS1234991,226
PRS1235034,13
PRS1235197,91
PRS1235335,151
PRS1235341,55
PRS1235358,91
PRS1235368,474
PRS1235469,710
PRS1235533,232
PRS1235542,136
PRS1235553,752
PRS1235556,19
PRS1235562,147
PRS1235586,43
PRS1235589,16
PRS1235633,0
PRS1235684,2
PRS1235712,0
PRS1235717,35
PRS1235743,59
PRS1235818,320
PRS1235884,36
PRS1235945,94
PRS1235964,35
PRS1235986,43
PRS1236108,127
PRS1236143,166
PRS1236147,2382
PRS1236170,5
PRS1236172,3
PRS1236173,222
PRS1236199,38
PRS1236301,4
PRS1236316,137
PRS1236321,198
PRS1236328,55
PRS1236341,1629
PRS1236356,35
PRS1236374,352
PRS1236425,179
PRS1236529,13
PRS1236555,61
PRS1236628,73
PRS1236634,0
PRS1236683,105
PRS1236697,293
PRS1236716,822
PRS1236718,87
PRS1236719,306
PRS1236728,3
PRS1236762,142
PRS1236791,2
PRS1236793,273
PRS1236819,16
PRS1236829,1158
PRS1236841,86
PRS1236859,10
PRS1236869,1
PRS1236874,131
PRS1236895,6
PRS1236896,207
PRS1236898,41
PRS1236899,58
PRS1236905,0
PRS1236917,4
PRS1236918,0
PRS1236951,3
PRS1236960,19
PRS1236973,50
PRS1236980,306
PRS1236981,19
PRS1236984,3017
PRS1236988,3
PRS1236989,1698
PRS1236990,253
PRS1237019,414
PRS1237021,0
PRS1237046,467
PRS1237073,44
PRS1237076,12
PRS1237098,45
PRS1237099,273
PRS1237104,32
PRS1237116,42
PRS1237120,342
PRS1237122,70
PRS1237123,8
PRS1237125,11
PRS1237132,688
PRS1237133,444
PRS1237137,19
PRS1237143,538
PRS1237176,1
PRS1237178,77
PRS1237206,10
PRS1237210,14
PRS1237212,12
PRS1237213,452
PRS1237214,38
PRS1237216,12
PRS1237217,251
PRS1237218,871
PRS1237220,2312
PRS1237231,54
PRS1237234,66
PRS1237252,9
PRS1237253,10
PRS1237254,9
PRS1237258,68
PRS1237265,87
PRS1237267,89
PRS1237274,8
PRS1237275,59
PRS1237279,8
PRS1237284,43
PRS1237292,21
PRS1237317,76
PRS1237328,0
PRS1237347,77
PRS1237350,31
PRS1237352,101
PRS1237353,155
PRS1237355,26
PRS1237356,15
PRS1237365,103
PRS1237368,30
PRS1237385,13
PRS1237388,146
PRS1237390,16
PRS1237399,1819
PRS1237401,334
PRS1237432,201
PRS1237433,15
PRS1237434,2
PRS1237454,125
PRS1237458,176
PRS1237459,1
PRS1237460,327
PRS1237464,95
PRS1237466,265
PRS1237470,30
PRS1237477,151
PRS1237478,150
PRS1237484,236
PRS1237507,136
PRS1237511,11
PRS1237521,816
PRS1237538,41
PRS1237539,4
PRS1237547,96
PRS1237548,4
PRS1237560,24
PRS1237562,78
PRS1237568,24
PRS1237573,0
PRS1237585,1428
PRS1237592,85
PRS1237602,374
PRS1237621,5
PRS1237643,48
PRS1237645,1
PRS1237646,47
PRS1237650,281
PRS1237674,118
PRS1237686,25
PRS1237690,39
PRS1237697,644
PRS1237698,35
PRS1237747,3
PRS1237753,15
PRS1237777,323
PRS1237781,121
PRS1237784,88
PRS1237803,41
PRS1237812,398
PRS1237818,618
PRS1237824,1
PRS1237826,75
PRS1237846,408
PRS1237850,15
PRS1237854,151
PRS1237856,188
PRS1237861,127
PRS1237870,717
PRS1237874,29
PRS1237875,22
PRS1237888,84
PRS1237893,133
PRS1237904,28
PRS1237911,202
PRS1237916,196
PRS1237917,55
PRS1237928,70
PRS1237930,210
PRS1237950,84
PRS1237952,3
PRS1237957,13
PRS1237961,152
PRS1237979,3
PRS1237989,34
PRS1237993,5
PRS1238010,17
PRS1238013,143
PRS1238015,6
PRS1238044,170
PRS1238045,0
PRS1238054,115
PRS1238058,38
PRS1238059,38
PRS1238077,737
PRS1238093,32
PRS1238106,50
PRS1238117,7
PRS1238123,68
PRS1238127,95
PRS1238144,71
PRS1238171,33
PRS1238188,361
PRS1238191,24
PRS1238197,23
PRS1238215,43
PRS1238221,52
PRS1238223,5
PRS1238234,195
PRS1238237,24
PRS1238240,285
PRS1238242,7
PRS1238251,58
PRS1238258,0
PRS1238287,59
PRS1238291,63
PRS1238313,2
PRS1238315,100
PRS1238345,18
PRS1238349,3
PRS1238351,390
PRS1238356,5
PRS1238363,13
PRS1238368,164
PRS1238369,1059
PRS1238370,31
PRS1238385,99
PRS1238386,2
PRS1238388,129
PRS1238390,31
PRS1238401,16
PRS1238402,52
PRS1238423,52
PRS1238426,2
PRS1238438,20
PRS1238444,5
PRS1238445,331
PRS1238465,195
PRS1238468,359
PRS1238469,1284
PRS1238470,152
PRS1238477,3
PRS1238490,20
PRS1238491,67
PRS1238500,192
PRS1238506,113
