id,works_count,cited_by_count
https://openalex.org/A5049827825,733,18218
https://openalex.org/A5033133140,625,16760
https://openalex.org/A5054987885,612,28979
https://openalex.org/A5012998474,585,6813
https://openalex.org/A5045638023,552,23427
https://openalex.org/A5057947182,467,4603
https://openalex.org/A5061413982,462,31183
https://openalex.org/A5033869597,448,24203
https://openalex.org/A5084339766,448,6874
https://openalex.org/A5005018540,439,13417
https://openalex.org/A5040046390,435,51594
https://openalex.org/A5090384758,429,6141
https://openalex.org/A5059663096,421,14886
https://openalex.org/A5063446448,401,6482
https://openalex.org/A5020555106,359,6591
https://openalex.org/A5017479959,341,12855
https://openalex.org/A5067369111,339,4523
https://openalex.org/A5020690315,335,10986
https://openalex.org/A5068613759,335,2694
https://openalex.org/A5009127164,320,10314
https://openalex.org/A5077152739,317,8134
https://openalex.org/A5068892781,309,11040
https://openalex.org/A5009560383,297,5736
https://openalex.org/A5066617319,281,8630
https://openalex.org/A5015377052,280,5563
https://openalex.org/A5008826703,277,9146
https://openalex.org/A5090357533,273,3605
https://openalex.org/A5033643407,265,11407
https://openalex.org/A5075575261,243,14665
https://openalex.org/A5039843593,237,4644
https://openalex.org/A5031383740,204,121
https://openalex.org/A5026311408,146,2472
https://openalex.org/A5056963341,143,4278
https://openalex.org/A5029948306,141,726
https://openalex.org/A5029014244,105,373
https://openalex.org/A5063144228,86,3766
https://openalex.org/A5019021658,69,31
https://openalex.org/A5068936159,68,719
https://openalex.org/A5078795173,66,4032
https://openalex.org/A5005001396,61,67
https://openalex.org/A5010724851,54,154
https://openalex.org/A5052658762,54,93
https://openalex.org/A5059987965,52,39
https://openalex.org/A5083958832,50,59
https://openalex.org/A5029270716,32,1070
https://openalex.org/A5062916481,21,50
https://openalex.org/A5006350724,12,10
https://openalex.org/A5036111779,2,4
https://openalex.org/A5031259253,1,1
https://openalex.org/A5083540148,1,16
https://openalex.org/A5087713906,1215,52198
https://openalex.org/A5086027798,733,3117
https://openalex.org/A5086675043,624,4671
