id,year,count_pubs,cited_by,count_pubs_auth,cited_by_auth
https://openalex.org/A5000014202,2012,14,490,14,502
https://openalex.org/A5000014202,2013,8,531,8,546
https://openalex.org/A5000014202,2014,13,679,14,696
https://openalex.org/A5000014202,2015,16,778,16,796
https://openalex.org/A5000014202,2016,12,861,12,882
https://openalex.org/A5000014202,2017,14,1142,14,1220
https://openalex.org/A5000014202,2018,9,1156,9,1276
https://openalex.org/A5000014202,2019,8,1260,8,1439
https://openalex.org/A5000014202,2020,8,1486,8,1708
https://openalex.org/A5000014202,2021,10,1601,10,1866
https://openalex.org/A5000014202,2022,7,1548,7,1832
https://openalex.org/A5000014202,2023,13,1536,13,1819
https://openalex.org/A5000200858,2012,2,23,2,23
https://openalex.org/A5000200858,2014,2,20,2,20
https://openalex.org/A5000200858,2015,7,14,7,14
https://openalex.org/A5000200858,2016,16,31,16,34
https://openalex.org/A5000200858,2017,23,64,23,82
https://openalex.org/A5000200858,2018,21,154,21,203
https://openalex.org/A5000200858,2019,12,316,12,436
https://openalex.org/A5000200858,2020,16,547,16,769
https://openalex.org/A5000200858,2021,19,629,19,853
https://openalex.org/A5000200858,2022,8,618,9,880
https://openalex.org/A5000200858,2023,1,784,1,1061
https://openalex.org/A5000251274,2014,1,43,1,43
https://openalex.org/A5000251274,2015,1,25,1,25
https://openalex.org/A5000251274,2016,2,26,2,26
https://openalex.org/A5000284499,2012,3,94,3,137
https://openalex.org/A5000284499,2013,8,132,8,202
https://openalex.org/A5000284499,2014,7,102,8,171
https://openalex.org/A5000284499,2015,7,108,7,161
https://openalex.org/A5000284499,2016,7,116,7,164
https://openalex.org/A5000284499,2017,5,131,5,196
https://openalex.org/A5000284499,2018,18,147,18,224
https://openalex.org/A5000284499,2019,2,134,2,202
https://openalex.org/A5000284499,2020,3,153,3,230
https://openalex.org/A5000284499,2021,7,191,7,296
https://openalex.org/A5000284499,2022,3,172,3,249
https://openalex.org/A5000284499,2023,2,149,2,239
https://openalex.org/A5000290698,2012,3,116,3,163
https://openalex.org/A5000290698,2013,6,136,6,210
https://openalex.org/A5000290698,2014,5,129,6,229
https://openalex.org/A5000290698,2015,1,110,4,202
https://openalex.org/A5000290698,2016,3,138,3,263
https://openalex.org/A5000290698,2017,3,133,3,250
https://openalex.org/A5000290698,2018,3,122,3,235
https://openalex.org/A5000290698,2019,4,142,4,290
https://openalex.org/A5000290698,2020,3,178,3,385
https://openalex.org/A5000290698,2021,6,222,6,490
https://openalex.org/A5000290698,2022,1,198,1,446
https://openalex.org/A5000290698,2023,6,181,6,379
https://openalex.org/A5000304131,2012,13,266,14,338
https://openalex.org/A5000304131,2013,6,295,6,381
https://openalex.org/A5000304131,2014,6,248,6,341
https://openalex.org/A5000304131,2015,8,329,9,448
https://openalex.org/A5000304131,2016,5,313,5,413
https://openalex.org/A5000304131,2017,7,278,7,398
https://openalex.org/A5000304131,2018,4,276,4,386
https://openalex.org/A5000304131,2019,4,247,4,377
https://openalex.org/A5000304131,2020,7,226,7,372
https://openalex.org/A5000304131,2021,30,272,30,461
https://openalex.org/A5000304131,2022,18,371,18,588
https://openalex.org/A5000304131,2023,90,598,90,883
https://openalex.org/A5000339023,2013,2,6,2,6
https://openalex.org/A5000339023,2014,6,2,10,2
https://openalex.org/A5000339384,2012,11,64,11,76
https://openalex.org/A5000339384,2013,15,144,15,187
https://openalex.org/A5000339384,2014,8,196,8,316
https://openalex.org/A5000339384,2015,12,193,13,311
https://openalex.org/A5000339384,2016,27,347,27,534
https://openalex.org/A5000339384,2017,16,391,17,524
https://openalex.org/A5000339384,2018,9,464,9,601
https://openalex.org/A5000339384,2019,18,606,18,811
https://openalex.org/A5000339384,2020,21,800,22,1038
https://openalex.org/A5000339384,2021,29,896,29,1124
https://openalex.org/A5000339384,2022,24,977,24,1204
https://openalex.org/A5000339384,2023,11,991,11,1194
