"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",0.709567836785649,0.14022371288665,5.06025565989134,4.22013111745845e-07,0.434719522016374,0.984416151554923,"stem","***","News attention"
"inferred_genderw",-0.115647120628723,0.14704308664102,-0.786484582651992,0.431591988427349,-0.403861886375411,0.172567645117965,"stem","","News attention"
"news_all_l",0.814307368836526,0.0380761979989344,21.3862573374399,1.82376952769405e-100,0.739675349491211,0.888939388181841,"stem","***","News attention"
"cited_by_total_all_l",1.66291825266728e-05,2.13821247069493e-05,0.777714224127984,0.436745738719436,-2.52812819797265e-05,5.85396470330722e-05,"stem","","News attention"
"alt_online_all_total_l",0.00136120307066996,0.00125326761314294,1.08612323209752,0.277436191831282,-0.00109528937512408,0.003817695516464,"stem","","News attention"
"alt_twitter_total_l",4.91728459298e-05,9.7050104898918e-05,0.506674835447274,0.612387989565884,-0.000141052168303071,0.000239397860162671,"stem","","News attention"
"coa_tot_cited_by_total_l",5.97913659406443e-06,2.56683458238442e-06,2.32938134584045,0.0198477371872014,9.47960734171632e-07,1.10103124539572e-05,"stem","*","News attention"
"coa_online_all_total_l",0.000117766768057302,0.000302721343613858,0.389026973293041,0.697259900130367,-0.00047558830309401,0.000711121839208614,"stem","","News attention"
"coa_twitter_total_l",-8.25831073818838e-05,6.6925817532698e-05,-1.23394992286103,0.217234543146861,-0.000213762404982477,4.85961902187097e-05,"stem","","News attention"
"as.factor(year)2014",-0.277623275932697,0.243991025440166,-1.13784216215272,0.255198595998415,-0.755862803189155,0.200616251323762,"stem","","News attention"
"as.factor(year)2015",-0.0584114297318557,0.156370174508703,-0.373545849874361,0.708745771254815,-0.364907942048827,0.248085082585115,"stem","","News attention"
"as.factor(year)2016",-0.0361883987064077,0.209711906191328,-0.172562442274458,0.862996938527544,-0.447238447354965,0.374861649942149,"stem","","News attention"
"as.factor(year)2017",-0.17698468606911,0.198897333599241,-0.889829355006426,0.37356710143263,-0.566837413731824,0.212868041593603,"stem","","News attention"
"as.factor(year)2018",-0.177161222834381,0.186600857996814,-0.949412691539747,0.342421025956527,-0.542911995646843,0.188589549978081,"stem","","News attention"
"as.factor(year)2019",-0.0398467923379472,0.217114077095053,-0.183529289630088,0.854384404490299,-0.465405615263274,0.38571203058738,"stem","","News attention"
"as.factor(year)2020",-0.466494096859501,0.239275695846102,-1.94960919540922,0.051235208000736,-0.935491247303718,0.00250305358471514,"stem",".","News attention"
"as.factor(year)2021",-0.297232414888388,0.231838571630025,-1.28206627912943,0.199832698083964,-0.751652280111445,0.157187450334669,"stem","","News attention"
"as.factor(year)2022",0.463204750302136,0.250666732007709,1.847890809411,0.0646313468455002,-0.0281196301664651,0.954529130770737,"stem",".","News attention"
"as.factor(year)2023",0.188819388946649,0.40088895158971,0.471001728029403,0.637644098819464,-0.596951080867684,0.974589858760982,"stem","","News attention"
"R^2",0.532,0.532,0.532,0.532,0.532,0.532,"stem","","News attention"
"(Intercept)",1.41161979897805,0.440249628610754,3.20640769972377,0.0013463813427671,0.548688376443582,2.27455122151252,"soc_sci","*","News attention"
"inferred_genderw",-0.653986227312959,0.240833059844758,-2.71551683034929,0.00662355221801805,-1.12604208248987,-0.18193037213605,"soc_sci","*","News attention"
"news_all_l",0.788527100752181,0.0853544612987598,9.23826462909958,2.77752930788689e-20,0.621224184584763,0.9558300169196,"soc_sci","***","News attention"
"cited_by_total_all_l",-3.16728535725923e-05,2.74816044899414e-05,-1.15251107642514,0.249126421268522,-8.55394295214891e-05,2.21937223763044e-05,"soc_sci","","News attention"
"alt_online_all_total_l",0.00124894393851111,0.00224014902635104,0.557527166192825,0.577174234172792,-0.00314196262987909,0.00563985050690131,"soc_sci","","News attention"
"alt_twitter_total_l",-0.000375722177013433,0.000288285393770791,-1.30329938710721,0.192489234817054,-0.000940789149875069,0.000189344795848203,"soc_sci","","News attention"
"coa_tot_cited_by_total_l",-9.17614498743524e-07,3.12852757639358e-06,-0.293305549123945,0.769291992677303,-7.04982808051253e-06,5.21459908302548e-06,"soc_sci","","News attention"
"coa_online_all_total_l",-0.00193190600237326,0.00156373113399145,-1.23544640148081,0.216680531356787,-0.00499696874001783,0.00113315673527132,"soc_sci","","News attention"
"coa_twitter_total_l",0.000547472526837164,0.000378739964800273,1.44551031768161,0.148332000567611,-0.000194894065559708,0.00128983911923404,"soc_sci","","News attention"
"as.factor(year)2014",-0.349720381423441,0.290227941972354,-1.20498522315523,0.228224843030733,-0.918594934743932,0.21915417189705,"soc_sci","","News attention"
"as.factor(year)2015",-0.164174552566082,0.219375489504018,-0.748372358905098,0.454245364876694,-0.594171515480665,0.265822410348501,"soc_sci","","News attention"
"as.factor(year)2016",0.14795777438879,0.231774692283821,0.6383689820958,0.523241636098831,-0.306342813100861,0.602258361878441,"soc_sci","","News attention"
"as.factor(year)2017",0.168659933374044,0.226841311665523,0.743515068466597,0.457179603251995,-0.275970755771148,0.613290622519236,"soc_sci","","News attention"
"as.factor(year)2018",0.256431265167747,0.460101375024071,0.557336446026339,0.577304506830592,-0.64541148098622,1.15827401132171,"soc_sci","","News attention"
"as.factor(year)2019",0.323552569163976,0.335091661611972,0.965564370081648,0.33427517915311,-0.333259170000304,0.980364308328256,"soc_sci","","News attention"
"as.factor(year)2020",1.13912130971294,0.327925884307746,3.47371575170905,0.00051451090828772,0.496355180132049,1.78188743929382,"soc_sci","***","News attention"
"as.factor(year)2021",1.00686231795816,0.348748336036384,2.88707418478726,0.00389305141051979,0.323282189402304,1.69044244651401,"soc_sci","*","News attention"
"as.factor(year)2022",0.364851298686544,0.356035742769861,1.02476031155777,0.305490064079049,-0.333012844779102,1.06271544215219,"soc_sci","","News attention"
"as.factor(year)2023",2.98233199870378,0.995359091799461,2.99623726077809,0.00273705882467679,1.03133288093157,4.933331116476,"soc_sci","*","News attention"
"R^2",0.395,0.395,0.395,0.395,0.395,0.395,"soc_sci","","News attention"
