"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars"
"(Intercept)",0.311183324512054,0.113170195634996,2.74969326301869,0.0059699225438319,0.0893617507558385,0.53300489826827,"stem","*"
"inferred_genderw",-0.166388269786586,0.0356846942934234,-4.66273490865385,3.13845693219393e-06,-0.236332790097452,-0.0964437494757201,"stem","***"
"cited_by_total_all_l_log",0.00610734519070934,0.0165238642654062,0.369607562287683,0.711678432991774,-0.026280595426697,0.0384952858081156,"stem",""
"alt_online_all_total_l_log",0.130146723733141,0.0139768736233123,9.3115761965585,1.37285153098164e-20,0.102751064602937,0.157542382863346,"stem","***"
"alt_twitter_total_l_log",0.00713498851717438,0.00857419882283011,0.83214638062467,0.405335255550796,-0.00967104655157414,0.0239410235859229,"stem",""
"coa_tot_cited_by_total_l_log",0.0293027728606124,0.00974631286007733,3.00654958252386,0.00264525783870832,0.0101993115224731,0.0484062341987516,"stem","*"
"coa_online_all_total_l_log",0.0417720136553352,0.0103936851978885,4.01898006915019,5.86429543058024e-05,0.0213996568277628,0.0621443704829076,"stem","***"
"coa_twitter_total_l_log",-0.00384691289787472,0.00831709921763542,-0.462530600779391,0.643705385957764,-0.0201490145880831,0.0124551887923337,"stem",""
"as.factor(year)2014",-0.0594437389274577,0.0204964721544694,-2.90019367623201,0.00373297119624954,-0.0996182714909494,-0.019269206363966,"stem","*"
"as.factor(year)2015",-0.0727085008425334,0.0244651552405472,-2.97192068178789,0.00296259672347326,-0.120661932461151,-0.0247550692239161,"stem","*"
"as.factor(year)2016",-0.0784588798288382,0.0275967510513505,-2.84304770814674,0.00447250679426668,-0.132550460341014,-0.0243672993166623,"stem","*"
"as.factor(year)2017",-0.0971284836533543,0.030593245491221,-3.17483425160714,0.00150126375474219,-0.157093404833312,-0.0371635624733966,"stem","*"
"as.factor(year)2018",-0.120419386331912,0.0332359846209626,-3.62316289724002,0.000291670205125468,-0.185564262795124,-0.0552745098686998,"stem","***"
"as.factor(year)2019",-0.149015085438376,0.0354051871353786,-4.20884897087502,2.57681481419514e-05,-0.218411751985044,-0.0796184188917074,"stem","***"
"as.factor(year)2020",-0.205848958939316,0.0378268235873182,-5.4418779960242,5.32783205324529e-08,-0.279992203909929,-0.131705713968703,"stem","***"
"as.factor(year)2021",-0.230946422308972,0.0400459328166651,-5.7670381500731,8.17449788268743e-09,-0.309439278047939,-0.152453566570006,"stem","***"
"as.factor(year)2022",-0.0259528736830039,0.0424757920358863,-0.61100387865816,0.541203253892841,-0.10920842505035,0.0573026776843426,"stem",""
"as.factor(year)2023",-0.0187870306773943,0.0439065307320824,-0.427886930808375,0.668737583694774,-0.104846930905705,0.0672728695509167,"stem",""
"R^2",0.114,0.114,0.114,0.114,0.114,0.114,"stem",""
"(Intercept)",1.0628181860806,0.0768897346151531,13.8226278371254,3.1119098491594e-43,0.912106838320368,1.21352953384083,"soc_sci","***"
"inferred_genderw",-0.19915232467885,0.0422954743231054,-4.70859655473958,2.51306494293014e-06,-0.28205556229956,-0.11624908705814,"soc_sci","***"
"cited_by_total_all_l_log",-0.0154101239750302,0.0151068791348543,-1.02007329491876,0.307707549853593,-0.0450210743347948,0.0142008263847344,"soc_sci",""
"alt_online_all_total_l_log",0.13336816309191,0.0187843462105978,7.09996300093033,1.29492081117908e-12,0.0965490200897437,0.170187306094076,"soc_sci","***"
"alt_twitter_total_l_log",0.00935972138967529,0.0111574778797862,0.838874294936503,0.401551106971216,-0.0125100189246075,0.0312294617039581,"soc_sci",""
"coa_tot_cited_by_total_l_log",-0.00396249838967788,0.0113791291264154,-0.348225101029865,0.72767525184512,-0.0262666966752285,0.0183416998958727,"soc_sci",""
"coa_online_all_total_l_log",0.0285891327616378,0.0137101593271658,2.08525167938714,0.0370606572066539,0.0017158888813368,0.0554623766419388,"soc_sci","*"
"coa_twitter_total_l_log",-0.018600344359554,0.0101061513076956,-1.84049731626225,0.0657118757618218,-0.0384093824824588,0.00120869376335081,"soc_sci","."
"as.factor(year)2014",-0.0044991336245243,0.0240723917077255,-0.186900150145048,0.851741049268299,-0.0516833594024148,0.0426850921533662,"soc_sci",""
"as.factor(year)2015",-0.0111010296827391,0.02735262969758,-0.405848717489905,0.684858633533245,-0.0647148405138188,0.0425127811483405,"soc_sci",""
"as.factor(year)2016",0.0216700015313049,0.0305454449211639,0.709434797470913,0.478063982601356,-0.0382020372401387,0.0815420403027484,"soc_sci",""
"as.factor(year)2017",0.0336809396391774,0.0332158919010031,1.01400076022527,0.310596157476338,-0.031425434579881,0.0987873138582358,"soc_sci",""
