"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-3.00092968437816,0.0912057155101602,-32.9028687247551,1.99972385519451e-237,-3.17968960196228,-2.82216976679404,"stem","***","News attention"
"news_all_l",0.22123197599087,0.00463918291379851,47.6877027919831,0,0.212139344562131,0.230324607419608,"stem","***","News attention"
"inferred_genderw",-0.139686995319887,0.0797639048202028,-1.75125572945254,0.0799018697516704,-0.296021376033765,0.0166473853939914,"stem",".","News attention"
"cited_by_total_all_l",2.18124948445779e-05,3.86026867592394e-06,5.65051209534197,1.59970549646003e-08,1.42465072691189e-05,2.9378482420037e-05,"stem","***","News attention"
"alt_online_all_total_l",0.000431362301703214,0.000247037853326539,1.74613847997227,0.0807868917251953,-5.28229936348901e-05,0.000915547597041318,"stem",".","News attention"
"alt_twitter_total_l",1.89584092182358e-05,3.18462674645101e-05,0.595310242852267,0.551636110402477,-4.34591280542338e-05,8.13759464907054e-05,"stem","","News attention"
"coa_tot_cited_by_total_l",6.68771403812138e-07,3.30335716593519e-07,2.02452042034276,0.0429166330631986,2.13252964816095e-08,1.31621751114267e-06,"stem","*","News attention"
"coa_online_all_total_l",-2.32809633035046e-05,9.38699533361736e-05,-0.248012942119287,0.80412439322319,-0.00020726269107286,0.000160700764465851,"stem","","News attention"
"coa_twitter_total_l",1.26360929329681e-05,1.89506238419515e-05,0.666790340959398,0.504906063339038,-2.45064472818228e-05,4.9778633147759e-05,"stem","","News attention"
"as.factor(year)2014",0.00844404806362455,0.12189611664893,0.0692724944465956,0.944772719381485,-0.230467950423571,0.24735604655082,"stem","","News attention"
"as.factor(year)2015",-0.174198572100234,0.125542035422152,-1.38757167282231,0.165267512231707,-0.420256440073504,0.0718592958730367,"stem","","News attention"
"as.factor(year)2016",-0.0587656520660304,0.122673504741255,-0.479041111525914,0.631909381951716,-0.299201303216194,0.181669999084134,"stem","","News attention"
"as.factor(year)2017",-0.449778132376639,0.130307319876751,-3.45167203808701,0.000557124458707118,-0.70517578625701,-0.194380478496268,"stem","***","News attention"
"as.factor(year)2018",-0.295103345930377,0.125528051084488,-2.35089562357463,0.0187282865150108,-0.541133805105478,-0.0490728867552753,"stem","*","News attention"
"as.factor(year)2019",-0.568179108621385,0.130709984377035,-4.34686846096212,1.38094978447425e-05,-0.824365970420166,-0.311992246822603,"stem","***","News attention"
"as.factor(year)2020",-0.778724206175369,0.134763500524455,-5.77845041977116,7.5391753290489e-09,-1.04285581363385,-0.514592598716892,"stem","***","News attention"
"as.factor(year)2021",-0.751107835646777,0.134873746336756,-5.56896991480752,2.56249722245832e-08,-1.01545552092681,-0.486760150366743,"stem","***","News attention"
"as.factor(year)2022",-0.871972157724536,0.138939785933401,-6.27589967745094,3.47618280980832e-10,-1.14428913417371,-0.599655181275365,"stem","***","News attention"
"as.factor(year)2023",-1.21584425289426,0.144620051953805,-8.40716232962376,4.20049529878133e-17,-1.49929434616603,-0.932394159622493,"stem","***","News attention"
"R^2",0.363,0.363,0.363,0.363,0.363,0.363,"stem","","News attention"
"(Intercept)",-3.19147382175019,0.110419430841757,-28.90319029378,1.08864154298056e-183,-3.40789192939345,-2.97505571410694,"soc_sci","***","News attention"
"news_all_l",0.175110294167936,0.0037480455373437,46.7204286669471,0,0.167764259902326,0.182456328433545,"soc_sci","***","News attention"
"inferred_genderw",-0.312959994204757,0.075888802418304,-4.12392848789076,3.7246457798913e-05,-0.461699313774509,-0.164220674635005,"soc_sci","***","News attention"
"cited_by_total_all_l",1.66399165758841e-05,1.00780673051566e-05,1.65110194961389,0.0987177592967476,-3.11273237599346e-06,3.63925655277616e-05,"soc_sci",".","News attention"
"alt_online_all_total_l",0.000118118236172256,0.000654696346444232,0.180416825011742,0.856825346603179,-0.0011650630236684,0.00140129949601291,"soc_sci","","News attention"
"alt_twitter_total_l",8.67445155346317e-05,8.08597896355654e-05,1.07277691329137,0.283371221602941,-7.17377599485615e-05,0.000245226791017825,"soc_sci","","News attention"
"coa_tot_cited_by_total_l",-2.01350651572422e-06,1.26470210551664e-06,-1.59207967389419,0.111366803576531,-4.4922770937088e-06,4.65264062260364e-07,"soc_sci","","News attention"
"coa_online_all_total_l",-0.000310176536561826,0.000322568581597229,-0.961583223716201,0.336259001921956,-0.000942399339036565,0.000322046265912913,"soc_sci","","News attention"
"coa_twitter_total_l",6.13319644496445e-05,4.34055663415122e-05,1.41299767792657,0.157656406859421,-2.37413823082834e-05,0.000146405311207572,"soc_sci","","News attention"
"as.factor(year)2014",-0.0916098146800314,0.14761654966076,-0.620593117035735,0.53486736951981,-0.38093293553719,0.197713306177127,"soc_sci","","News attention"
"as.factor(year)2015",-0.0047787757921483,0.144486407587386,-0.0330742238799044,0.97361539786492,-0.287966930918999,0.278409379334702,"soc_sci","","News attention"
"as.factor(year)2016",-0.103355797330551,0.146803363253113,-0.704042434997543,0.481406347324233,-0.391085102116004,0.184373507454902,"soc_sci","","News attention"
"as.factor(year)2017",-0.118333390001303,0.145958157447353,-0.810735022083202,0.417517856540724,-0.404406121847942,0.167739341845335,"soc_sci","","News attention"
"as.factor(year)2018",-0.368684302351723,0.150117611569893,-2.4559696793475,0.0140505011748734,-0.662909414473887,-0.0744591902295594,"soc_sci","*","News attention"
"as.factor(year)2019",-0.248203371701264,0.148035911773559,-1.67664297620516,0.093612317588415,-0.538348427195988,0.04194168379346,"soc_sci",".","News attention"
"as.factor(year)2020",-0.429251661957351,0.152907876080994,-2.80725671534394,0.00499654054683121,-0.728945592028614,-0.129557731886089,"soc_sci","*","News attention"
"as.factor(year)2021",-0.813628133247274,0.164286396257752,-4.95249851345426,7.32666162937426e-07,-1.13562355306234,-0.491632713432205,"soc_sci","***","News attention"
"as.factor(year)2022",-1.01620404808885,0.173384480437467,-5.8609862054831,4.60126204294803e-09,-1.35603138522447,-0.676376710953222,"soc_sci","***","News attention"
"as.factor(year)2023",-1.00519813228069,0.172984836271855,-5.81090316321699,6.21367000692646e-09,-1.34424218124509,-0.6661540833163,"soc_sci","***","News attention"
"R^2",0.426,0.426,0.426,0.426,0.426,0.426,"soc_sci","","News attention"
"(Intercept)",-2.37152875572986,0.0850479304277608,-27.8846145203289,4.10021335769444e-171,-2.53821963632794,-2.20483787513178,"medicine","***","News attention"
"news_all_l",0.178643405446941,0.00473440947366655,37.7329858012029,0,0.169364133390489,0.187922677503392,"medicine","***","News attention"
"inferred_genderw",-0.235862556524379,0.0641571543418429,-3.6763250949014,0.000236617953565536,-0.361608268384969,-0.11011684466379,"medicine","***","News attention"
"cited_by_total_all_l",7.54648437112199e-06,3.86306805420024e-06,1.95349506279519,0.0507609617427902,-2.4989884937706e-08,1.51179586271817e-05,"medicine",".","News attention"
"alt_online_all_total_l",0.000353416150074239,0.000225790488520192,1.5652393171674,0.117526805787095,-8.91250754770411e-05,0.00079595737562552,"medicine","","News attention"
"alt_twitter_total_l",1.78495486785285e-05,1.82088390788076e-05,0.980268352159958,0.326953672353657,-1.78391201162198e-05,5.35382174732769e-05,"medicine","","News attention"
"coa_tot_cited_by_total_l",7.54359615117754e-07,2.59941266374989e-07,2.90203870142542,0.00370742735120195,2.44884094927042e-07,1.26383513530847e-06,"medicine","*","News attention"
"coa_online_all_total_l",5.77184967648506e-05,7.43774129391183e-05,0.776021838943176,0.437736091287894,-8.80585538590847e-05,0.000203495547388786,"medicine","","News attention"
"coa_twitter_total_l",-1.09835384579437e-05,9.31568604328374e-06,-1.17903699275723,0.238383445800459,-2.92419475940623e-05,7.27487067817483e-06,"medicine","","News attention"
"as.factor(year)2014",-0.179215550032106,0.117640528662911,-1.52341673459861,0.127654477890301,-0.409786749333663,0.051355649269451,"medicine","","News attention"
"as.factor(year)2015",-0.303715745487046,0.119630027662153,-2.53879190218672,0.011123596537149,-0.538186291174395,-0.0692451997996965,"medicine","*","News attention"
"as.factor(year)2016",-0.46726080862359,0.122348076804017,-3.81911036797146,0.000133933831836464,-0.707058632737204,-0.227462984509976,"medicine","***","News attention"
"as.factor(year)2017",-0.241902168516524,0.1162783395074,-2.08037171446819,0.037491451596447,-0.469803526133148,-0.0140008108998996,"medicine","*","News attention"
"as.factor(year)2018",-0.300843111052477,0.116683956350322,-2.57827314450369,0.00992954742503523,-0.529539463072752,-0.0721467590322019,"medicine","*","News attention"
"as.factor(year)2019",-0.575267128653161,0.123280337157099,-4.6663331875876,3.06622354030428e-06,-0.81689214948303,-0.333642107823292,"medicine","***","News attention"
"as.factor(year)2020",-0.771405043015801,0.127535522376567,-6.04855046375329,1.46154843632921e-09,-1.02137007362337,-0.521440012408228,"medicine","***","News attention"
