"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-1.20745699373943,0.0583380171842984,-20.697600844487,3.64047250059216e-95,-1.32179740635014,-1.09311658112873,"stem","***","Twitter attention"
"alt_twitter_l",0.451110630745803,0.0091908233819284,49.0827221892662,0,0.433096947928955,0.469124313562652,"stem","***","Twitter attention"
"cited_by_total_all_l",-3.84778092938856e-07,4.06699045300996e-06,-0.0946100310252964,0.924624581973421,-8.35593290630661e-06,7.58637672042889e-06,"stem","","Twitter attention"
"inferred_genderw",-0.00447408821246945,0.0511394171734071,-0.0874880563714366,0.930283578663457,-0.104705504062716,0.0957573276377776,"stem","","Twitter attention"
"news_all_total_l",-0.00055934886717117,0.000212789032969848,-2.62865458508113,0.0085723384031634,-0.000976407708097177,-0.000142290026245163,"stem","*","Twitter attention"
"alt_online_all_total_l",-0.000278989325429347,0.000420775238295505,-0.663036462315342,0.507307201874135,-0.00110369363807479,0.000545714987216101,"stem","","Twitter attention"
"coa_tot_cited_by_total_l",5.29349827643281e-07,3.65932026348568e-07,1.44657966378447,0.14801468527617,-1.87863764789674e-07,1.24656342007624e-06,"stem","","Twitter attention"
"coa_online_all_total_l",3.30242427434914e-05,0.000148151756760498,0.222908208890688,0.823606947352635,-0.000257347864753423,0.000323396350240406,"stem","","Twitter attention"
"coa_twitter_total_l",-8.19932556882339e-05,3.69393750226978e-05,-2.21967089691832,0.0264411157965205,-0.00015439310034414,-9.59341103232776e-06,"stem","*","Twitter attention"
"as.factor(year)2014",-0.0849037098892658,0.0808156616967896,-1.0505848508401,0.293449301786877,-0.243299496201747,0.0734920764232149,"stem","","Twitter attention"
"as.factor(year)2015",-0.166597010698364,0.0824342501850083,-2.02096835143728,0.0432830413869733,-0.328165172153545,-0.00502884924318367,"stem","*","Twitter attention"
"as.factor(year)2016",-0.146562995897634,0.0838753144518598,-1.74739131358791,0.0805694832112562,-0.310955591415251,0.0178295996199831,"stem",".","Twitter attention"
"as.factor(year)2017",-0.103737898497468,0.0850885482173673,-1.21917579593037,0.222777476483462,-0.270508388500308,0.0630325915053713,"stem","","Twitter attention"
"as.factor(year)2018",-0.137091866997264,0.0866944747801954,-1.58132184715168,0.113804466769074,-0.307009915225062,0.0328261812305354,"stem","","Twitter attention"
"as.factor(year)2019",-0.118049478317403,0.087549295687291,-1.34837724724883,0.177537078195177,-0.289642944736342,0.0535439881015348,"stem","","Twitter attention"
"as.factor(year)2020",0.0344778457607323,0.0876154884401233,0.393513137626283,0.693940522636169,-0.137245356069795,0.206201047591259,"stem","","Twitter attention"
"as.factor(year)2021",-0.133201003302386,0.0908557479880593,-1.4660712860995,0.142628867319543,-0.31127499714743,0.0448729905426579,"stem","","Twitter attention"
"as.factor(year)2022",-0.132637849308355,0.0930931326892852,-1.42478661397138,0.154218892905782,-0.315097036587362,0.0498213379706522,"stem","","Twitter attention"
"as.factor(year)2023",-0.215471360523783,0.0940089491788336,-2.29203030568814,0.0219038944698189,-0.399725515138753,-0.0312172059088129,"stem","*","Twitter attention"
"R^2",0.471,0.471,0.471,0.471,0.471,0.471,"stem","","Twitter attention"
"(Intercept)",-1.67259330647269,0.0723294620429707,-23.1246474013454,2.61648154758048e-118,-1.81435644709807,-1.53083016584731,"soc_sci","***","Twitter attention"
"alt_twitter_l",0.440562033148021,0.0102545547926716,42.9625704923696,0,0.420463475076892,0.46066059121915,"soc_sci","***","Twitter attention"
"cited_by_total_all_l",3.93203576057534e-05,9.18442176517955e-06,4.2812012134315,1.85887183167932e-05,2.13192217271757e-05,5.73214934843311e-05,"soc_sci","***","Twitter attention"
"inferred_genderw",-0.0475697313202716,0.0459237648900133,-1.03584127813128,0.30027619664412,-0.137578656539183,0.0424391938986396,"soc_sci","","Twitter attention"
"news_all_total_l",-0.000798298165112621,0.00019767580749059,-4.03842116669042,5.38121718136472e-05,-0.00118573562840905,-0.000410860701816191,"soc_sci","***","Twitter attention"
