"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-2.13085749878014,0.0734593156776833,-29.007314853431,5.32046317885959e-185,-2.27483511183736,-1.98687988572292,"stem","***","Twitter attention"
"cited_by_total_all_l",1.63603238794749e-05,2.96730141296395e-06,5.51353624138003,3.51694574542728e-08,1.05445199787907e-05,2.2176127780159e-05,"stem","***","Twitter attention"
"inferred_genderw",-0.150252550238809,0.0631260804882241,-2.38019767862569,0.0173033529040769,-0.273977394480905,-0.0265277059967134,"stem","*","Twitter attention"
"news_all_total_l",-0.000358876501070443,0.000215305448776733,-1.66682498334072,0.0955492109214,-0.000780867426348073,6.31144242071865e-05,"stem",".","Twitter attention"
"alt_online_all_total_l",0.00335685784937065,0.000244363857852405,13.7371290454834,6.08409132804208e-43,0.00287791348885667,0.00383580220988462,"stem","***","Twitter attention"
"coa_tot_cited_by_total_l",6.49444705522235e-07,2.94716338619409e-07,2.20362640417067,0.0275506287836465,7.18112961726824e-08,1.22707811487179e-06,"stem","*","Twitter attention"
"coa_online_all_total_l",-0.00070022284484646,8.79736741286101e-05,-7.95945891520676,1.72793232834658e-15,-0.000872648077726199,-0.000527797611966721,"stem","***","Twitter attention"
"coa_twitter_total_l",0.000223114434628641,1.77804808344927e-05,12.548279020431,4.06243376668126e-36,0.00018826533256523,0.000257963536692051,"stem","***","Twitter attention"
"as.factor(year)2014",-0.0361364103331709,0.101831205461502,-0.354865781755205,0.722690144452242,-0.235721905540014,0.163449084873672,"stem","","Twitter attention"
"as.factor(year)2015",-0.0739919433966732,0.102009821760482,-0.725341365367792,0.468242634728393,-0.273927520116568,0.125943633323222,"stem","","Twitter attention"
"as.factor(year)2016",-0.107939108285156,0.102109454652695,-1.05709220220879,0.290469509665719,-0.308069961885465,0.092191745315152,"stem","","Twitter attention"
"as.factor(year)2017",-0.173402049741027,0.102699589381779,-1.68843956226949,0.0913268814523412,-0.374689546156366,0.0278854466743121,"stem",".","Twitter attention"
"as.factor(year)2018",-0.244674633980748,0.103360037481876,-2.36720728766814,0.0179228913134385,-0.447256584885935,-0.042092683075562,"stem","*","Twitter attention"
"as.factor(year)2019",-0.348253752860692,0.104597040026871,-3.32948000030617,0.000870083127184689,-0.553260184202854,-0.14324732151853,"stem","***","Twitter attention"
"as.factor(year)2020",-0.476757901211078,0.106870728915141,-4.46107092232562,8.15510935935507e-06,-0.686220680886298,-0.267295121535859,"stem","***","Twitter attention"
"as.factor(year)2021",-0.635841501397082,0.110050414306073,-5.77772928349614,7.57155034031715e-09,-0.851536349920697,-0.420146652873467,"stem","***","Twitter attention"
"as.factor(year)2022",-0.737215476280493,0.113181373005016,-6.51357601261666,7.33824435681728e-11,-0.959046891091119,-0.515384061469867,"stem","***","Twitter attention"
