scopus_field_overall,news_type,n_total_m,n_total_w,total_m,total_w,ave_m,ave_w,p_sig,share_m,share_w
Physical Sciences,All printed news,1291,232,118251,15186,91.88,65.46,*,1,1
Physical Sciences,National news (NL),1291,232,22946,3939,17.83,16.98,,0.19,0.26
Physical Sciences,Local news (NL),1291,232,43445,4565,33.76,19.68,**,0.37,0.3
Physical Sciences,International news (top outlets),1291,232,3372,613,2.62,2.64,,0.03,0.04
Physical Sciences,International news (local),1291,232,3522,388,2.74,1.67,,0.03,0.03
Physical Sciences,International news (other),1291,232,1118,175,0.87,0.75,,0.01,0.01
Physical Sciences,Financial news,1291,232,4450,337,3.46,1.45,***,0.04,0.02
Physical Sciences,Professional news,1291,232,1269,185,0.99,0.8,,0.01,0.01
Physical Sciences,Science news,1291,232,1414,205,1.1,0.88,,0.01,0.01
Physical Sciences,Blogs,1291,232,510,63,0.4,0.27,,0,0
Physical Sciences,News aggregators,1291,232,16179,2317,12.57,9.99,,0.14,0.15
Physical Sciences,Unknown,1291,232,3735,497,2.9,2.14,,0.03,0.03
Physical Sciences,Other news,1291,232,16291,1902,12.66,8.2,,0.14,0.13
Life Sciences,All printed news,529,147,42927,5245,81.61,35.68,***,1,1
Life Sciences,National news (NL),529,147,9210,1249,17.51,8.5,**,0.21,0.24
Life Sciences,Local news (NL),529,147,14914,1947,28.35,13.24,***,0.35,0.37
Life Sciences,International news (top outlets),529,147,1066,78,2.03,0.53,**,0.02,0.01
Life Sciences,International news (local),529,147,1015,74,1.93,0.5,*,0.02,0.01
Life Sciences,International news (other),529,147,194,19,0.37,0.13,*,0,0
Life Sciences,Financial news,529,147,1904,89,3.62,0.61,***,0.04,0.02
Life Sciences,Professional news,529,147,968,128,1.84,0.87,**,0.02,0.02
Life Sciences,Science news,529,147,587,86,1.12,0.59,***,0.01,0.02
Life Sciences,Blogs,529,147,146,10,0.28,0.07,**,0,0
Life Sciences,News aggregators,529,147,6260,918,11.9,6.24,***,0.15,0.18
Life Sciences,Unknown,529,147,1162,247,2.21,1.68,*,0.03,0.05
Life Sciences,Other news,529,147,5501,400,10.46,2.72,***,0.13,0.08
Health Sciences,All printed news,1283,546,125040,32890,98.3,60.46,***,1,1
Health Sciences,National news (NL),1283,546,26404,7275,20.76,13.37,***,0.21,0.22
Health Sciences,Local news (NL),1283,546,57457,16393,45.17,30.13,***,0.46,0.5
Health Sciences,International news (top outlets),1283,546,2604,388,2.05,0.71,**,0.02,0.01
Health Sciences,International news (local),1283,546,3111,584,2.45,1.07,.,0.02,0.02
Health Sciences,International news (other),1283,546,868,129,0.68,0.24,*,0.01,0
Health Sciences,Financial news,1283,546,4477,1146,3.52,2.11,,0.04,0.03
Health Sciences,Professional news,1283,546,1539,321,1.21,0.59,***,0.01,0.01
Health Sciences,Science news,1283,546,1353,252,1.06,0.46,***,0.01,0.01
Health Sciences,Blogs,1283,546,301,93,0.24,0.17,,0,0
Health Sciences,News aggregators,1283,546,10675,2503,8.39,4.6,**,0.09,0.08
Health Sciences,Unknown,1283,546,4268,1422,3.36,2.61,**,0.03,0.04
Health Sciences,Other news,1283,546,11983,2384,9.42,4.38,**,0.1,0.07
Social Sciences,All printed news,1640,766,254574,78713,155.8,102.89,***,1,1
Social Sciences,National news (NL),1640,766,71675,23876,43.86,31.21,**,0.28,0.3
Social Sciences,Local news (NL),1640,766,123834,38937,75.79,50.9,**,0.49,0.49
Social Sciences,International news (top outlets),1640,766,3273,752,2,0.98,***,0.01,0.01
Social Sciences,International news (local),1640,766,2276,391,1.39,0.51,***,0.01,0
Social Sciences,International news (other),1640,766,1274,243,0.78,0.32,*,0.01,0
Social Sciences,Financial news,1640,766,17669,4217,10.81,5.51,***,0.07,0.05
Social Sciences,Professional news,1640,766,3220,1177,1.97,1.54,,0.01,0.01
Social Sciences,Science news,1640,766,1919,565,1.17,0.74,**,0.01,0.01
Social Sciences,Blogs,1640,766,562,81,0.34,0.11,*,0,0
Social Sciences,News aggregators,1640,766,11200,3580,6.85,4.68,**,0.04,0.05
Social Sciences,Unknown,1640,766,3149,1137,1.93,1.49,*,0.01,0.01
Social Sciences,Other news,1640,766,14523,3757,8.89,4.91,***,0.06,0.05
Arts and Humanities,All printed news,247,110,23442,5079,95.29,46.17,***,1,1
Arts and Humanities,National news (NL),247,110,9959,1893,40.48,17.21,***,0.42,0.37
Arts and Humanities,Local news (NL),247,110,9519,2160,38.7,19.64,**,0.41,0.43
Arts and Humanities,International news (top outlets),247,110,318,40,1.29,0.36,**,0.01,0.01
Arts and Humanities,International news (local),247,110,363,47,1.48,0.43,,0.02,0.01
Arts and Humanities,International news (other),247,110,18,17,0.07,0.15,,0,0
Arts and Humanities,Financial news,247,110,587,67,2.39,0.61,,0.03,0.01
Arts and Humanities,Professional news,247,110,146,51,0.59,0.46,,0.01,0.01
Arts and Humanities,Science news,247,110,199,43,0.81,0.39,*,0.01,0.01
Arts and Humanities,Blogs,247,110,4,2,0.02,0.02,,0,0
Arts and Humanities,News aggregators,247,110,775,340,3.15,3.09,,0.03,0.07
Arts and Humanities,Unknown,247,110,214,98,0.87,0.89,,0.01,0.02
Arts and Humanities,Other news,247,110,1340,321,5.45,2.92,*,0.06,0.06
