scopus_field_overall,news_type,n_total_m,n_total_w,total_m,total_w,ave_m,ave_w,p_sig,share_m,share_w
Physical Sciences,All online news,1291,232,10202,1231,7.9,5.31,*,1,1
Physical Sciences,General interest news,1291,232,1333,198,1.03,0.85,,0.13,0.16
Physical Sciences,General interest news (local),1291,232,261,14,0.2,0.06,*,0.03,0.01
Physical Sciences,Financial news,1291,232,223,19,0.17,0.08,*,0.02,0.02
Physical Sciences,Online blogs,1291,232,1854,222,1.44,0.96,*,0.18,0.18
Physical Sciences,Popular science news,1291,232,340,34,0.26,0.15,*,0.03,0.03
Physical Sciences,Medial news,1291,232,161,15,0.12,0.06,*,0.02,0.01
Physical Sciences,Science news,1291,232,2186,285,1.69,1.23,,0.21,0.23
Physical Sciences,Science news aggregators,1291,232,1958,249,1.52,1.07,*,0.19,0.2
Physical Sciences,News aggregators,1291,232,248,34,0.19,0.15,,0.02,0.03
Physical Sciences,Other news,1291,232,1638,161,1.27,0.69,**,0.16,0.13
Life Sciences,All online news,529,147,4888,916,9.26,6.23,*,1,1
Life Sciences,General interest news,529,147,530,73,1,0.5,**,0.11,0.08
Life Sciences,General interest news (local),529,147,87,12,0.16,0.08,.,0.02,0.01
Life Sciences,Financial news,529,147,87,20,0.16,0.14,,0.02,0.02
Life Sciences,Online blogs,529,147,1044,229,1.98,1.56,,0.21,0.25
Life Sciences,Popular science news,529,147,149,38,0.28,0.26,,0.03,0.04
Life Sciences,Medial news,529,147,568,121,1.08,0.82,,0.12,0.13
Life Sciences,Science news,529,147,848,129,1.61,0.88,**,0.17,0.14
Life Sciences,Science news aggregators,529,147,965,184,1.83,1.25,.,0.2,0.2
Life Sciences,News aggregators,529,147,103,29,0.2,0.2,,0.02,0.03
Life Sciences,Other news,529,147,507,81,0.96,0.55,*,0.1,0.09
Health Sciences,All online news,1283,546,5171,1819,4.04,3.33,,1,1
Health Sciences,General interest news,1283,546,541,233,0.42,0.43,,0.1,0.13
Health Sciences,General interest news (local),1283,546,203,50,0.16,0.09,,0.04,0.03
Health Sciences,Financial news,1283,546,180,42,0.14,0.08,,0.03,0.02
Health Sciences,Online blogs,1283,546,737,270,0.58,0.49,,0.14,0.15
Health Sciences,Popular science news,1283,546,135,39,0.11,0.07,,0.03,0.02
Health Sciences,Medial news,1283,546,1108,410,0.86,0.75,,0.21,0.23
Health Sciences,Science news,1283,546,558,164,0.44,0.3,.,0.11,0.09
Health Sciences,Science news aggregators,1283,546,556,193,0.43,0.35,,0.11,0.11
Health Sciences,News aggregators,1283,546,205,38,0.16,0.07,**,0.04,0.02
Health Sciences,Other news,1283,546,948,380,0.74,0.7,,0.18,0.21
Social Sciences,All online news,1640,766,3556,1589,2.18,2.08,,1,1
Social Sciences,General interest news,1640,766,486,210,0.3,0.27,,0.14,0.13
Social Sciences,General interest news (local),1640,766,70,62,0.04,0.08,,0.02,0.04
Social Sciences,Financial news,1640,766,80,34,0.05,0.04,,0.02,0.02
Social Sciences,Online blogs,1640,766,1521,556,0.93,0.73,,0.43,0.35
Social Sciences,Popular science news,1640,766,148,45,0.09,0.06,,0.04,0.03
Social Sciences,Medial news,1640,766,173,88,0.11,0.12,,0.05,0.06
Social Sciences,Science news,1640,766,241,120,0.15,0.16,,0.07,0.08
Social Sciences,Science news aggregators,1640,766,353,154,0.22,0.2,,0.1,0.1
Social Sciences,News aggregators,1640,766,45,14,0.03,0.02,,0.01,0.01
Social Sciences,Other news,1640,766,439,306,0.27,0.4,,0.12,0.19
Arts and Humanities,All online news,247,110,89,61,0.36,0.56,,1,1
Arts and Humanities,General interest news,247,110,9,6,0.04,0.06,,0.1,0.1
Arts and Humanities,General interest news (local),247,110,2,0,0.01,0,,0.02,0
Arts and Humanities,Financial news,247,110,2,1,0.01,0.01,,0.02,0.02
Arts and Humanities,Online blogs,247,110,56,29,0.23,0.27,,0.63,0.48
Arts and Humanities,Popular science news,247,110,1,6,0,0.06,,0.01,0.1
Arts and Humanities,Medial news,247,110,3,0,0.01,0,,0.03,0
Arts and Humanities,Science news,247,110,5,6,0.02,0.06,,0.06,0.1
Arts and Humanities,Science news aggregators,247,110,4,7,0.02,0.06,,0.04,0.11
Arts and Humanities,News aggregators,247,110,1,1,0,0.01,,0.01,0.02
Arts and Humanities,Other news,247,110,6,5,0.02,0.05,,0.07,0.08
