"field","term","coef_printed","sig_printed","se_printed","coef_online","sig_online","se_online","coef_twitter","sig_twitter","se_twitter"
"STEM","Printed news attention (t-1)",0.65195,"***","[0.01231]",NA,NA,"[NA]",NA,NA,"[NA]"
"STEM","Online attention (t-1)",NA,NA,"[NA]",0.47849,"***","[0.01105]",NA,NA,"[NA]"
"STEM","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.86375,"***","[0.00533]"
"STEM","Inferred agender (reference: man)",-0.04546,"***","[0.01372]",0.06495,"***","[0.01918]",0.01383,"","[0.0174]"
"STEM","Total citations (t-1)",0.00219,"","[0.00627]",0.10228,"***","[0.00688]",0.01209,"*","[0.00603]"
"STEM","Coauthors' total online attention total (t-1)",0.01599,"*","[0.00547]",0.1042,"***","[0.00783]",-0.01707,"*","[0.00696]"
"STEM","Coauthors' total citations (t-1)",0.01266,"*","[0.00414]",0.03004,"***","[0.00516]",0.02426,"***","[0.00429]"
"STEM","Coauthors' total Twitter/X attention (t-1)",0.00135,"","[0.00439]",0.01714,"*","[0.00546]",0.01008,".","[0.00551]"
"STEM","Total printed news attention (t-1)",NA,NA,"[NA]",0.06959,"***","[0.00607]",0.0002,"","[0.00472]"
"STEM","Total online attention (t-1)",0.03421,"***","[0.0056]",NA,NA,"[NA]",0.05254,"***","[0.00631]"
"STEM","Total Twitter/X attention (t-1)",0.00582,".","[0.0032]",0.0426,"***","[0.0045]",NA,NA,"[NA]"
"STEM","(Intercept)",0.11453,"*","[0.04749]",-0.82634,"***","[0.05172]",0.00056,"","[0.04399]"
"STEM","R^2",0.476,"","[0.476]",0.551,"","[0.551]",0.758,"","[0.758]"
"Medicine","Printed news attention (t-1)",0.58713,"***","[0.01501]",NA,NA,"[NA]",NA,NA,"[NA]"
"Medicine","Online attention (t-1)",NA,NA,"[NA]",0.46844,"***","[0.00999]",NA,NA,"[NA]"
"Medicine","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.9204,"***","[0.00369]"
"Medicine","Inferred agender (reference: man)",-0.04364,"*","[0.01459]",0.05963,"*","[0.02007]",0.01226,"","[0.01301]"
"Medicine","Total citations (t-1)",-0.01879,"*","[0.0071]",0.11899,"***","[0.0087]",0.00502,"","[0.00629]"
"Medicine","Coauthors' total online attention total (t-1)",0.01418,"*","[0.00592]",0.06351,"***","[0.00789]",0.02203,"***","[0.00664]"
"Medicine","Coauthors' total citations (t-1)",0.01964,"***","[0.00571]",0.11459,"***","[0.00778]",0.03074,"***","[0.00569]"
"Medicine","Coauthors' total Twitter/X attention (t-1)",-0.00723,"","[0.00496]",0.01362,"*","[0.0064]",-0.02082,"***","[0.00563]"
"Medicine","Total printed news attention (t-1)",NA,NA,"[NA]",0.07481,"***","[0.00733]",-0.00268,"","[0.00442]"
"Medicine","Total online attention (t-1)",0.04962,"***","[0.00663]",NA,NA,"[NA]",0.00376,"","[0.00601]"
"Medicine","Total Twitter/X attention (t-1)",0.00162,"","[0.00273]",0.02592,"***","[0.00373]",NA,NA,"[NA]"
"Medicine","(Intercept)",0.23746,"***","[0.05358]",-1.4255,"***","[0.06257]",0.04163,"","[0.04833]"
"Medicine","R^2",0.393,"","[0.393]",0.563,"","[0.563]",0.823,"","[0.823]"
"Social science","Printed news attention (t-1)",0.72225,"***","[0.01018]",NA,NA,"[NA]",NA,NA,"[NA]"
"Social science","Online attention (t-1)",NA,NA,"[NA]",0.57326,"***","[0.01335]",NA,NA,"[NA]"
"Social science","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.82395,"***","[0.00733]"
"Social science","Inferred agender (reference: man)",-0.04425,"*","[0.01367]",0.06402,"***","[0.01372]",0.02514,".","[0.0147]"
"Social science","Total citations (t-1)",-0.01326,"*","[0.00509]",0.07059,"***","[0.0043]",0.01374,"*","[0.00498]"
"Social science","Coauthors' total online attention total (t-1)",0.0092,"","[0.00688]",0.0789,"***","[0.00827]",0.01314,"","[0.00906]"
"Social science","Coauthors' total citations (t-1)",0.00419,"","[0.00432]",0.01226,"***","[0.00312]",0.01758,"***","[0.00362]"
