"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",0.453876215678061,0.290613328104279,1.5617873365918,0.118352257589788,-0.115746295626558,1.02349872698268,"stem","","Online news attention"
"alt_online_all_l",0.565900743114601,0.0560542335512745,10.0955932721291,6.502604930736e-24,0.456030512822632,0.67577097340657,"stem","***","Online news attention"
"cited_by_total_all_l",0.000363480097464045,7.52429788893544e-05,4.83075102593354,1.36920000316592e-06,0.000215998580107018,0.000510961614821071,"stem","***","Online news attention"
"inferred_genderw",0.596478006504711,0.533949290959591,1.11710609341338,0.263960976676222,-0.450100063433591,1.64305607644301,"stem","","Online news attention"
"news_all_total_l",0.00905192826735407,0.00314549492722793,2.87774371816628,0.00400909860986584,0.00288653753516923,0.0152173189995389,"stem","*","Online news attention"
"alt_twitter_total_l",0.00301481038515473,0.00154441697514972,1.95207022045485,0.050942340441749,-1.23552359987426e-05,0.0060419760063082,"stem",".","Online news attention"
"coa_tot_cited_by_total_l",3.33731287040351e-05,7.62781312591819e-06,4.37518960586988,1.21876323139786e-05,1.84220798416485e-05,4.83241775664217e-05,"stem","***","Online news attention"
"coa_online_all_total_l",0.0169361128814202,0.00372354279928106,4.54838679031438,5.43427286414532e-06,0.00963770776658104,0.0242345179962594,"stem","***","Online news attention"
"coa_twitter_total_l",-0.000954519773476544,0.00060505562022183,-1.57757360079821,0.114677756865634,-0.00214047123729263,0.000231431690339537,"stem","","Online news attention"
"as.factor(year)2014",-0.0961200239867017,0.332535143980586,-0.289052227190499,0.772544092479543,-0.747912235468813,0.55567218749541,"stem","","Online news attention"
"as.factor(year)2015",-0.348022061508254,0.322714952761967,-1.07841938692241,0.28085828022879,-0.980566009258173,0.284521886241665,"stem","","Online news attention"
"as.factor(year)2016",2.69886115076806,0.5951789922821,4.53453698091693,5.80297647642387e-06,1.53226857061691,3.8654537309192,"stem","***","Online news attention"
"as.factor(year)2017",-0.346887042354408,0.705791024522996,-0.491486899523623,0.623086943032444,-1.73028696577702,1.0365128810682,"stem","","Online news attention"
"as.factor(year)2018",-2.17107917144543,0.523417097704673,-4.14789501712153,3.36785779590601e-05,-3.1970134037093,-1.14514493918156,"stem","***","Online news attention"
"as.factor(year)2019",-0.442303111688516,0.778960002292206,-0.567812352864042,0.570168096076262,-1.96911936476939,1.08451314139236,"stem","","Online news attention"
"as.factor(year)2020",0.58332919866751,0.946503748330945,0.616298878579347,0.537703557042821,-1.27188455082043,2.43854294815545,"stem","","Online news attention"
"as.factor(year)2021",-2.51267566127497,0.995791705997237,-2.52329442607543,0.0116329789532663,-4.46449726562659,-0.560854056923354,"stem","*","Online news attention"
"as.factor(year)2022",1.36837669931315,1.17046308539823,1.16909000923133,0.242379839936997,-0.925813062880611,3.66256646150692,"stem","","Online news attention"
"as.factor(year)2023",-2.13981623848161,1.26128694800625,-1.69653403760665,0.0897987179962004,-4.61202714321085,0.332394666247637,"stem",".","Online news attention"
"R^2",0.441,0.441,0.441,0.441,0.441,0.441,"stem","","Online news attention"
"(Intercept)",-0.155189043153109,0.175702008366505,-0.883251390214011,0.377112253228148,-0.499581801644054,0.189203715337835,"soc_sci","","Online news attention"
"alt_online_all_l",0.501812599152804,0.0539478959831383,9.30180111768675,1.53526587440457e-20,0.396069557936905,0.607555640368703,"soc_sci","***","Online news attention"
"cited_by_total_all_l",0.000597506829172761,0.000142993339432551,4.17856406140233,2.94738943079234e-05,0.000317226193391503,0.00087778746495402,"soc_sci","***","Online news attention"
