"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-3.00092968437816,0.0912057155101602,-32.9028687247551,1.99972385519404e-237,-3.17968960196228,-2.82216976679404,"stem","***","News attention"
"inferred_genderw",-0.139686995319881,0.0797639048202029,-1.75125572945246,0.0799018697516831,-0.29602137603376,0.0166473853939973,"stem",".","News attention"
"news_all_l",0.221231975990871,0.00463918291379857,47.6877027919828,0,0.212139344562132,0.23032460741961,"stem","***","News attention"
"cited_by_total_all_l",2.1812494844578e-05,3.86026867592394e-06,5.65051209534198,1.59970549645991e-08,1.4246507269119e-05,2.9378482420037e-05,"stem","***","News attention"
"alt_online_all_total_l",0.00043136230170322,0.000247037853326541,1.74613847997227,0.0807868917251939,-5.28229936348886e-05,0.000915547597041329,"stem",".","News attention"
"alt_twitter_total_l",1.89584092182352e-05,3.18462674645104e-05,0.595310242852244,0.551636110402493,-4.34591280542348e-05,8.13759464907052e-05,"stem","","News attention"
"coa_tot_cited_by_total_l",6.68771403812138e-07,3.3033571659352e-07,2.02452042034276,0.0429166330631987,2.13252964816091e-08,1.31621751114267e-06,"stem","*","News attention"
"coa_online_all_total_l",-2.32809633035017e-05,9.38699533361737e-05,-0.248012942119255,0.804124393223214,-0.000207262691072858,0.000160700764465854,"stem","","News attention"
"coa_twitter_total_l",1.26360929329676e-05,1.89506238419515e-05,0.66679034095937,0.504906063339056,-2.45064472818234e-05,4.97786331477587e-05,"stem","","News attention"
"as.factor(year)2014",0.00844404806361637,0.12189611664893,0.0692724944465286,0.944772719381539,-0.230467950423579,0.247356046550812,"stem","","News attention"
"as.factor(year)2015",-0.174198572100242,0.125542035422153,-1.38757167282237,0.165267512231689,-0.420256440073513,0.0718592958730294,"stem","","News attention"
"as.factor(year)2016",-0.0587656520660405,0.122673504741256,-0.479041111525994,0.631909381951659,-0.299201303216206,0.181669999084125,"stem","","News attention"
"as.factor(year)2017",-0.449778132376641,0.13030731987675,-3.45167203808703,0.000557124458707071,-0.705175786257011,-0.19438047849627,"stem","***","News attention"
"as.factor(year)2018",-0.295103345930378,0.125528051084488,-2.35089562357465,0.0187282865150101,-0.541133805105479,-0.0490728867552771,"stem","*","News attention"
"as.factor(year)2019",-0.568179108621391,0.130709984377035,-4.34686846096216,1.38094978447397e-05,-0.824365970420173,-0.311992246822609,"stem","***","News attention"
"as.factor(year)2020",-0.778724206175376,0.134763500524455,-5.77845041977121,7.53917532904667e-09,-1.04285581363385,-0.514592598716899,"stem","***","News attention"
"as.factor(year)2021",-0.751107835646787,0.134873746336757,-5.56896991480756,2.56249722245776e-08,-1.01545552092682,-0.486760150366752,"stem","***","News attention"
"as.factor(year)2022",-0.871972157724539,0.138939785933401,-6.27589967745096,3.47618280980786e-10,-1.14428913417371,-0.599655181275368,"stem","***","News attention"
"as.factor(year)2023",-1.21584425289427,0.144620051953805,-8.40716232962382,4.2004952987793e-17,-1.49929434616604,-0.932394159622501,"stem","***","News attention"
"R^2",0.363,0.363,0.363,0.363,0.363,0.363,"stem","","News attention"
"(Intercept)",-3.1914738217502,0.110419430841757,-28.9031902937801,1.08864154297653e-183,-3.40789192939345,-2.97505571410694,"soc_sci","***","News attention"
"inferred_genderw",-0.312959994204757,0.0758888024183037,-4.12392848789078,3.72464577989095e-05,-0.461699313774509,-0.164220674635006,"soc_sci","***","News attention"
"news_all_l",0.175110294167937,0.00374804553734369,46.7204286669476,0,0.167764259902327,0.182456328433547,"soc_sci","***","News attention"
"cited_by_total_all_l",1.66399165758839e-05,1.00780673051566e-05,1.65110194961388,0.0987177592967497,-3.11273237599356e-06,3.63925655277614e-05,"soc_sci",".","News attention"
"alt_online_all_total_l",0.000118118236172264,0.000654696346444238,0.180416825011752,0.856825346603171,-0.0011650630236684,0.00140129949601293,"soc_sci","","News attention"
"alt_twitter_total_l",8.67445155346314e-05,8.08597896355651e-05,1.07277691329137,0.283371221602941,-7.17377599485613e-05,0.000245226791017824,"soc_sci","","News attention"
"coa_tot_cited_by_total_l",-2.01350651572423e-06,1.26470210551662e-06,-1.59207967389422,0.111366803576524,-4.49227709370879e-06,4.65264062260322e-07,"soc_sci","","News attention"
"coa_online_all_total_l",-0.000310176536561824,0.000322568581597229,-0.961583223716195,0.336259001921959,-0.000942399339036562,0.000322046265912914,"soc_sci","","News attention"
"coa_twitter_total_l",6.13319644496444e-05,4.34055663415122e-05,1.41299767792657,0.157656406859422,-2.37413823082835e-05,0.000146405311207572,"soc_sci","","News attention"
"as.factor(year)2014",-0.0916098146800335,0.147616549660761,-0.620593117035743,0.534867369519804,-0.380932935537194,0.197713306177127,"soc_sci","","News attention"
"as.factor(year)2015",-0.00477877579215085,0.144486407587385,-0.0330742238799223,0.973615397864906,-0.287966930918999,0.278409379334698,"soc_sci","","News attention"
"as.factor(year)2016",-0.103355797330556,0.146803363253113,-0.704042434997581,0.48140634732421,-0.39108510211601,0.184373507454897,"soc_sci","","News attention"
"as.factor(year)2017",-0.118333390001304,0.145958157447352,-0.810735022083213,0.417517856540718,-0.40440612184794,0.167739341845332,"soc_sci","","News attention"
"as.factor(year)2018",-0.368684302351727,0.150117611569893,-2.45596967934753,0.0140505011748724,-0.662909414473891,-0.0744591902295632,"soc_sci","*","News attention"
"as.factor(year)2019",-0.248203371701265,0.148035911773559,-1.67664297620516,0.0936123175884154,-0.53834842719599,0.0419416837934605,"soc_sci",".","News attention"
"as.factor(year)2020",-0.42925166195735,0.152907876080994,-2.80725671534395,0.00499654054683117,-0.728945592028611,-0.129557731886088,"soc_sci","*","News attention"
"as.factor(year)2021",-0.813628133247274,0.164286396257751,-4.95249851345427,7.32666162937382e-07,-1.13562355306234,-0.491632713432205,"soc_sci","***","News attention"
"as.factor(year)2022",-1.01620404808885,0.173384480437467,-5.86098620548315,4.60126204294675e-09,-1.35603138522448,-0.67637671095323,"soc_sci","***","News attention"
"as.factor(year)2023",-1.00519813228069,0.172984836271854,-5.81090316321699,6.21367000692629e-09,-1.34424218124508,-0.666154083316297,"soc_sci","***","News attention"
"R^2",0.426,0.426,0.426,0.426,0.426,0.426,"soc_sci","","News attention"
"(Intercept)",-2.37152875572985,0.0850479304277607,-27.8846145203288,4.10021335771152e-171,-2.53821963632793,-2.20483787513177,"medicine","***","News attention"
"inferred_genderw",-0.235862556524384,0.0641571543418425,-3.6763250949015,0.000236617953565441,-0.361608268384973,-0.110116844663796,"medicine","***","News attention"
"news_all_l",0.178643405446938,0.00473440947366648,37.732985801203,0,0.169364133390486,0.187922677503389,"medicine","***","News attention"
"cited_by_total_all_l",7.54648437112206e-06,3.86306805420025e-06,1.9534950627952,0.0507609617427886,-2.49898849376535e-08,1.51179586271818e-05,"medicine",".","News attention"
"alt_online_all_total_l",0.000353416150074087,0.000225790488520188,1.56523931716675,0.117526805787247,-8.91250754771858e-05,0.000795957375625359,"medicine","","News attention"
"alt_twitter_total_l",1.78495486785418e-05,1.82088390788075e-05,0.980268352160693,0.326953672353295,-1.78391201162063e-05,5.35382174732899e-05,"medicine","","News attention"
"coa_tot_cited_by_total_l",7.5435961511795e-07,2.5994126637499e-07,2.90203870142617,0.00370742735119307,2.44884094927238e-07,1.26383513530866e-06,"medicine","*","News attention"
"coa_online_all_total_l",5.77184967648836e-05,7.43774129391188e-05,0.776021838943615,0.437736091287635,-8.80585538590526e-05,0.00020349554738882,"medicine","","News attention"
"coa_twitter_total_l",-1.09835384579532e-05,9.3156860432845e-06,-1.17903699275815,0.238383445800091,-2.92419475940733e-05,7.27487067816681e-06,"medicine","","News attention"
"as.factor(year)2014",-0.179215550032108,0.11764052866291,-1.52341673459863,0.127654477890296,-0.409786749333664,0.0513556492694481,"medicine","","News attention"
"as.factor(year)2015",-0.303715745487052,0.119630027662152,-2.53879190218677,0.0111235965371472,-0.5381862911744,-0.0692451997997028,"medicine","*","News attention"
"as.factor(year)2016",-0.46726080862359,0.122348076804016,-3.81911036797148,0.000133933831836452,-0.707058632737202,-0.227462984509978,"medicine","***","News attention"
"as.factor(year)2017",-0.241902168516527,0.1162783395074,-2.08037171446823,0.0374914515964441,-0.469803526133152,-0.0140008108999033,"medicine","*","News attention"
"as.factor(year)2018",-0.300843111052484,0.116683956350322,-2.57827314450375,0.0099295474250337,-0.529539463072759,-0.0721467590322082,"medicine","*","News attention"
"as.factor(year)2019",-0.575267128653168,0.123280337157099,-4.66633318758765,3.06622354030359e-06,-0.816892149483037,-0.333642107823298,"medicine","***","News attention"
"as.factor(year)2020",-0.771405043015808,0.127535522376567,-6.04855046375333,1.46154843632879e-09,-1.02137007362338,-0.521440012408235,"medicine","***","News attention"
"as.factor(year)2021",-1.29662762566669,0.142931004711915,-9.07170300999497,1.17171103616848e-19,-1.57676724717617,-1.01648800415721,"medicine","***","News attention"
"as.factor(year)2022",-1.41434782050975,0.145768755377686,-9.70268159898316,2.93676713376408e-22,-1.70004933112124,-1.12864630989826,"medicine","***","News attention"
"as.factor(year)2023",-1.34587571469588,0.140605081015328,-9.57202758945222,1.04829303524494e-21,-1.62145660952926,-1.0702948198625,"medicine","***","News attention"
"R^2",0.251,0.251,0.251,0.251,0.251,0.251,"medicine","","News attention"
"(Intercept)",-3.64247395172165,0.46988405946744,-7.75185682155291,9.05584660522376e-15,-4.56342978518731,-2.72151811825599,"arts","***","News attention"
"inferred_genderw",-0.374648918860416,0.240433282409026,-1.5582240324909,0.119180149913176,-0.845889493066855,0.0965916553460226,"arts","","News attention"
"news_all_l",0.222152512097164,0.015056154816787,14.7549301133297,2.85987491239591e-49,0.192642990910602,0.251662033283726,"arts","***","News attention"
"cited_by_total_all_l",-2.11125882134196e-05,0.000232653690911206,-0.0907468440785549,0.927693747966379,-0.000477105443269698,0.000434880266842859,"arts","","News attention"
"alt_online_all_total_l",-0.000147755576224425,0.0103279884961866,-0.0143063265687197,0.988585592276678,-0.0203902410614941,0.0200947299090452,"arts","","News attention"
"alt_twitter_total_l",-0.00251412556809699,0.00423507129939511,-0.593644212898159,0.552750103013427,-0.0108147127868706,0.00578646165067667,"arts","","News attention"
"coa_tot_cited_by_total_l",8.27309855705084e-06,3.75801773729695e-06,2.2014527698854,0.027703986762688,9.07519138686109e-07,1.56386779754156e-05,"arts","*","News attention"
"coa_online_all_total_l",-0.0628702352447229,0.0246861273208408,-2.5467840470727,0.0108720690437834,-0.111254155711341,-0.0144863147781046,"arts","*","News attention"
"coa_twitter_total_l",0.00248445975564508,0.0015870687754498,1.56543925132731,0.117479950998051,-0.000626137885224612,0.00559505739651476,"arts","","News attention"
"as.factor(year)2014",0.616938194604843,0.555571538980604,1.11045680226319,0.266802232836875,-0.471962012632631,1.70583840184232,"arts","","News attention"
"as.factor(year)2015",0.383182966065102,0.55763734156685,0.687154423676926,0.491985421411083,-0.709766139840584,1.47613207197079,"arts","","News attention"
"as.factor(year)2016",0.54797446382383,0.533072945588211,1.02795399458732,0.303971468900108,-0.496829310661744,1.5927782383094,"arts","","News attention"
"as.factor(year)2017",0.72779400035069,0.52460616714683,1.38731499156584,0.165345733706051,-0.300415193324696,1.75600319402608,"arts","","News attention"
"as.factor(year)2018",0.631307477683751,0.545087857144017,1.15817563977939,0.24679236728223,-0.437045090728637,1.69966004609614,"arts","","News attention"
"as.factor(year)2019",0.619619594171892,0.540962209282646,1.14540273523644,0.252042365809323,-0.440646853019313,1.6798860413631,"arts","","News attention"
"as.factor(year)2020",-0.300532175957832,0.611897477405381,-0.491147924374806,0.623321827734232,-1.49982919390329,0.898764841987625,"arts","","News attention"
"as.factor(year)2021",0.0279849422418304,0.586781074222178,0.0476923054802449,0.961961466463677,-1.12208483004336,1.17805471452702,"arts","","News attention"
"as.factor(year)2022",0.248211476372625,0.601474612545276,0.412671576148929,0.679847252513226,-0.930657101831299,1.42708005457655,"arts","","News attention"
"as.factor(year)2023",0.0954957538265004,0.607700200997159,0.157142870234046,0.875132251707389,-1.09557475352568,1.28656626117868,"arts","","News attention"
"R^2",0.396,0.396,0.396,0.396,0.396,0.396,"arts","","News attention"
