"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-1.28972759988473,0.0527260570909255,-24.4609149829012,3.85171733860602e-132,-1.39306877282974,-1.18638642693971,"stem","***","Online news attention"
"alt_online_all_l",0.187021602588654,0.0060869578811906,30.7249707060685,2.64131855765345e-207,0.175091384366108,0.198951820811199,"stem","***","Online news attention"
"cited_by_total_all_l",0.00014985131899014,5.13235492417012e-06,29.1973803846721,2.09355120066236e-187,0.00013979208818289,0.000159910549797391,"stem","***","Online news attention"
"inferred_genderw",0.347929615017578,0.0412440768917473,8.43586864438217,3.28751859989444e-17,0.267092709734153,0.428766520301003,"stem","***","Online news attention"
"news_all_total_l",0.000267349729104132,0.000171185880824273,1.5617510498928,0.118346647422662,-6.81684319732081e-05,0.000602867890181473,"stem","","Online news attention"
"alt_twitter_total_l",0.000717242286877973,9.96364327250943e-05,7.1985946030094,6.08363305096616e-13,0.00052195846718874,0.000912526106567206,"stem","***","Online news attention"
"coa_tot_cited_by_total_l",1.37180958906366e-06,3.49554639263314e-07,3.92444967102925,8.69282297669007e-05,6.86695085478676e-07,2.05692409264865e-06,"stem","***","Online news attention"
"coa_online_all_total_l",0.000906583624269698,0.000305167263441364,2.9707761378012,0.0029704822254623,0.000308466778663978,0.00150470046987542,"stem","*","Online news attention"
"coa_twitter_total_l",0.000153062603982427,5.42462885019673e-05,2.82162352871157,0.00477812317826978,4.67418322236015e-05,0.000259383375741252,"stem","*","Online news attention"
"as.factor(year)2014",0.05419770258954,0.070754539119835,0.765996122139201,0.443678609572217,-0.0844786458280668,0.192874051007147,"stem","","Online news attention"
"as.factor(year)2015",0.065921734741749,0.0711197294355298,0.926912057525573,0.353972196345234,-0.0734703735421225,0.20531384302562,"stem","","Online news attention"
"as.factor(year)2016",0.270247825195389,0.0709328349575387,3.80991152203578,0.00013901653308139,0.13122202335729,0.409273627033489,"stem","***","Online news attention"
"as.factor(year)2017",0.103563471901102,0.0728264063967721,1.42205934667253,0.15500902320876,-0.0391736617600487,0.246300605562253,"stem","","Online news attention"
"as.factor(year)2018",0.0180984689583916,0.0734304307088456,0.246470962837638,0.805317679528289,-0.12582253060021,0.162019468516993,"stem","","Online news attention"
"as.factor(year)2019",-0.0485735080087992,0.0741397003540162,-0.655161914289663,0.512363512568292,-0.193884650527262,0.0967376345096639,"stem","","Online news attention"
"as.factor(year)2020",0.144725538342025,0.0748497337023673,1.93354780549403,0.053168749933044,-0.00197724396702886,0.291428320651078,"stem",".","Online news attention"
"as.factor(year)2021",-0.0520658159480185,0.0770828632603771,-0.675452542183678,0.499388293259104,-0.203145451763583,0.0990138198675463,"stem","","Online news attention"
"as.factor(year)2022",-0.0104090399020466,0.0793021972681444,-0.13125790029311,0.895571294287425,-0.1658384904425,0.145020410638407,"stem","","Online news attention"
"as.factor(year)2023",-0.317921871257724,0.0822021511102414,-3.86756145628548,0.000109929129616112,-0.479035126885517,-0.156808615629932,"stem","***","Online news attention"
"R^2",0.256,0.256,0.256,0.256,0.256,0.256,"stem","","Online news attention"
"(Intercept)",-1.95055127975056,0.0721427589822743,-27.0373812599794,5.37539584223376e-161,-2.09194848910117,-1.80915407039995,"soc_sci","***","Online news attention"
