"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars"
"(Intercept)",-1.50744297928341,0.0805129889382619,-18.7229787288028,1.27106418303084e-77,-1.66525412217216,-1.34963183639466,"stem","***"
"cited_by_total_all_l_log",0.176819155359509,0.011305837898146,15.6396329889451,7.66174588291029e-55,0.154658914837455,0.198979395881563,"stem","***"
"inferred_genderw",0.106890202777923,0.0311451723756394,3.43199907480777,0.00060023881688103,0.0458434659360491,0.167936939619796,"stem","***"
"news_all_total_l_log",0.124310432452222,0.010172895838727,12.2197685322784,3.138752216104e-34,0.104370838357302,0.144250026547142,"stem","***"
"alt_twitter_total_l_log",0.0786541550427263,0.00740926829806009,10.615644066138,2.91298255803836e-26,0.0641314660517258,0.0931768440337268,"stem","***"
"coa_tot_cited_by_total_l_log",0.0426301098746134,0.00792008444490911,5.38253224080399,7.41881151295241e-08,0.0271061851699309,0.0581540345792959,"stem","***"
"coa_online_all_total_l_log",0.269987010125795,0.0110572372850268,24.4172213335241,5.75424109239957e-130,0.248314044357747,0.291659975893843,"stem","***"
"coa_twitter_total_l_log",-0.0047649146400442,0.00745386483193251,-0.639254232197934,0.522664137615657,-0.0193750159861453,0.00984518670605695,"stem",""
"as.factor(year)2014",-0.0611257146145996,0.0244434386643795,-2.50070030873666,0.0124019344368846,-0.109036580210643,-0.0132148490185563,"stem","*"
"as.factor(year)2015",-0.107785918246801,0.0254046138936018,-4.24276939213578,2.21671000278079e-05,-0.157580755155302,-0.0579910813382999,"stem","***"
"as.factor(year)2016",0.0220210463589469,0.0293619717901013,0.749985270620373,0.453271505564321,-0.0355304914334985,0.0795725841513922,"stem",""
"as.factor(year)2017",-0.122066061379013,0.0300534095820179,-4.06163770023782,4.88965666985473e-05,-0.180972866062152,-0.0631592566958732,"stem","***"
"as.factor(year)2018",-0.226562017784921,0.0312267953198879,-7.25537204391342,4.13690494212723e-13,-0.287768741360459,-0.165355294209383,"stem","***"
"as.factor(year)2019",-0.278178824014475,0.0325897044642112,-8.535788482524,1.47978990712175e-17,-0.342056945740244,-0.214300702288706,"stem","***"
"as.factor(year)2020",-0.203195595517352,0.0354799444535779,-5.72705506298676,1.0350569685779e-08,-0.272738791685885,-0.133652399348819,"stem","***"
"as.factor(year)2021",-0.266485736570945,0.0361392500075598,-7.37385907331226,1.71555291718998e-13,-0.337321218175143,-0.195650254966747,"stem","***"
"as.factor(year)2022",-0.240838235556701,0.0378093294830356,-6.3698097493308,1.92965711661054e-10,-0.314947190847759,-0.166729280265642,"stem","***"
"as.factor(year)2023",-0.337702940476172,0.0397909204507676,-8.48693462354068,2.25226484848546e-17,-0.41569595397299,-0.259709926979355,"stem","***"
"R^2",0.452,0.452,0.452,0.452,0.452,0.452,"stem",""
"(Intercept)",-0.938585700963717,0.048204040223505,-19.4711002773176,1.42518149686478e-83,-1.0330703016186,-0.844101100308833,"soc_sci","***"
"cited_by_total_all_l_log",0.140788719882484,0.00846788595227392,16.6261946223635,1.31123070750353e-61,0.124190840972708,0.15738659879226,"soc_sci","***"
"inferred_genderw",0.107367334495242,0.0265061146760837,4.05066286807093,5.12890201523164e-05,0.0554127753240563,0.159321893666428,"soc_sci","***"
"news_all_total_l_log",0.0637519547355241,0.00789969462759545,8.07017963869437,7.46231966938443e-16,0.0482677860076935,0.0792361234633548,"soc_sci","***"
"alt_twitter_total_l_log",0.0846517854835889,0.00894420102439913,9.46443234590378,3.31029897797682e-21,0.0671202827703521,0.102183288196826,"soc_sci","***"
"coa_tot_cited_by_total_l_log",0.0183856972608175,0.00558050840859266,3.29462764226067,0.000987444405115723,0.00744735877316532,0.0293240357484696,"soc_sci","***"
"coa_online_all_total_l_log",0.238344464509102,0.0138556479915192,17.2019716908938,8.72163518921429e-66,0.211186048716084,0.265502880302121,"soc_sci","***"
"coa_twitter_total_l_log",-0.00409926783122322,0.00698670027798754,-0.58672444331675,0.557396221421206,-0.0177938789592574,0.00959534329681092,"soc_sci",""
"as.factor(year)2014",-0.0332506224356836,0.0178799194375965,-1.85966287777376,0.0629497051654453,-0.0682970011203282,0.00179575624896091,"soc_sci","."
"as.factor(year)2015",-0.0521545430391718,0.0184537911245307,-2.82622376547019,0.00471527677807328,-0.088325765967488,-0.0159833201108555,"soc_sci","*"
"as.factor(year)2016",0.0649338673688333,0.0208288175729483,3.11750137238549,0.00182681319121875,0.0241073619272041,0.105760372810463,"soc_sci","*"
"as.factor(year)2017",0.0401181926603777,0.0220124334813269,1.82252419726378,0.0683922366900419,-0.00302831492035421,0.0832647002411095,"soc_sci","."
"as.factor(year)2018",-0.0264211639239799,0.02342960199312,-1.12768300254261,0.259469002480555,-0.0723454594303005,0.0195031315823408,"soc_sci",""
"as.factor(year)2019",-0.0387807326475904,0.0256224136433106,-1.51354720860636,0.130158454748645,-0.0890031519650892,0.0114416866699084,"soc_sci",""
