"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-0.15133417213459,0.454224716948943,-0.333170271206532,0.739008883286777,-1.04164648170984,0.738978137440663,"stem","","Online news attention"
"cited_by_total_all_l",0.000679924726455447,0.000144424552541208,4.70781951193131,2.51882280089192e-06,0.000396842471936064,0.00096300698097483,"stem","***","Online news attention"
"inferred_genderw",0.63301763256352,0.742264325597153,0.852819690686679,0.393768443165104,-0.821872516252404,2.08790778137944,"stem","","Online news attention"
"news_all_total_l",0.0179163671346245,0.00542255064143331,3.30404791385936,0.00095449356317904,0.00728778747962098,0.028544946789628,"stem","***","Online news attention"
"alt_twitter_total_l",0.00655819021816709,0.00284317738558011,2.30664124279709,0.0210839294565629,0.000985363090460417,0.0121310173458738,"stem","*","Online news attention"
"coa_tot_cited_by_total_l",4.1933021681423e-05,1.28615055229972e-05,3.26035094464206,0.00111440954941345,1.6723568607821e-05,6.7142474755025e-05,"stem","*","Online news attention"
"coa_online_all_total_l",0.0417896502135692,0.00654367098435973,6.38627007889794,1.73325940667814e-10,0.0289635960386249,0.0546157043885134,"stem","***","Online news attention"
"coa_twitter_total_l",-0.00167860858068407,0.000971459396832071,-1.72792459073227,0.0840155605688208,-0.00358273714740265,0.000225519986034509,"stem",".","Online news attention"
"as.factor(year)2014",0.286166801931678,0.277552681197891,1.03103598457997,0.302535104238648,-0.257855923837061,0.830189527700417,"stem","","Online news attention"
"as.factor(year)2015",0.294317620068403,0.309441534764591,0.951125130284486,0.341551146025112,-0.312209495728647,0.900844735865453,"stem","","Online news attention"
"as.factor(year)2016",3.27820956375086,0.608285380427947,5.38926245678393,7.14634522751863e-08,2.08592754623454,4.47049158126719,"stem","***","Online news attention"
"as.factor(year)2017",1.6469118638333,0.709327149023218,2.32179448665005,0.0202529476685294,0.256580891680866,3.03724283598574,"stem","*","Online news attention"
"as.factor(year)2018",-1.08647859891664,0.625210010501421,-1.73778183437158,0.0822630389042938,-2.31193407865808,0.138976880824806,"stem",".","Online news attention"
"as.factor(year)2019",-0.568833383919372,0.843763823242804,-0.674161854597176,0.500215391780648,-2.22266966842035,1.0850029005816,"stem","","Online news attention"
