"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",0.923530383256623,0.0863260836725458,10.6981614822211,1.03817600063398e-26,0.754334368332042,1.0927263981812,"stem","***","Online news attention"
"alt_online_all_l",0.00284683434095012,0.000346569302884489,8.21432918973484,2.13353552692962e-16,0.00216757098914936,0.00352609769275087,"stem","***","Online news attention"
"cited_by_total_all_l",9.31487318476961e-06,2.36265906988334e-06,3.9425380087655,8.06238680677914e-05,4.68414650005137e-06,1.39455998694878e-05,"stem","***","Online news attention"
"inferred_genderw",0.0215610397347716,0.107191846191555,0.201144401377708,0.840585664140017,-0.188531118237033,0.231653197706576,"stem","","Online news attention"
"news_all_total_l",0.000348316216330687,0.000220044463266055,1.58293560837993,0.113436141638595,-8.29630066682266e-05,0.000779595439329601,"stem","","Online news attention"
"alt_twitter_total_l",1.26526435118278e-05,1.69549520172546e-05,0.746250623354847,0.455516032743197,-2.0578451801596e-05,4.58837388252515e-05,"stem","","Online news attention"
"coa_tot_cited_by_total_l",1.30873629040565e-06,2.49996225627669e-07,5.23502419734453,1.64963250905143e-07,8.1875269190447e-07,1.79871988890683e-06,"stem","***","Online news attention"
"coa_online_all_total_l",0.000207051032277774,4.51634552656712e-05,4.58448165800888,4.55114034313194e-06,0.000118532286539673,0.000295569778015876,"stem","***","Online news attention"
"coa_twitter_total_l",-6.83728143067217e-06,1.2471108327311e-05,-0.548249702530363,0.583520458514538,-3.12802045994992e-05,1.76056417381549e-05,"stem","","Online news attention"
"as.factor(year)2014",0.33785686637882,0.0793680743675007,4.25683587602781,2.07340449198002e-05,0.182298299096222,0.493415433661418,"stem","***","Online news attention"
"as.factor(year)2015",0.53016516876005,0.0791583264321891,6.69752877120533,2.1197350556711e-11,0.375017699876494,0.685312637643606,"stem","***","Online news attention"
"as.factor(year)2016",1.148137219152,0.0876222238770635,13.1032649977347,3.15392352171509e-39,0.976400816107646,1.31987362219635,"stem","***","Online news attention"
"as.factor(year)2017",1.12258429657682,0.0836062919596879,13.4270312707815,4.1991044491822e-41,0.95871897545489,1.28644961769875,"stem","***","Online news attention"
"as.factor(year)2018",1.00421152103455,0.0873912447608737,11.4909854389,1.4643191673193e-30,0.832927828739108,1.17549521332998,"stem","***","Online news attention"
"as.factor(year)2019",1.20137902025417,0.0865765275334844,13.8764981049803,8.79364042902334e-44,1.031692144382,1.37106589612634,"stem","***","Online news attention"
"as.factor(year)2020",1.3279119682882,0.112586464166824,11.7945969625672,4.16188345002768e-32,1.10724655337452,1.54857738320189,"stem","***","Online news attention"
"as.factor(year)2021",1.29875489334985,0.0853708531554447,15.21309493048,2.89525484614013e-52,1.13143109583572,1.46607869086398,"stem","***","Online news attention"
"as.factor(year)2022",1.50442116230466,0.0982135522581884,15.3178571359456,5.81016083193536e-53,1.31192613708487,1.69691618752445,"stem","***","Online news attention"
"as.factor(year)2023",1.25406816434024,0.110564173079362,11.34244601495,8.08524872998745e-30,1.03736636712424,1.47076996155625,"stem","***","Online news attention"
"(Intercept)",-0.0611545069784988,0.110768701848889,-0.552091935336807,0.580885367001874,-0.278257173216576,0.155948159259578,"soc_sci","","Online news attention"
