"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-2.28317350833142,0.0725772387135832,-31.4585336780539,3.20856893739381e-217,-2.42542228230741,-2.14092473435543,"stem","***","Online news attention"
"alt_online_all_l",0.0383639458054455,0.00137119877087639,27.978398624822,2.97648679366551e-172,0.0356764455988822,0.0410514460120088,"stem","***","Online news attention"
"cited_by_total_all_l",5.53440410415225e-05,3.3559446476023e-06,16.4913450169876,4.23417980125305e-61,4.8766510398112e-05,6.19215716849329e-05,"stem","***","Online news attention"
"inferred_genderw",0.0672047672465288,0.0678987937428752,0.989778515079744,0.322282388445229,-0.0658744230832201,0.200283957576278,"stem","","Online news attention"
"news_all_total_l",0.00119745667197963,0.000181252611294302,6.60656231890259,3.93346732490353e-11,0.000842208081738965,0.0015527052622203,"stem","***","Online news attention"
"alt_twitter_total_l",0.00022550741222119,2.73000616914323e-05,8.26032610365718,1.45275023723435e-16,0.000172000274530261,0.000279014549912119,"stem","***","Online news attention"
"coa_tot_cited_by_total_l",1.76994669744166e-06,3.00389915626324e-07,5.89216416853162,3.81170203298926e-09,1.18119328149504e-06,2.35870011338829e-06,"stem","***","Online news attention"
"coa_online_all_total_l",0.000801590579925456,0.000117238599002041,6.83725826433241,8.07231394259236e-12,0.000571807148283523,0.00103137401156739,"stem","***","Online news attention"
"coa_twitter_total_l",-7.11768366816175e-05,2.06690209223972e-05,-3.44364819934404,0.000573921956529278,-0.000111687373285221,-3.06663000780142e-05,"stem","***","Online news attention"
"as.factor(year)2014",-0.156320854148598,0.100422878966494,-1.55662589797645,0.119559331358256,-0.353146080146751,0.0405043718495543,"stem","","Online news attention"
"as.factor(year)2015",-0.302693314113911,0.101860476800922,-2.97164635018841,0.00296207662612785,-0.502336180091796,-0.103050448136026,"stem","*","Online news attention"
"as.factor(year)2016",-0.507015636412409,0.104983641766945,-4.82947274336264,1.36895050822586e-06,-0.712779793241476,-0.301251479583342,"stem","***","Online news attention"
"as.factor(year)2017",-0.800979658325775,0.109710822614412,-7.30082629259728,2.86005799280062e-13,-1.01600891936429,-0.585950397287265,"stem","***","Online news attention"
"as.factor(year)2018",-0.946357348163694,0.11228839422398,-8.42791772652847,3.51870305270562e-17,-1.16643855672453,-0.726276139602859,"stem","***","Online news attention"
"as.factor(year)2019",-0.993510904260099,0.112091096154721,-8.8634239323411,7.75938446436161e-19,-1.21320541571097,-0.773816392809231,"stem","***","Online news attention"
"as.factor(year)2020",-1.21562126846485,0.116781962615985,-10.4093238479147,2.24812690745384e-25,-1.44450970923609,-0.986732827693621,"stem","***","Online news attention"
"as.factor(year)2021",-1.60450252665988,0.125492659224594,-12.785628550498,1.97261525486854e-37,-1.85046361906424,-1.35854143425552,"stem","***","Online news attention"
"as.factor(year)2022",-1.84470973801206,0.131834432103337,-13.9926247534947,1.72910652142289e-44,-2.10310047685689,-1.58631899916723,"stem","***","Online news attention"
"as.factor(year)2023",-2.25958330240324,0.142960738694157,-15.8056213408164,2.84570711222587e-56,-2.53978120144703,-1.97938540335945,"stem","***","Online news attention"
"R^2",0.251,0.251,0.251,0.251,0.251,0.251,"stem","","Online news attention"
"(Intercept)",-1.79619607041224,0.0706844851262508,-25.4114614714109,1.88393340839933e-142,-1.93473511552545,-1.65765702529903,"soc_sci","***","Online news attention"
"alt_online_all_l",0.097815854081606,0.00417601301000684,23.4232637319887,2.47643206028127e-121,0.0896310189830219,0.10600068918019,"soc_sci","***","Online news attention"
"cited_by_total_all_l",0.000226923104395682,9.89730693191096e-06,22.9277626688565,2.45637598869649e-116,0.000207524739265198,0.000246321469526166,"soc_sci","***","Online news attention"
"inferred_genderw",0.205850950572746,0.0546158244501706,3.76907155838243,0.000163855910504402,0.0988059016644496,0.312895999481043,"soc_sci","***","Online news attention"
"news_all_total_l",4.78376180134476e-05,0.000211010221292902,0.226707586582,0.820651127469139,-0.000365734816090468,0.000461410052117363,"soc_sci","","Online news attention"
"alt_twitter_total_l",0.00134463097143465,0.000142956164507258,9.40589708788934,5.15882319939114e-21,0.00106444203763244,0.00162481990523685,"soc_sci","***","Online news attention"
"coa_tot_cited_by_total_l",3.57532214631789e-06,9.33350128828597e-07,3.83063336671427,0.00012781383329292,1.74598950884802e-06,5.40465478378776e-06,"soc_sci","***","Online news attention"
"coa_online_all_total_l",0.00171743150497754,0.000391261530830158,4.38947192516877,1.13626245894277e-05,0.000950572996014418,0.00248429001394065,"soc_sci","***","Online news attention"
"coa_twitter_total_l",-4.16497179293727e-05,5.48257814523431e-05,-0.759673949482624,0.44744950402614,-0.000149106275000229,6.58068391414839e-05,"soc_sci","","Online news attention"
"as.factor(year)2014",-0.545069533761444,0.100561949794556,-5.42023633068968,5.95202986041211e-08,-0.742167333573899,-0.34797173394899,"soc_sci","***","Online news attention"
"as.factor(year)2015",-0.479918851579324,0.0982799642250823,-4.88318097552626,1.04387980294584e-06,-0.67254404186237,-0.287293661296278,"soc_sci","***","Online news attention"
"as.factor(year)2016",-0.666928511641691,0.100686884316838,-6.62378735986132,3.5011030965414e-11,-0.864271178618245,-0.469585844665138,"soc_sci","***","Online news attention"
"as.factor(year)2017",-1.03613719643137,0.107312978232169,-9.65528320525882,4.66867481648885e-22,-1.24646676884015,-0.825807624022587,"soc_sci","***","Online news attention"
"as.factor(year)2018",-1.26545731031493,0.110850944007631,-11.4158460412193,3.48496224285357e-30,-1.48272116822215,-1.04819345240771,"soc_sci","***","Online news attention"
"as.factor(year)2019",-1.26615442949811,0.110727783669555,-11.4348394552599,2.80054235511054e-30,-1.48317689757838,-1.04913196141784,"soc_sci","***","Online news attention"
"as.factor(year)2020",-1.60031345273417,0.117729407196996,-13.5931496712319,4.39741519518917e-42,-1.83105885076154,-1.36956805470681,"soc_sci","***","Online news attention"
"as.factor(year)2021",-2.1960509634545,0.13406335675449,-16.3806950431363,2.6272376625747e-60,-2.45881031433984,-1.93329161256915,"soc_sci","***","Online news attention"
"as.factor(year)2022",-2.49771896779373,0.144770798333614,-17.2529197638181,1.06384687224702e-66,-2.78146451854073,-2.21397341704674,"soc_sci","***","Online news attention"
"as.factor(year)2023",-3.18949920766828,0.16737280885203,-19.056256685565,5.8299662864749e-81,-3.51754388500956,-2.86145453032699,"soc_sci","***","Online news attention"
"R^2",0.292,0.292,0.292,0.292,0.292,0.292,"soc_sci","","Online news attention"
"(Intercept)",-2.25940172487625,0.0809716166901786,-27.9036261993063,2.41100849854646e-171,-2.41810317735898,-2.10070027239352,"medicine","***","Online news attention"
"alt_online_all_l",0.0135769610253041,0.000719583100394758,18.8678152917375,2.09794208045932e-79,0.0121666040646467,0.0149873179859615,"medicine","***","Online news attention"
"cited_by_total_all_l",5.21148446759098e-05,3.50235459349433e-06,14.8799452724501,4.44863244657653e-50,4.52503558115725e-05,5.89793335402471e-05,"medicine","***","Online news attention"
"inferred_genderw",0.0586910128639248,0.0615718928508737,0.953211118684847,0.340483114010447,-0.0619876795837468,0.179369705311596,"medicine","","Online news attention"
"news_all_total_l",0.000699910661985255,0.000237880503922813,2.942278372726,0.00325806904818064,0.000233673441672302,0.00116614788229821,"medicine","*","Online news attention"
"alt_twitter_total_l",0.000110609692737752,1.96457947809981e-05,5.63019689306422,1.80004015792205e-08,7.21046425193313e-05,0.000149114742956174,"medicine","***","Online news attention"
