"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-2.28893287009099,0.0722143413442383,-31.6963753664924,1.74303559852265e-220,-2.43047037829298,-2.147395361889,"stem","***","Online news attention"
"cited_by_total_all_l",6.9728404056178e-05,3.17141312261995e-06,21.9865408132556,3.87418993110893e-107,6.35125485557451e-05,7.59442595566108e-05,"stem","***","Online news attention"
"inferred_genderw",0.0671200435357016,0.0647981560541993,1.03583261658804,0.300280238170613,-0.0598820085951349,0.194122095666538,"stem","","Online news attention"
"news_all_total_l",0.00149611947831868,0.000160682983937549,9.31100133726767,1.26632790921874e-20,0.00118118661687266,0.00181105233976471,"stem","***","Online news attention"
"alt_twitter_total_l",0.000355575971114131,3.20048185947742e-05,11.1100761299797,1.12063933924693e-28,0.000292847679336636,0.000418304262891626,"stem","***","Online news attention"
"coa_tot_cited_by_total_l",1.80593327581316e-06,2.95169967370825e-07,6.11828260137438,9.45892120408072e-10,1.22741077044848e-06,2.38445578117784e-06,"stem","***","Online news attention"
"coa_online_all_total_l",0.00167075064705756,0.000111932196691383,14.9264527673313,2.21752814823583e-50,0.001451367572832,0.00189013372128313,"stem","***","Online news attention"
"coa_twitter_total_l",-5.07075474729707e-05,1.96618521434648e-05,-2.57898122226623,0.00990921730337944,-8.92440695435133e-05,-1.2171025402428e-05,"stem","*","Online news attention"
"as.factor(year)2014",-0.0961444325473236,0.0994999368096685,-0.966276317654719,0.33390593315562,-0.291160725158285,0.0988718600636377,"stem","","Online news attention"
"as.factor(year)2015",-0.188807985450239,0.100122553613008,-1.88576877673352,0.0593261201816719,-0.385044584571916,0.00742861367143766,"stem",".","Online news attention"
"as.factor(year)2016",-0.365053639894444,0.1024221880256,-3.56420466045111,0.000364961119866477,-0.56579743964241,-0.164309840146478,"stem","***","Online news attention"
"as.factor(year)2017",-0.481310122610168,0.103642399001342,-4.64395003635467,3.41810256620886e-06,-0.684445491924128,-0.278174753296207,"stem","***","Online news attention"
"as.factor(year)2018",-0.678303384325443,0.106564604384735,-6.36518465246242,1.95054932202263e-10,-0.887166170946282,-0.469440597704604,"stem","***","Online news attention"
"as.factor(year)2019",-0.833570732036468,0.108518515400188,-7.68136874120034,1.57397700024737e-14,-1.04626311387659,-0.620878350196345,"stem","***","Online news attention"
"as.factor(year)2020",-1.03629814664032,0.112242490622724,-9.23267241212232,2.63962381594286e-20,-1.25628938579593,-0.816306907484706,"stem","***","Online news attention"
"as.factor(year)2021",-1.25631953818225,0.116464037124233,-10.7871886395466,3.95709859560611e-27,-1.48458485643989,-1.02805421992462,"stem","***","Online news attention"
"as.factor(year)2022",-1.49607165426401,0.122950778782889,-12.1680535013595,4.59919512382409e-34,-1.73705075254962,-1.25509255597839,"stem","***","Online news attention"
"as.factor(year)2023",-1.72556021358968,0.128296816765469,-13.4497507973565,3.08911602989096e-41,-1.97701735378113,-1.47410307339822,"stem","***","Online news attention"
"R^2",0.174,0.174,0.174,0.174,0.174,0.174,"stem","","Online news attention"
