"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars"
"(Intercept)",0.114710045713745,0.175574699422429,0.653340407764305,0.513543598467228,-0.22942876149721,0.4588488529247,"stem",""
"cited_by_total_all_l_log",-0.00516735690631714,0.0268210772734954,-0.192660304193804,0.847226771894729,-0.0577385620479301,0.0474038482352959,"stem",""
"inferred_genderw",-0.0966939172151494,0.083799649357676,-1.15387018867391,0.24856578617975,-0.260947146578576,0.0675593121482768,"stem",""
"news_all_total_l_log",-0.0110248705615536,0.0223730306994413,-0.492775016029854,0.622176428284751,-0.054877590366445,0.0328278492433377,"stem",""
"alt_online_all_total_l_log",0.360907515540825,0.024839894546542,14.5293497468196,1.30488675497087e-47,0.312219568424221,0.409595462657429,"stem","***"
"coa_tot_cited_by_total_l_log",0.0571547194272635,0.0160350601038319,3.56435953823491,0.000365509356100201,0.025724869478258,0.0885845693762689,"stem","***"
"coa_online_all_total_l_log",-0.10790854405198,0.0223994002040373,-4.81747471222599,1.46343422437906e-06,-0.151812949947682,-0.0640041381562775,"stem","***"
"coa_twitter_total_l_log",0.25761494520961,0.0168173682274894,15.318386427938,1.07084360214328e-52,0.224651716103854,0.290578174315365,"stem","***"
"as.factor(year)2014",-0.112711249790126,0.0262028362160696,-4.30149045167112,1.70376020579164e-05,-0.164070658808657,-0.0613518407715946,"stem","***"
"as.factor(year)2015",-0.141831541490724,0.0327032390802642,-4.33692641706297,1.45124270094988e-05,-0.205932199079998,-0.0777308839014501,"stem","***"
"as.factor(year)2016",-0.149950370005549,0.0390992442699483,-3.83512195198108,0.000125847955561983,-0.226587649352592,-0.0733130906585066,"stem","***"
"as.factor(year)2017",-0.175762827672766,0.0445589427497595,-3.94450175040823,8.02112086632018e-05,-0.263101501518871,-0.0884241538266612,"stem","***"
"as.factor(year)2018",-0.191878446778811,0.0487494597240534,-3.93601176023159,8.30988230568128e-05,-0.287430829763389,-0.096326063794232,"stem","***"
"as.factor(year)2019",-0.258448786855503,0.0531708775663508,-4.86072073068553,1.17755966106447e-06,-0.362667460982455,-0.154230112728551,"stem","***"
"as.factor(year)2020",-0.269231246298098,0.0581453330800766,-4.63031565968189,3.67171768345196e-06,-0.383200204450306,-0.155262288145891,"stem","***"
"as.factor(year)2021",-0.38900608067201,0.063599015082753,-6.1165425308214,9.72221052249525e-10,-0.513664640603306,-0.264347520740714,"stem","***"
"as.factor(year)2022",-0.588193090551085,0.0677413817571513,-8.68292135905525,4.11801484760987e-18,-0.720970981633437,-0.455415199468733,"stem","***"
"as.factor(year)2023",-0.82733258873975,0.0721956987420948,-11.4595828166334,2.56093967857508e-30,-0.968841255606885,-0.685823921872615,"stem","***"
"R^2",0.272,0.272,0.272,0.272,0.272,0.272,"stem",""
"(Intercept)",-0.232616057394764,0.0874631021603472,-2.65959074911733,0.00783056314220457,-0.404052232481766,-0.0611798823077616,"soc_sci","*"
"cited_by_total_all_l_log",0.0329925676599674,0.0171890183445953,1.91939801322867,0.0549499338005117,-0.000699577778634636,0.0666847130985694,"soc_sci","."
"inferred_genderw",0.0368043778836305,0.0593057918774875,0.62058656867208,0.534879616154872,-0.0794407342705516,0.153049490037813,"soc_sci",""
"news_all_total_l_log",0.0159639353717621,0.0164293080200237,0.971674239250103,0.331225825657487,-0.0162391040438236,0.0481669747873478,"soc_sci",""
"alt_online_all_total_l_log",0.302110540414055,0.0287117091764204,10.5222067609324,8.12573527077458e-26,0.24583280180387,0.358388279024239,"soc_sci","***"
"coa_tot_cited_by_total_l_log",0.062037642388138,0.0113064885746777,5.48690621127756,4.14608148448752e-08,0.0398758266392059,0.0841994581370701,"soc_sci","***"
"coa_online_all_total_l_log",0.0124146003444533,0.0238291965251197,0.520982750356955,0.602385261833271,-0.0342929392552008,0.0591221399441073,"soc_sci",""
"coa_twitter_total_l_log",0.138509856112676,0.0149618285968463,9.257548648958,2.32362140180686e-20,0.109183218895438,0.167836493329913,"soc_sci","***"
"as.factor(year)2014",-0.0677592164039968,0.0228325615867332,-2.967657227009,0.00300477500569817,-0.112513254726257,-0.0230051780817364,"soc_sci","*"
"as.factor(year)2015",-0.100460293205658,0.0269599117021376,-3.72628420729185,0.000194923557125633,-0.153304338622941,-0.0476162477883761,"soc_sci","***"
"as.factor(year)2016",-0.101834000218869,0.0324156100304088,-3.14151114612188,0.00168353506369754,-0.165371744244196,-0.0382962561935426,"soc_sci","*"
"as.factor(year)2017",-0.097955476230447,0.0358922621705628,-2.72915303485066,0.00635595335258507,-0.168307796120272,-0.027603156340622,"soc_sci","*"
"as.factor(year)2018",-0.112651992990358,0.0417572274662217,-2.69778430767428,0.00698683592154571,-0.194500214494357,-0.0308037714863599,"soc_sci","*"
"as.factor(year)2019",-0.118382401686396,0.0468822563438744,-2.52510034538607,0.0115751279070056,-0.21027617755896,-0.0264886258138309,"soc_sci","*"
"as.factor(year)2020",-0.138600982726517,0.0511716526632473,-2.70855005677906,0.00676424457626765,-0.238902391992617,-0.0382995734604167,"soc_sci","*"
"as.factor(year)2021",-0.220861513942972,0.0577317072834182,-3.82565360242531,0.000130870457648798,-0.334021267409832,-0.107701760476113,"soc_sci","***"
"as.factor(year)2022",-0.33140954458514,0.0638841921900636,-5.1876611916631,2.1528431348387e-07,-0.456628766029045,-0.206190323141234,"soc_sci","***"
"as.factor(year)2023",-0.514261354179684,0.0688002715072665,-7.47469948756481,8.09629747211104e-14,-0.64911656855945,-0.379406139799918,"soc_sci","***"
"R^2",0.258,0.258,0.258,0.258,0.258,0.258,"soc_sci",""
"(Intercept)",0.177129157370067,0.259525254189432,0.682512219950576,0.494923673344559,-0.331564311232266,0.6858226259724,"medicine",""
"cited_by_total_all_l_log",-0.012431872641089,0.0375833650009878,-0.330781254971773,0.74081347112383,-0.0860987393350915,0.0612349940529136,"medicine",""
"inferred_genderw",0.065687150972823,0.0977102957654419,0.672264375603857,0.501423809397271,-0.125834053490779,0.257208355436425,"medicine",""
"news_all_total_l_log",-0.0486954703596614,0.0310877615328965,-1.56638715554135,0.117275130168599,-0.109630354306286,0.0122394135869632,"medicine",""
"alt_online_all_total_l_log",0.285515017262504,0.0362829692660079,7.86911939784354,3.76743056191171e-15,0.214397046316812,0.356632988208196,"medicine","***"
"coa_tot_cited_by_total_l_log",0.100576009610746,0.0284342845845494,3.53713874219986,0.000405478102395881,0.0448421855645414,0.15630983365695,"medicine","***"
"coa_online_all_total_l_log",0.0182375467699639,0.02451096932428,0.744056529494255,0.456851736940961,-0.0298062169990616,0.0662813105389895,"medicine",""
"coa_twitter_total_l_log",0.112173384506976,0.0200319251174491,5.59973062245852,2.17738785780992e-08,0.0729089610788825,0.151437807935069,"medicine","***"
"as.factor(year)2014",-0.141585664050458,0.0327966907888133,-4.31707165098352,1.58935637763495e-05,-0.205870207179591,-0.0773011209213258,"medicine","***"
"as.factor(year)2015",-0.147539523439535,0.0471952893430028,-3.12614935713727,0.00177386091025058,-0.24004664962487,-0.0550323972542009,"medicine","*"
"as.factor(year)2016",-0.257900643484485,0.0581757392039781,-4.43313049414333,9.34095390617871e-06,-0.371930465578698,-0.143870821390272,"medicine","***"
"as.factor(year)2017",-0.310054309230846,0.0702179781773735,-4.41559721995464,1.01302934127247e-05,-0.447688031963736,-0.172420586497956,"medicine","***"
"as.factor(year)2018",-0.317557280886794,0.0807720347153282,-3.93152508793407,8.47164517930683e-05,-0.475877929232706,-0.159236632540883,"medicine","***"
