"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",9.96107257859294,2.20053984003663,4.52664950543552,6.02353051363016e-06,5.64786012187059,14.2742850353153,"stem","***","Twitter attention"
"cited_by_total_all_l",-0.000562552282021195,0.000587890660293852,-0.956899505326395,0.338628332994465,-0.00171485921736301,0.000589754653320619,"stem","","Twitter attention"
"inferred_genderw",-0.832799826495793,7.26118492085722,-0.114692000764729,0.908690285009509,-15.0652316513541,13.3996319983625,"stem","","Twitter attention"
"news_all_total_l",-0.0122811586384512,0.0373303950827816,-0.328985498578767,0.742169732029519,-0.0854513517683063,0.0608890344914038,"stem","","Twitter attention"
"alt_online_all_total_l",0.538016309882181,0.0832303207764745,6.46418642704851,1.03947828222369e-10,0.37487904246324,0.701153577301121,"stem","***","Twitter attention"
"coa_tot_cited_by_total_l",-7.16561300478906e-05,6.03298987535771e-05,-1.18773827784092,0.23494916251177,-0.000189906963812571,4.65947037167895e-05,"stem","","Twitter attention"
"coa_online_all_total_l",-0.055892433262202,0.0296735897764112,-1.88357504714961,0.0596354535422658,-0.114054750858395,0.00226988433399092,"stem",".","Twitter attention"
"coa_twitter_total_l",0.0275175271044718,0.00669779140990576,4.10844790773486,3.99745968366362e-05,0.0143893860837427,0.0406456681252009,"stem","***","Twitter attention"
"as.factor(year)2014",3.51616539910764,0.861252658413021,4.0826177600272,4.46861103103568e-05,1.82804977081234,5.20428102740295,"stem","***","Twitter attention"
"as.factor(year)2015",12.5776639163995,2.10929580762666,5.96296824320324,2.51418772078787e-09,8.44329616406825,16.7120316687307,"stem","***","Twitter attention"
"as.factor(year)2016",25.5990696677624,5.30123539801537,4.82888756031207,1.38205975637402e-06,15.2082764002537,35.9898629352712,"stem","***","Twitter attention"
"as.factor(year)2017",35.2549406341582,6.6237288910465,5.322521681377,1.03325331939654e-07,22.2719673459591,48.2379139223573,"stem","***","Twitter attention"
"as.factor(year)2018",32.7179352783977,3.94805466129903,8.28710291149628,1.22500973859542e-16,24.9794711819456,40.4563993748497,"stem","***","Twitter attention"
"as.factor(year)2019",36.9640278982936,6.37773670739382,5.79579082583333,6.89140846796323e-09,24.4632165466715,49.4648392499156,"stem","***","Twitter attention"
"as.factor(year)2020",34.3072181502974,4.72747898707532,7.25697951150953,4.08761243335722e-13,25.0410276978641,43.5734086027307,"stem","***","Twitter attention"
"as.factor(year)2021",13.8070696923104,5.93639615423533,2.32583360907606,0.0200363302627913,2.17131678539627,25.4428225992245,"stem","*","Twitter attention"
"as.factor(year)2022",2.22627292292835,6.4334764012061,0.346045090413479,0.729312086202857,-10.3837921387656,14.8363379846223,"stem","","Twitter attention"
"as.factor(year)2023",-17.904578852742,7.93599482948837,-2.25612279713346,0.0240725666009172,-33.4596854371625,-2.34947226832144,"stem","*","Twitter attention"
"R^2",0.16,0.16,0.16,0.16,0.16,0.16,"stem","","Twitter attention"
"(Intercept)",2.77847758576719,1.47256559179048,1.88682772520092,0.0591995732076597,-0.107891950000592,5.66484712153497,"soc_sci",".","Twitter attention"
"cited_by_total_all_l",0.00155500533132823,0.0012966040775038,1.19929079223775,0.230430674683799,-0.000986462790787002,0.00409647345344345,"soc_sci","","Twitter attention"
"inferred_genderw",3.47254859591651,2.98277417547504,1.16420097252702,0.244358000495402,-2.37397434347793,9.31907153531095,"soc_sci","","Twitter attention"
"news_all_total_l",0.0116682251798641,0.00886801674605347,1.31576490144279,0.188269713947602,-0.00571393662072831,0.0290503869804565,"soc_sci","","Twitter attention"
