"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",2.23690193465451,0.08303854593706,26.9381154187117,7.86070911368147e-160,2.0741493752893,2.39965449401973,"stem","***","Twitter attention"
"alt_twitter_l",0.000646109078874806,9.73181866037036e-05,6.63914013837798,3.15518312666272e-11,0.000455368938090799,0.000836849219658814,"stem","***","Twitter attention"
"cited_by_total_all_l",6.431422564402e-06,3.6229348970696e-06,1.77519683547282,0.0758653920756084,-6.69399352187746e-07,1.35322444809917e-05,"stem",".","Twitter attention"
"inferred_genderw",-0.10789547071962,0.15459780608013,-0.697910749546445,0.485233011389785,-0.410901602725582,0.195110661286343,"stem","","Twitter attention"
"news_all_total_l",0.000283289009650612,0.000378788722847263,0.747881318961128,0.454531746481748,-0.000459123244879948,0.00102570126418117,"stem","","Twitter attention"
"alt_online_all_total_l",0.000492703701651913,0.000122204663937399,4.03179130629832,5.53533304452446e-05,0.00025318696159179,0.000732220441712035,"stem","***","Twitter attention"
"coa_tot_cited_by_total_l",7.12459715928616e-07,3.34174844143571e-07,2.13199685258931,0.033007105300973,5.74890568679318e-08,1.3674303749893e-06,"stem","*","Twitter attention"
"coa_online_all_total_l",-4.99313491089444e-05,6.97875178728101e-05,-0.715476787696416,0.474314479080373,-0.000186712370710098,8.68496724922087e-05,"stem","","Twitter attention"
"coa_twitter_total_l",1.49247438063272e-05,1.661849031341e-05,0.898080603283439,0.369142579136035,-1.76468986853841e-05,4.74963862980385e-05,"stem","","Twitter attention"
"as.factor(year)2014",0.379503983165429,0.0648781841424886,5.84948528047494,4.93096515137219e-09,0.252345078863794,0.506662887467065,"stem","***","Twitter attention"
"as.factor(year)2015",0.946803967527501,0.0905161952044512,10.4600504405751,1.31785492661975e-25,0.769395484909179,1.12421245014582,"stem","***","Twitter attention"
"as.factor(year)2016",1.41619018257509,0.127266698747536,11.1277356646489,9.19413901827323e-29,1.16675203659861,1.66562832855157,"stem","***","Twitter attention"
"as.factor(year)2017",1.6579347017711,0.106746735764431,15.5314791585743,2.1242291802293e-54,1.4487149442056,1.86715445933659,"stem","***","Twitter attention"
"as.factor(year)2018",1.64195398107071,0.0985522082441848,16.6607528164403,2.52822054294024e-62,1.44879520231522,1.83511275982621,"stem","***","Twitter attention"
"as.factor(year)2019",1.80337427310128,0.120546006860679,14.9600498603452,1.33925663760467e-50,1.56710844117423,2.03964010502832,"stem","***","Twitter attention"
"as.factor(year)2020",1.68153705648781,0.14426545571324,11.65585377438,2.14222411396605e-31,1.3987819590766,1.96429215389902,"stem","***","Twitter attention"
"as.factor(year)2021",1.48620028729794,0.132843186168722,11.1876290396284,4.68801856320377e-29,1.2258324268157,1.74656814778019,"stem","***","Twitter attention"
"as.factor(year)2022",1.63969525401544,0.0959388794109523,17.0910402965188,1.73058844275452e-65,1.45165850565284,1.82773200237804,"stem","***","Twitter attention"
"as.factor(year)2023",1.25199870792234,0.125695911832879,9.960536422115,2.26835464818108e-23,1.00563924772598,1.49835816811871,"stem","***","Twitter attention"
"(Intercept)",1.74078101816489,0.130979001540443,13.2905351063268,2.62692829057239e-40,1.4840668924146,1.99749514391517,"soc_sci","***","Twitter attention"
"alt_twitter_l",0.00106055290955576,0.00012672297738635,8.36906559038911,5.80769184217775e-17,0.000812180437864828,0.00130892538124669,"soc_sci","***","Twitter attention"
