"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-2.23888969654456,0.0748261776804081,-29.921208939833,1.04272057707347e-196,-2.38554630989895,-2.09223308319016,"stem","***","Twitter attention"
"alt_twitter_l",0.0157146267688275,0.000377488689336076,41.6293976819975,0,0.0149747625331576,0.0164544910044974,"stem","***","Twitter attention"
"cited_by_total_all_l",1.54011918995917e-05,3.18966026747992e-06,4.82847407186718,1.3758324349462e-06,9.14957265241269e-06,2.16528111467708e-05,"stem","***","Twitter attention"
"inferred_genderw",-0.164034960295034,0.074728272114064,-2.19508568383133,0.028157451957886,-0.310499682265508,-0.0175702383245595,"stem","*","Twitter attention"
"news_all_total_l",-0.00069576009281505,0.000284750520466104,-2.4434023568286,0.0145495061353204,-0.00125386085750765,-0.00013765932812245,"stem","*","Twitter attention"
"alt_online_all_total_l",0.00107864841349948,0.000296700335302696,3.63548093870212,0.000277462510337266,0.000497126442105236,0.00166017038489372,"stem","***","Twitter attention"
"coa_tot_cited_by_total_l",8.20919251929619e-07,3.48624801167453e-07,2.35473566189375,0.0185358861694491,1.37627197523975e-07,1.50421130633526e-06,"stem","*","Twitter attention"
"coa_online_all_total_l",-0.000125678412268136,0.000111323127883574,-1.12895150053253,0.258918293607668,-0.000343867733566288,9.2510909030016e-05,"stem","","Twitter attention"
"coa_twitter_total_l",1.75695597206285e-05,1.92787829013266e-05,0.911341748623532,0.362115335675303,-2.02161604317383e-05,5.53552798729953e-05,"stem","","Twitter attention"
"as.factor(year)2014",-0.114492719104486,0.104459001614224,-1.09605412013526,0.273055091005218,-0.319228600129376,0.0902431619204049,"stem","","Twitter attention"
"as.factor(year)2015",-0.258646788132401,0.106182152063116,-2.43587818768882,0.0148556862899368,-0.466759981977063,-0.0505335942877385,"stem","*","Twitter attention"
"as.factor(year)2016",-0.466567992591694,0.109977771212363,-4.24238450596322,2.21157360446415e-05,-0.682120463267911,-0.251015521915478,"stem","***","Twitter attention"
"as.factor(year)2017",-0.667546740168153,0.113171877183216,-5.89852140640428,3.66773389367755e-09,-0.889359543510046,-0.445733936826261,"stem","***","Twitter attention"
"as.factor(year)2018",-0.985734675486905,0.11991459793498,-8.22030588820712,2.02984780602285e-16,-1.22076296866007,-0.750706382313743,"stem","***","Twitter attention"
"as.factor(year)2019",-1.3313733725049,0.128030945434628,-10.3988404364685,2.50968556157002e-25,-1.58230941446339,-1.08043733054642,"stem","***","Twitter attention"
"as.factor(year)2020",-1.39287302100296,0.128558437527637,-10.8345515688422,2.36119418047061e-27,-1.64484292846587,-1.14090311354005,"stem","***","Twitter attention"
"as.factor(year)2021",-1.91096760049998,0.142936654008897,-13.3693321265309,9.1357445845561e-41,-2.19111829442808,-1.63081690657188,"stem","***","Twitter attention"
"as.factor(year)2022",-1.7458811505278,0.139301277592053,-12.5331309282076,4.9182020124937e-36,-2.01890663760864,-1.47285566344696,"stem","***","Twitter attention"
"as.factor(year)2023",-1.57950089765922,0.138413055195613,-11.4115022995987,3.66346787117189e-30,-1.85078550083278,-1.30821629448567,"stem","***","Twitter attention"
"R^2",0.311,0.311,0.311,0.311,0.311,0.311,"stem","","Twitter attention"
"(Intercept)",-2.09032490840523,0.080358474158507,-26.0125012364231,3.57593803511395e-149,-2.2478246236085,-1.93282519320197,"soc_sci","***","Twitter attention"
"alt_twitter_l",0.0461555037931317,0.00120177622698307,38.406071577069,0,0.0438000656707685,0.048510941915495,"soc_sci","***","Twitter attention"
"cited_by_total_all_l",6.80909432170431e-05,8.63813970782118e-06,7.88259341943636,3.20655114074991e-15,5.11605004962883e-05,8.5021385937798e-05,"soc_sci","***","Twitter attention"
"inferred_genderw",0.098419083782976,0.0585425024728983,1.68115607679289,0.0927326025202974,-0.0163221126287516,0.213160280194704,"soc_sci",".","Twitter attention"
"news_all_total_l",-0.00022947217209821,0.000245123161507759,-0.936150507715061,0.349195701149243,-0.000709904740430013,0.000250960396233593,"soc_sci","","Twitter attention"
"alt_online_all_total_l",0.000872456500253679,0.000678692397871925,1.28549620268226,0.198618942850422,-0.000457756156156422,0.00220266915666378,"soc_sci","","Twitter attention"
"coa_tot_cited_by_total_l",3.40960511969375e-07,7.42584240752921e-07,0.45915398315438,0.646123593069378,-1.11447785539337e-06,1.79639887933212e-06,"soc_sci","","Twitter attention"
"coa_online_all_total_l",0.000850946778386192,0.000408670930071514,2.08222977405631,0.0373214869042418,4.99664739175374e-05,0.00165192708285485,"soc_sci","*","Twitter attention"
"coa_twitter_total_l",-0.000161286486698146,6.56428736834748e-05,-2.45702964614038,0.014009112534931,-0.000289944154959469,-3.26288184368233e-05,"soc_sci","*","Twitter attention"
"as.factor(year)2014",-0.250660498071766,0.110856936434513,-2.26111695067309,0.0237520159981611,-0.467936100919857,-0.0333848952236746,"soc_sci","*","Twitter attention"
"as.factor(year)2015",-0.366685945280686,0.112145452771179,-3.26973529661404,0.00107648166819892,-0.586486993742134,-0.146884896819238,"soc_sci","*","Twitter attention"
"as.factor(year)2016",-0.425052672434172,0.112488090615206,-3.7786459891845,0.000157683400461948,-0.645525278729654,-0.204580066138689,"soc_sci","***","Twitter attention"
"as.factor(year)2017",-0.557020064287699,0.114601073003638,-4.86051351604724,1.17081649496868e-06,-0.781634039964475,-0.332406088610923,"soc_sci","***","Twitter attention"
"as.factor(year)2018",-0.948837378409329,0.123532872911919,-7.68084928362236,1.58037325510116e-14,-1.19095736022345,-0.706717396595203,"soc_sci","***","Twitter attention"
"as.factor(year)2019",-1.12480563490411,0.127983287135703,-8.7886915555736,1.51311865617222e-18,-1.37564826831313,-0.87396300149508,"soc_sci","***","Twitter attention"
"as.factor(year)2020",-1.25422257040065,0.130725881154246,-9.59429425394942,8.44933509472057e-22,-1.51044058931024,-0.998004551491068,"soc_sci","***","Twitter attention"
