"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",5.46585828550049,1.19685408194057,4.56685436259546,4.97739688099254e-06,3.11994031860138,7.81177625239959,"stem","***","Twitter attention"
"alt_twitter_l",0.570727286866659,0.043077848386803,13.2487417138852,6.49046107281649e-40,0.48629168186617,0.655162891867148,"stem","***","Twitter attention"
"cited_by_total_all_l",3.53533581030266e-05,0.000311819749895393,0.113377546210228,0.909732258988277,-0.00057583522766637,0.000646541943872424,"stem","","Twitter attention"
"inferred_genderw",-0.0554473022370496,3.76418543707465,-0.0147302260114317,0.988247536610513,-7.43351483846981,7.32262023399571,"stem","","Twitter attention"
"news_all_total_l",-0.00358243773366077,0.0180195112032226,-0.198808818577725,0.842414106243193,-0.0389019438658031,0.0317370683984816,"stem","","Twitter attention"
"alt_online_all_total_l",0.211886209442396,0.0516021506725218,4.10615074528716,4.0373713330341e-05,0.110742373932367,0.313030044952425,"stem","***","Twitter attention"
"coa_tot_cited_by_total_l",-1.55872309725796e-05,2.60721705978772e-05,-0.597849377905217,0.549946498760489,-6.66905144592759e-05,3.55160525141168e-05,"stem","","Twitter attention"
"coa_online_all_total_l",-0.0145126597474526,0.0136023589214799,-1.06692227658654,0.286018461593334,-0.0411742375183797,0.0121489180234745,"stem","","Twitter attention"
"coa_twitter_total_l",0.00661546275489843,0.00301770879079444,2.19221376664275,0.0283743526377915,0.00070054181506613,0.0125303836947307,"stem","*","Twitter attention"
"as.factor(year)2014",2.1824878049544,1.05099112535364,2.07659965180014,0.0378499262242965,0.122471466102966,4.24250414380583,"stem","*","Twitter attention"
"as.factor(year)2015",9.72864519318628,2.06418676000166,4.7130644289078,2.45488839667986e-06,5.68269432884057,13.774596057532,"stem","***","Twitter attention"
"as.factor(year)2016",18.3382419848604,5.12298996942119,3.57959748004978,0.000344852846150904,8.29682223716404,28.3796617325568,"stem","***","Twitter attention"
"as.factor(year)2017",21.678125318735,4.12521035853924,5.25503512175106,1.49354231053248e-07,13.5924236084274,29.7638270290426,"stem","***","Twitter attention"
"as.factor(year)2018",14.7349286672599,4.01738260284866,3.66779321860248,0.000245220678881204,6.86057692285188,22.6092804116679,"stem","***","Twitter attention"
"as.factor(year)2019",21.475289843476,6.56486037120452,3.27124853068821,0.00107235995402189,8.60770295266462,34.3428767342874,"stem","*","Twitter attention"
"as.factor(year)2020",19.0012425804124,4.32884582044347,4.38944775780114,1.14159856192474e-05,10.516401078557,27.4860840822678,"stem","***","Twitter attention"
"as.factor(year)2021",0.387134107014367,5.19957381841922,0.0744549689135992,0.940649037747713,-9.8043953575219,10.5786635715506,"stem","","Twitter attention"
"as.factor(year)2022",1.62563724164706,4.20536777880696,0.386562442847327,0.699083847551514,-6.61717863589588,9.86845311919,"stem","","Twitter attention"
"as.factor(year)2023",-14.4299213086529,4.41067187301136,-3.27159256551111,0.00107105667186371,-23.0751476141164,-5.78469500318954,"stem","*","Twitter attention"
"R^2",0.389,0.389,0.389,0.389,0.389,0.389,"stem","","Twitter attention"
"(Intercept)",2.30501799290681,0.998025521248435,2.30957820599963,0.0209227743651173,0.34879241812485,4.26124356768877,"soc_sci","*","Twitter attention"
"alt_twitter_l",0.455017525437651,0.0722130076339986,6.30104658905557,3.02504137027455e-10,0.313473116644533,0.596561934230769,"soc_sci","***","Twitter attention"
"cited_by_total_all_l",0.0011694213362434,0.000728227751257586,1.60584560836072,0.108325372691392,-0.000257974778330943,0.00259681745081774,"soc_sci","","Twitter attention"
"inferred_genderw",2.49669071730868,1.88841542896268,1.3221088321017,0.186148707745453,-1.20478432446039,6.19816575907774,"soc_sci","","Twitter attention"
"news_all_total_l",0.00738561759421778,0.00527726726494645,1.39951554913198,0.161675666016069,-0.00295833150212813,0.0177295666905637,"soc_sci","","Twitter attention"
"alt_online_all_total_l",0.113141636596183,0.0624814987417096,1.81080221945213,0.0701881317790967,-0.00932808305221181,0.235611356244578,"soc_sci",".","Twitter attention"
"coa_tot_cited_by_total_l",9.76607269375218e-05,0.000108290762783848,0.901838018561713,0.367154983416048,-0.000114599536112081,0.000309920989987125,"soc_sci","","Twitter attention"
"coa_online_all_total_l",-0.00173339978060092,0.0297777233169315,-0.0582112931251302,0.953580971316572,-0.0601005884658109,0.0566337889046091,"soc_sci","","Twitter attention"
"coa_twitter_total_l",0.00540562217772716,0.00443717391472196,1.21825790055062,0.223141945175929,-0.00329166351981341,0.0141029078752677,"soc_sci","","Twitter attention"
"as.factor(year)2014",0.253720197206682,1.08845558277122,0.233101103272133,0.815685547837069,-1.87975695613079,2.38719735054415,"soc_sci","","Twitter attention"
"as.factor(year)2015",2.36875751966522,2.33406401473948,1.01486399032188,0.310184301844564,-2.20623141759167,6.94374645692212,"soc_sci","","Twitter attention"
"as.factor(year)2016",0.697918397108295,1.20563096358936,0.578882276737881,0.562675850725407,-1.66523372125867,3.06107051547525,"soc_sci","","Twitter attention"
"as.factor(year)2017",7.79560406948696,3.35455039208582,2.32388939151984,0.0201424951249481,1.22036412904498,14.3708440099289,"soc_sci","*","Twitter attention"
"as.factor(year)2018",6.6968572475828,2.25722099089888,2.9668593702542,0.00301253764564391,2.2724879941718,11.1212265009938,"soc_sci","*","Twitter attention"
"as.factor(year)2019",5.9019480998719,3.11458493434571,1.89493888408336,0.0581165026566157,-0.202936568584394,12.0068327683282,"soc_sci",".","Twitter attention"
"as.factor(year)2020",3.21808787389816,2.37936665106094,1.3524976793565,0.176233144973051,-1.44569856792176,7.88187431571808,"soc_sci","","Twitter attention"
"as.factor(year)2021",0.952493040702609,2.47271014735418,0.385202059255422,0.700092267804741,-3.89425559076151,5.79924167216673,"soc_sci","","Twitter attention"
"as.factor(year)2022",-2.49851354496495,2.73986013403177,-0.911912806763726,0.361826827775019,-7.86890172783817,2.87187463790827,"soc_sci","","Twitter attention"
"as.factor(year)2023",-9.32308033104515,3.70957330436671,-2.51324871247875,0.0119711555785472,-16.5941991702238,-2.05196149186651,"soc_sci","*","Twitter attention"
"R^2",0.283,0.283,0.283,0.283,0.283,0.283,"soc_sci","","Twitter attention"
"(Intercept)",10.3724552414191,3.58940419284154,2.88974288883519,0.00386002775765682,3.33689424869086,17.4080162341473,"medicine","*","Twitter attention"
"alt_twitter_l",0.567401129676657,0.0364500978813274,15.5665186832687,2.70635951992164e-54,0.495955599149214,0.638846660204101,"medicine","***","Twitter attention"
"cited_by_total_all_l",0.00146100268604801,0.000861215782247025,1.69644207196954,0.0898189328580304,-0.000227059131003136,0.00314906450309915,"medicine",".","Twitter attention"
"inferred_genderw",-10.3053828715744,5.49287890806277,-1.8761350912811,0.0606523867749218,-21.0719286566431,0.461162913494288,"medicine",".","Twitter attention"
"news_all_total_l",0.00989880993282619,0.0451169509788818,0.219403344376255,0.826338273761732,-0.0785345465141568,0.0983321663798092,"medicine","","Twitter attention"
"alt_online_all_total_l",0.116555168956043,0.061506610405102,1.89500231257053,0.058107594890797,-0.00400342119217198,0.237113759104258,"medicine",".","Twitter attention"
"coa_tot_cited_by_total_l",0.000102300593328252,6.88587109239699e-05,1.48565943154537,0.137386182699207,-3.26687872593127e-05,0.000237269973915817,"medicine","","Twitter attention"
"coa_online_all_total_l",0.0400051019584462,0.024499510176628,1.63289395053336,0.102508237362192,-0.00801618204277885,0.0880263859596713,"medicine","","Twitter attention"
"coa_twitter_total_l",-0.00408172624624425,0.00292288415997306,-1.39647212234435,0.162589041506789,-0.00981084692403844,0.00164739443154993,"medicine","","Twitter attention"
"as.factor(year)2014",-0.720761858626489,1.80022430322087,-0.400373363106441,0.688886140804992,-4.24936638613037,2.80784266887739,"medicine","","Twitter attention"
"as.factor(year)2015",15.5364992375364,2.71057154665334,5.73181669257865,1.00899549126161e-08,10.2235307288168,20.849467746256,"medicine","***","Twitter attention"
"as.factor(year)2016",9.16644265253248,2.80394293249568,3.26912596768643,0.00108076264028338,3.67045767512443,14.6624276299405,"medicine","*","Twitter attention"
"as.factor(year)2017",25.1284001360949,4.75682624946612,5.28259785375074,1.2879940067757e-07,15.8045849812919,34.4522152908979,"medicine","***","Twitter attention"
"as.factor(year)2018",39.7730025322883,8.26600969967751,4.81163269549998,1.50876679269033e-06,23.5708663882044,55.9751386763722,"medicine","***","Twitter attention"
"as.factor(year)2019",20.207557586866,7.09472603058786,2.84825058779496,0.00440085233268543,6.30124471899645,34.1138704547356,"medicine","*","Twitter attention"
