general_field,news_type,n_total_m,n_total_w,total_m,total_w,ave_m,ave_w,p_sig,share_m,share_w
STEM,All printed news,1841,381,161928,20504,88.29,53.82,***,1,1
STEM,National news (NL),1841,381,32282,5196,17.6,13.64,,0.2,0.25
STEM,Local news (NL),1841,381,58694,6542,32,17.17,***,0.36,0.32
STEM,International news (top outlets),1841,381,4443,692,2.42,1.82,,0.03,0.03
STEM,International news (local),1841,381,4556,462,2.48,1.21,.,0.03,0.02
STEM,International news (other),1841,381,1312,194,0.72,0.51,,0.01,0.01
STEM,Financial news,1841,381,6409,429,3.49,1.13,***,0.04,0.02
STEM,Professional news,1841,381,2260,313,1.23,0.82,.,0.01,0.02
STEM,Science news,1841,381,2012,293,1.1,0.77,*,0.01,0.01
STEM,Blogs,1841,381,656,73,0.36,0.19,,0,0
STEM,News aggregators,1841,381,22522,3250,12.28,8.53,*,0.14,0.16
STEM,Unknown,1841,381,4919,748,2.68,1.96,,0.03,0.04
STEM,Other news,1841,381,21863,2312,11.92,6.07,**,0.14,0.11
Medicine,All printed news,1283,546,125040,32890,98.3,60.46,***,1,1
Medicine,National news (NL),1283,546,26404,7275,20.76,13.37,***,0.21,0.22
Medicine,Local news (NL),1283,546,57457,16393,45.17,30.13,***,0.46,0.5
Medicine,International news (top outlets),1283,546,2604,388,2.05,0.71,**,0.02,0.01
Medicine,International news (local),1283,546,3111,584,2.45,1.07,.,0.02,0.02
Medicine,International news (other),1283,546,868,129,0.68,0.24,*,0.01,0
Medicine,Financial news,1283,546,4477,1146,3.52,2.11,,0.04,0.03
Medicine,Professional news,1283,546,1539,321,1.21,0.59,***,0.01,0.01
Medicine,Science news,1283,546,1353,252,1.06,0.46,***,0.01,0.01
Medicine,Blogs,1283,546,301,93,0.24,0.17,,0,0
Medicine,News aggregators,1283,546,10675,2503,8.39,4.6,**,0.09,0.08
Medicine,Unknown,1283,546,4268,1422,3.36,2.61,**,0.03,0.04
Medicine,Other news,1283,546,11983,2384,9.42,4.38,**,0.1,0.07
Social sciences,All printed news,1619,764,253824,78640,157.36,103.07,***,1,1
Social sciences,National news (NL),1619,764,71549,23868,44.36,31.28,**,0.28,0.3
Social sciences,Local news (NL),1619,764,123499,38907,76.56,50.99,**,0.49,0.49
Social sciences,International news (top outlets),1619,764,3268,751,2.03,0.98,***,0.01,0.01
Social sciences,International news (local),1619,764,2257,391,1.4,0.51,***,0.01,0
Social sciences,International news (other),1619,764,1274,243,0.79,0.32,*,0.01,0
Social sciences,Financial news,1619,764,17614,4214,10.92,5.52,***,0.07,0.05
Social sciences,Professional news,1619,764,3197,1177,1.98,1.54,,0.01,0.01
Social sciences,Science news,1619,764,1908,563,1.18,0.74,**,0.01,0.01
Social sciences,Blogs,1619,764,562,81,0.35,0.11,*,0,0
Social sciences,News aggregators,1619,764,11117,3565,6.89,4.67,**,0.04,0.05
Social sciences,Unknown,1619,764,3127,1133,1.94,1.48,*,0.01,0.01
Social sciences,Other news,1619,764,14452,3747,8.96,4.91,***,0.06,0.05
Arts and Humanities,All printed news,247,110,23442,5079,95.29,46.17,***,1,1
Arts and Humanities,National news (NL),247,110,9959,1893,40.48,17.21,***,0.42,0.37
Arts and Humanities,Local news (NL),247,110,9519,2160,38.7,19.64,**,0.41,0.43
Arts and Humanities,International news (top outlets),247,110,318,40,1.29,0.36,**,0.01,0.01
Arts and Humanities,International news (local),247,110,363,47,1.48,0.43,,0.02,0.01
Arts and Humanities,International news (other),247,110,18,17,0.07,0.15,,0,0
Arts and Humanities,Financial news,247,110,587,67,2.39,0.61,,0.03,0.01
Arts and Humanities,Professional news,247,110,146,51,0.59,0.46,,0.01,0.01
Arts and Humanities,Science news,247,110,199,43,0.81,0.39,*,0.01,0.01
Arts and Humanities,Blogs,247,110,4,2,0.02,0.02,,0,0
Arts and Humanities,News aggregators,247,110,775,340,3.15,3.09,,0.03,0.07
Arts and Humanities,Unknown,247,110,214,98,0.87,0.89,,0.01,0.02
Arts and Humanities,Other news,247,110,1340,321,5.45,2.92,*,0.06,0.06
