"field","term","coef_printed","sig_printed","se_printed","coef_online","sig_online","se_online","coef_twitter","sig_twitter","se_twitter"
"STEM","Printed news attention (t-1)",0.81431,"***","[0.03808]",NA,NA,"[NA]",NA,NA,"[NA]"
"STEM","Online attention (t-1)",NA,NA,"[NA]",0.5659,"***","[0.05605]",NA,NA,"[NA]"
"STEM","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.57073,"***","[0.04308]"
"STEM","Inferred agender (reference: man)",-0.11565,"","[0.14704]",0.59648,"","[0.53395]",-0.05545,"","[3.76419]"
"STEM","Total citations (t-1)",0.00002,"","[0.00002]",0.00036,"***","[0.00008]",0.00004,"","[0.00031]"
"STEM","Coauthors' total online attention total (t-1)",0.00012,"","[0.0003]",0.01694,"***","[0.00372]",-0.01451,"","[0.0136]"
"STEM","Coauthors' total citations (t-1)",0.00001,"*","[0]",0.00003,"***","[0.00001]",-0.00002,"","[0.00003]"
"STEM","Foauthors' total Twitter/X attention (t-1)",-0.00008,"","[0.00007]",-0.00095,"","[0.00061]",0.00662,"*","[0.00302]"
"STEM","Total printed news attention (t-1)",NA,NA,"[NA]",0.00905,"*","[0.00315]",-0.00358,"","[0.01802]"
"STEM","Total online attention (t-1)",0.00136,"","[0.00125]",NA,NA,"[NA]",0.21189,"***","[0.0516]"
"STEM","Total Twitter/X attention (t-1)",0.00005,"","[0.0001]",0.00301,".","[0.00154]",NA,NA,"[NA]"
"STEM","(Intercept)",0.70957,"***","[0.14022]",0.45388,"","[0.29061]",5.46586,"***","[1.19685]"
"STEM","R^2",0.532,"","[0.532]",0.441,"","[0.441]",0.389,"","[0.389]"
"Medicine","Printed news attention (t-1)",0.60611,"***","[0.03924]",NA,NA,"[NA]",NA,NA,"[NA]"
"Medicine","Online attention (t-1)",NA,NA,"[NA]",0.35205,"***","[0.03311]",NA,NA,"[NA]"
"Medicine","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.5674,"***","[0.03645]"
"Medicine","Inferred agender (reference: man)",-0.4454,"*","[0.15603]",1.36005,".","[0.81332]",-10.30538,".","[5.49288]"
"Medicine","Total citations (t-1)",0.00004,"*","[0.00002]",0.00074,"***","[0.00014]",0.00146,".","[0.00086]"
"Medicine","Coauthors' total online attention total (t-1)",0.00029,"","[0.0003]",0.00736,"*","[0.00272]",0.04001,"","[0.0245]"
"Medicine","Coauthors' total citations (t-1)",0,".","[0]",0.00006,"***","[0.00001]",0.0001,"","[0.00007]"
"Medicine","Foauthors' total Twitter/X attention (t-1)",-0.00005,"","[0.00004]",-0.00016,"","[0.00033]",-0.00408,"","[0.00292]"
"Medicine","Total printed news attention (t-1)",NA,NA,"[NA]",0.0167,".","[0.0086]",0.0099,"","[0.04512]"
"Medicine","Total online attention (t-1)",-0.00009,"","[0.00116]",NA,NA,"[NA]",0.11656,".","[0.06151]"
"Medicine","Total Twitter/X attention (t-1)",0.00003,"","[0.00008]",0.00219,"*","[0.00074]",NA,NA,"[NA]"
"Medicine","(Intercept)",1.24295,"*","[0.40771]",-0.3308,"","[0.52046]",10.37246,"*","[3.5894]"
"Medicine","R^2",0.338,"","[0.338]",0.346,"","[0.346]",0.339,"","[0.339]"
"Social science","Printed news attention (t-1)",0.78853,"***","[0.08535]",NA,NA,"[NA]",NA,NA,"[NA]"
"Social science","Online attention (t-1)",NA,NA,"[NA]",0.50181,"***","[0.05395]",NA,NA,"[NA]"
"Social science","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.45502,"***","[0.07221]"
"Social science","Inferred agender (reference: man)",-0.65399,"*","[0.24083]",0.67327,"*","[0.27567]",2.49669,"","[1.88842]"
"Social science","Total citations (t-1)",-0.00003,"","[0.00003]",0.0006,"***","[0.00014]",0.00117,"","[0.00073]"
"Social science","Coauthors' total online attention total (t-1)",-0.00193,"","[0.00156]",0.03798,"*","[0.01476]",-0.00173,"","[0.02978]"
