"field","term","coef_printed","sig_printed","se_printed","coef_online","sig_online","se_online","coef_twitter","sig_twitter","se_twitter"
"STEM","Inferred gender (reference: man)",-0.037,"","[0.15059]",0.28335,"","[0.54143]",-2.722,"","[3.70838]"
"STEM","Total citations (t-1)",1e-05,"","[2e-05]",0.00038,"***","[8e-05]",0.00017,"","[0.00035]"
"STEM","Coauthors' total online attention total (t-1)",1e-04,"","[3e-04]",0.01697,"***","[0.00372]",-0.01386,"","[0.01366]"
"STEM","Coauthors' total citations (t-1)",1e-05,"*","[0]",3e-05,"***","[1e-05]",-1e-05,"","[3e-05]"
"STEM","Coauthors' total Twitter/X attention (t-1)",-8e-05,"","[7e-05]",-0.00096,"","[6e-04]",0.0065,"*","[0.00302]"
"STEM","Printed news attention (t-1)",0.81362,"***","[0.03825]",NA,NA,"[NA]",NA,NA,"[NA]"
"STEM","Online attention (t-1)",NA,NA,"[NA]",0.56522,"***","[0.05606]",NA,NA,"[NA]"
"STEM","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.56952,"***","[0.04313]"
"STEM","Total printed news attention (t-1)",NA,NA,"[NA]",0.00975,"*","[0.00322]",0.00253,"","[0.01897]"
"STEM","Received an NWO/ERC grant (t-1)",-0.50989,"","[0.38243]",1.08307,"","[1.52592]",14.15637,"","[10.53647]"
"STEM","Total online attention (t-1)",0.00147,"","[0.00125]",NA,NA,"[NA]",0.20741,"***","[0.05146]"
"STEM","Total Twitter/X attention (t-1)",6e-05,"","[1e-04]",0.00296,".","[0.00154]",NA,NA,"[NA]"
"STEM","(Intercept)",0.27664,"","[0.25544]",2.31719,"*","[0.7056]",20.85657,"***","[4.15739]"
"STEM","R^2",0.532,"","[0.532]",0.442,"","[0.442]",0.39,"","[0.39]"
"Medicine","Inferred gender (reference: man)",-0.41585,"*","[0.15308]",0.90192,"","[0.81405]",-12.79298,"*","[5.86348]"
"Medicine","Total citations (t-1)",4e-05,"","[2e-05]",0.00082,"***","[0.00015]",0.00194,"*","[0.00089]"
"Medicine","Coauthors' total online attention total (t-1)",0.00029,"","[3e-04]",0.00733,"*","[0.00272]",0.04008,"","[0.02453]"
"Medicine","Coauthors' total citations (t-1)",0,".","[0]",6e-05,"***","[1e-05]",9e-05,"","[7e-05]"
"Medicine","Coauthors' total Twitter/X attention (t-1)",-5e-05,"","[4e-05]",-0.00017,"","[0.00033]",-0.0041,"","[0.00293]"
"Medicine","Printed news attention (t-1)",0.60557,"***","[0.03935]",NA,NA,"[NA]",NA,NA,"[NA]"
"Medicine","Online attention (t-1)",NA,NA,"[NA]",0.35013,"***","[0.03334]",NA,NA,"[NA]"
"Medicine","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.56693,"***","[0.03649]"
"Medicine","Total printed news attention (t-1)",NA,NA,"[NA]",0.01904,"*","[0.0087]",0.02497,"","[0.0457]"
"Medicine","Received an NWO/ERC grant (t-1)",0.83664,"","[0.56311]",-0.36087,"","[3.93604]",-40.73189,"","[31.53427]"
"Medicine","Total online attention (t-1)",-1e-05,"","[0.00119]",NA,NA,"[NA]",0.10805,".","[0.06054]"
"Medicine","Total Twitter/X attention (t-1)",3e-05,"","[8e-05]",0.00213,"*","[0.00075]",NA,NA,"[NA]"
"Medicine","(Intercept)",0.85547,"*","[0.36324]",5.06947,"***","[1.33407]",42.75497,"***","[12.27019]"
"Medicine","R^2",0.338,"","[0.338]",0.347,"","[0.347]",0.34,"","[0.34]"
"Social science","Inferred gender (reference: man)",-0.62992,"*","[0.23787]",0.5417,"*","[0.27409]",1.64274,"","[1.91336]"
"Social science","Total citations (t-1)",-4e-05,"","[3e-05]",0.00062,"***","[0.00015]",0.00134,".","[0.00076]"
"Social science","Coauthors' total online attention total (t-1)",-0.00197,"","[0.00157]",0.03807,"*","[0.01478]",-9e-05,"","[0.02922]"
"Social science","Coauthors' total citations (t-1)",0,"","[0]",4e-05,"*","[2e-05]",1e-04,"","[0.00011]"
"Social science","Coauthors' total Twitter/X attention (t-1)",0.00055,"","[0.00038]",-0.00261,"","[0.00175]",0.00517,"","[0.00436]"
"Social science","Printed news attention (t-1)",0.78831,"***","[0.08556]",NA,NA,"[NA]",NA,NA,"[NA]"
"Social science","Online attention (t-1)",NA,NA,"[NA]",0.50085,"***","[0.0543]",NA,NA,"[NA]"
"Social science","Twitter/X attention (t-1)",NA,NA,"[NA]",NA,NA,"[NA]",0.45352,"***","[0.07215]"
"Social science","Total printed news attention (t-1)",NA,NA,"[NA]",0.00321,"*","[0.00108]",0.00948,".","[0.00546]"
"Social science","Received an NWO/ERC grant (t-1)",-0.66742,"","[0.47571]",4.28416,".","[2.19452]",35.32943,"*","[15.13664]"
"Social science","Total online attention (t-1)",0.00137,"","[0.00233]",NA,NA,"[NA]",0.10741,".","[0.06124]"
"Social science","Total Twitter/X attention (t-1)",-0.00036,"","[0.00029]",0.00529,"***","[0.00154]",NA,NA,"[NA]"
